[000:00:01;468] "FOX NEWS SUNDAY."
[000:34:28;299] ADMINISTRATION IS SO BAD AND
[000:34:30;134] LACKS SO MUCH CREDIBILITY THAT I
[000:34:31;135] THINK IT IS VERY DIFFICULT.
[000:34:32;937] WE HAVE A SHARED INTEREST.
[000:34:34;439] I BELIEVE THE RUGS DON'T WANT
[000:34:36;274] CHEMICAL WEAPONS USED, AS DOES
[000:34:37;875] THE UNITED STATES, SO WE DO HAVE
[000:34:41;879] AN OPPORTUNITY, I HOPE THE
[000:34:43;915] PRESIDENT WILL TRY TO TAKE
[000:34:47;685] ADVANTAGE OF.
[000:34:49;821] >> AND THE COULD YOU TELL
[000:34:52;623] COMMITTEE CHAIRMAN THERE.
[000:34:54;792] CURIOUS OF YOUR THOUGHTS.
[000:34:57;829] >> I THINK THEY THINK OBAMA IS
[000:34:59;097] WEAK AND CAN BULLY HIM, PUSHING
[000:35:01;699] ON ONE OTHER BUTTON THAT THE
[000:35:03;935] PRESIDENT HIGHLIGHTED LAST WEEK
[000:35:05;169] WHEN HE WONDERED WHAT HIS
[000:35:07;238] INTERNATIONAL AUTHORITY WAS TO
[000:35:08;873] LAUNCH MILITARY ACTION.
[000:35:10;808] AND THINKING SPECIFICALLY OF THE
[000:35:13;511] U.N. SECURITY COUNCIL WHERE
[000:35:14;712] RUSSIA HAS A VETO.
[000:35:17;115] FRANKLY, I DON'T THINK THE
[000:35:17;882] UNITED STATES SHOULD CARE ONE
[000:35:19;083] WIT WHETHER WE HAVE A SECURITY
[000:35:21;452] COUNCIL RESOLUTION OR NOT.
[000:35:22;353] THIS IS THINKING IN A EUROPEAN
[000:35:25;490] WAY, WHO HAS AUTHORIZED ME TO DO
[000:35:26;791] THIS, AS OPPOSED TO THINKING IN
[000:35:28;493] THE TRADITIONAL AMERICAN WAY,
[000:35:29;927] WHO IS PROHIBITING ME FROM DOING
[000:35:32;930] THIS.
[000:35:33;231] WHILE I THINK WE OUGHT TO
[000:35:34;565] DISREGARD IT, I THINK THE
[000:35:36;567] RUSSIANS KNOW THE PRESIDENT'S
[000:35:37;768] PSYCHOLOGY AND THAT'S WHAT
[000:35:41;873] THEY'RE TRYING TO EFFECT.
[000:35:45;276] >> CHAT ROOMS, THEY'RE SAYING
[000:35:46;244] OUR NATION SHOULDN'T BE
[000:35:47;111] INVOLVED, SOME OF THEM.
[000:35:48;146] YOU ALSO SAID WE SHOULDN'T BE
[000:35:49;514] INVOLVED THERE THE WAY WE ARE,
[000:35:51;782] SYRIA IS A SECONDARY ISSUE.
[000:35:53;251] WHAT DO YOU MEAN?
[000:35:53;985] >> AS I SAID, THE ASSAD REGIME
[000:35:56;354] WOULD NOT BE IN POWER BUT FOR
[000:35:58;656] IRAN, AND WHILE PEOPLE SAY THIS
[000:36:00;158] IS A PLACE WHERE WE CAN DEFEAT
[000:36:02;560] IRAN, THIS IS EFFECTIVELY MUCH
[000:36:04;462] LESS IMPORTANT THAN IRAN'S
[000:36:06;898] NUCLEAR WEAPONS PROGRAM.
[000:36:08;232] AND I'LL TELL YOU SOMETHING
[000:36:09;634] RIGHT NOW.
[000:36:10;501] IF THE PRESIDENT DOESN'T ACT
[000:36:11;636] WITH MASSIVE FORCE IN SYRIA, IF
[000:36:14;138] IT IS JUST A SLAP ON THE WRIST
[000:36:16;240] TO THE ASSAD REGIME, WHICH MANY
[000:36:18;609] ARE PREDICTING, I THINK THE
[000:36:20;611] LESSON IRAN DRAWS FROM THAT WE
[000:36:23;447] BETTER GET OUR NUCLEAR WEAPONS
[000:36:25;583] CAPABILITY IMMEDIATELY BECAUSE
[000:36:26;517] THEN WE WILL BE IMMUNE TO AN
[000:36:28;686] AMERICAN SLAP ON THE WRIST.
[000:36:29;887] ON THE OTHER HAND, IF THE
[000:36:32;023] PRESIDENT DOES USE MASSIVE FORCE
[000:36:34;258] TO CHANGE THE BALANCE OF FORCES
[000:36:35;760] WITHIN SYRIA ITSELF, IT COULD
[000:36:37;628] WELL RESULT IN THE OPPOSITION
[000:36:39;463] TAKING POWER, WHICH I DON'T
[000:36:40;598] THINK IS IN AMERICA'S INTEREST
[000:36:42;767] EITHER.
[000:36:43;100] THAT'S WHY I STRESS I DON'T
[000:36:44;468] THINK THE PRESIDENT KNOWS HIS
[000:36:46;537] OWN MIND.
[000:36:46;904] I DON'T THINK HE KNOWS WHAT HIS
[000:36:48;105] STRATEGY IS.
[000:36:48;739] I THINK THAT'S WHAT ALL OF THE
[000:36:50;641] AGONIZING IS ABOUT.
[000:36:52;810] >> VERY INTERESTING.
[000:36:54;078] YOU PAINT SUCH DIFFERENT
[000:36:56;013] SCENARIOS THERE.
[000:36:56;614] AND I'LL CHANGE TOPICS JUST
[000:36:58;416] SLIGHTLY BECAUSE I WANT TO ASK
[000:36:59;750] YOUR OPINION ABOUT THIS.
[000:37:01;619] SAMANTHA POWER HAS TAKEN YOUR
[000:37:04;555] OLD POST AS U.S. AMBASSADOR AT
[000:37:05;690] THE U.N.
[000:37:06;958] SHE WAS AWAY FOR PERSONAL
[000:37:08;392] REASONS WE READ THIS WEEK,
[000:37:10;528] MISSED THAT VERY IMPORTANT
[000:37:12;263] EMERGENCY MEETING AT THE UNITED
[000:37:13;497] NATIONS.
[000:37:13;931] IT WAS ON SYRIA.
[000:37:15;800] HOW UNUSUAL IS IT THAT THE
[000:37:16;934] AMBASSADOR WOULD MISS A MEETING
[000:37:18;202] LIKE THAT?
[000:37:18;970] >> WELL, I THINK IT IS OKAY FOR
[000:37:20;871] PEOPLE TO TAKE VACATIONS.
[000:37:22;440] I THINK THAT'S FINE.
[000:37:23;608] I DIDN'T TAKE A VACATION WHEN I
[000:37:25;243] STARTED AT THE BEGINNING OF
[000:37:27;245] AUGUST OF 2005, BUT MAYBE I'M A
[000:37:29;847] WORKAHOLIC.
[000:37:30;248] I THINK SHE WILL BE BACK IN TIME
[000:37:31;816] FOR ANYTHING ELSE THAT HAPPENS,
[000:37:33;451] GIVEN THAT PUBLICITY.
[000:37:34;986] >> SO NO SIGNIFICANCE IN TERMS
[000:37:36;554] OF HOW WE ARE MOVING FORWARD OR
[000:37:38;155] ANYTHING LIKE THAT?
[000:37:39;056] >> NOTHING OF SIGNIFICANCE ON
[000:37:41;492] SYRIA IS GOING TO HAPPEN AT THE
[000:37:43;094] UNITED NATIONS ANYWAY.
[000:37:43;894] SHE PROBABLY COULD STAY IN
[000:37:47;064] IRELAND ANOTHER COUPLE WEEKS
[000:37:47;765] FROM THAT PERSPECTIVE.
[000:37:48;466] >> THAT IS BLUNT.
[000:37:49;667] LET'S TALK ABOUT SOMETHING
[000:37:51;035] ENTIRELY DIFFERENT.
[000:37:51;969] CHANGING TOPICS TO NEW
[000:37:53;037] INFORMATION WE HAVE GOTTEN ABOUT
[000:37:54;238] THE NSA SPYING, NOT JUST ON
[000:37:55;640] MILLIONS OF AMERICAN CITIZENS AS
[000:37:58;109] WE LEARNED ABOUT FROM EDWARD
[000:37:59;477] SNOWDEN, THE U.S. CONTRACTOR NOW
[000:38:01;012] A FUGITIVE INSIDE RUSSIA, BUT
[000:38:03;447] THE UNITED NATIONS, THAT THEY
[000:38:04;782] WERE BEING BUGGED.
[000:38:05;850] UP TO 80 EMBASSIES AROUND THE
[000:38:08;486] WORLD.
[000:38:08;786] THAT'S GOT TO POSE SOME QUESTION
[000:38:10;221] I WOULD IMAGINE THE MINDS OF OUR
[000:38:12;056] ALLIES.
[000:38:12;390] YOUR THOUGHTS ON IT?
[000:38:15;459] >> THE DER SPIEGEL ARTICLE SAYS
[000:38:18;663] ESPIONAGE AGAINST THE UNITED
[000:38:19;497] NATIONS TOOK PLACE IN 2012,
[000:38:20;898] WHICH I FIND DELICIOUSLY IRONIC
[000:38:23;567] THAT THE OBAMA ADMINISTRATION IS
[000:38:25;269] SPYING ON THE UNITED NATIONS.
[000:38:26;304] HERE IS WHAT I THINK.
[000:38:28;673] ANY GATHERING OF FOREIGNERS IS A
[000:38:32;343] LEGITIMATE TARGET FOR AMERICAN
[000:38:33;878] ESPIONAGE, UNLESS WE HAVE
[000:38:34;679] AGREEMENT THAT PRECLUDES US FROM
[000:38:36;047] DOING IT.
[000:38:36;914] AND ANY FOREIGN GOVERNMENT
[000:38:38;316] ABSENT SUCH AN AGREEMENT THAT
[000:38:39;583] DOESN'T THINK WE MAY BE SPYING
[000:38:41;452] ON THEM DOESN'T LIVE IN THE REAL
[000:38:44;789] WORLD.
[000:38:45;523] THAT'S THE WAY IT IS, DOESN'T
[000:38:46;991] BOTHER ME AT ALL.
[000:38:48;459] I THINK THIS SHOWS A FUNDAMENTAL
[000:38:50;594] POINT THAT SNOWDEN AND HIS MEDIA
[000:38:56;167] FRIENDS ARE TRYING TO PROVE.
[000:38:57;335] NOT TO AWAKEN AMERICANS ABOUT
[000:38:59;036] POTENTIAL VIOLATIONS OF PRIVACY
[000:39:00;671] BUT TO HURT THE UNITED STATES
[000:39:05;176] INTERNATIONALLY.
[000:39:05;643] WHILE MOST AMERICANS COULDN'T
[000:39:06;344] CARE LESS IF WE'RE SPYING ON THE
[000:39:09;213] U.N., IN MANY OTHER COUNTRIES,
[000:39:11;449] THAT'S ALMOST SACK RIL AJ.
[000:39:12;850] THAT'S THE POINT OF THIS COMING
[000:39:13;984] OUT IN GERMANY.
[000:39:16;153] >> AMBASSADOR BOLTON, WE
[000:39:18;255] APPRECIATE YOUR CANDOR AND
[000:39:20;257] EXPERIENCE.
[000:39:20;658] THANK YOU AS ALWAYS FOR JOINING
[000:39:21;592] US.
[000:39:21;859] >> THANK YOU, HARRIS.
[000:39:23;327] GLAD TO DO IT.
[000:39:24;729] >>> ROBBERS HIT A RESTAURANT,
[000:39:26;230] THEY RAN INTO SOMETHING, A QUICK
[000:39:27;965] THINKING EMPLOYEE.
[000:39:28;899] STOPPED THE BANDITS IN THEIR
[000:39:30;534] TRACKS AND PROTECTED PEOPLE
[000:39:32;370] INSIDE.
[000:39:32;703] THE REST OF THE STORY COMING UP.
[000:39:34;739] >>> AND REMEMBERING A GREAT
[000:39:36;307] AMERICAN HERO THROUGH MUSIC.
[000:39:38;776] ONE YEAR SINCE THE DAY OF HIS
[000:39:41;846] PASSING.
[000:39:42;580] NASA'S TOUCHING TRIBUTE TO NEIL
[000:39:43;314] ARMSTRONG.
[000:39:43;681] ♪
[000:39:44;515] ♪
[000:40:29;226] [ Male Announcer ]
[000:40:29;226] YOU'VE REACHED THE AGE
[000:40:31;095] WHERE YOU DON'T BACK DOWN
[000:40:31;095] FROM A CHALLENGE.
[000:40:33;631] THIS IS THE AGE OF KNOWING
[000:40:33;631] HOW TO MAKE THINGS HAPPEN.
[000:40:36;333] SO, WHY LET
[000:40:36;333] ERECTILE DYSFUNCTION
[000:40:38;869] GET IN YOUR WAY?
[000:40:40;137] TALK TO YOUR DOCTOR
[000:40:40;137] ABOUT VIAGRA.
[000:40:41;939] 20 MILLION MEN ALREADY HAVE.
[000:40:44;041] ASK YOUR DOCTOR IF YOUR HEART
[000:40:44;041] IS HEALTHY ENOUGH FOR SEX.
[000:40:46;444] DO NOT TAKE VIAGRA IF YOU TAKE
[000:40:46;444] NITRATES FOR CHEST PAIN;
[000:40:49;013] IT MAY CAUSE AN UNSAFE DROP
[000:40:49;013] IN BLOOD PRESSURE.
[000:40:51;015] SIDE EFFECTS INCLUDE
[000:40:51;015] HEADACHE, FLUSHING,
[000:40:52;783] UPSET STOMACH,
[000:40:52;783] AND ABNORMAL VISION.
[000:40:54;552] TO AVOID LONG-TERM INJURY,
[000:40:54;552] SEEK IMMEDIATE MEDICAL HELP
[000:40:56;754] FOR AN ERECTION
[000:40:56;754] LASTING MORE THAN FOUR HOURS.
[000:40:58;722] STOP TAKING VIAGRA
[000:40:58;722] AND CALL YOUR DOCTOR RIGHT AWAY
[000:41:00;858] IF YOU EXPERIENCE
[000:41:00;858] A SUDDEN DECREASE OR LOSS
[000:41:02;593] IN VISION OR HEARING.
[000:41:03;694] THIS IS THE AGE
[000:41:03;694] OF TAKING ACTION.
[000:41:06;330] VIAGRA.
[000:41:07;531] TALK TO YOUR DOCTOR.
[000:41:13;604] I put in the hours
[000:41:15;156] and built a strong reputation
[000:41:15;156] in the industry.
[000:41:18;275] I set goals and worked
[000:41:18;275] hard to meet them.
[000:41:21;745] I've made my success happen.
[000:41:24;331] So when it comes
[000:41:24;331] to my investments,
[000:41:26;217] I'm supposed to just hand it
[000:41:26;217] over to a broker and back away?
[000:41:30;504] That's not gonna happen.
[000:41:32;973] AVO: When you work with a
[000:41:32;973] Schwab financial consultant,
[000:41:35;025] you'll get the guidance you need
[000:41:35;025] with the control you want.
[000:41:37;962] Talk to us today.
[000:41:57;848] EVERY DAY WE'RE WORKING TO
[000:41:57;848] AND TO KEEP OUR COMMITMENTS.
[000:41:59;383] AND WE'VE MADE A BIG
[000:41:59;383] COMMITMENT TO AMERICA.
[000:42:01;919] BP SUPPORTS NEARLY
[000:42:01;919] 250,000 JOBS HERE.
[000:42:05;122] THROUGH ALL OF OUR
[000:42:05;122] ENERGY OPERATIONS,
[000:42:07;057] WE INVEST MORE IN THE U.S. THAN
[000:42:07;057] ANY OTHER PLACE IN THE WORLD.
[000:42:10;628] IN FACT, WE'VE INVESTED
[000:42:10;628] OVER $55 BILLION HERE
[000:42:13;531] IN THE LAST FIVE YEARS -
[000:42:14;899] MAKING BP AMERICA'S
[000:42:14;899] LARGEST ENERGY INVESTOR.
[000:42:17;902] OUR COMMITMENT HAS
[000:42:17;902] NEVER BEEN STRONGER.
[000:43:01;545] >>> A PLANE HITS A GOLF COURSE
[000:43:03;280] AND A COUPLE OF PEOPLE PLAYING
[000:43:04;515] ON THE 12th HOLE DROP THEIR
[000:43:06;183] CLUBS, RUN TO HELP.
[000:43:07;184] OUR TOP STORY ON THIS FOX TRIP
[000:43:12;556] ACROSS AMERICA.
[000:43:13;991] CALIFORNIA.
[000:43:14;391] THAT AIRCRAFT BROKE INTO PIECES
[000:43:15;859] WHEN IT WENT DOWN IN A WOODED
[000:43:18;195] AREA ON THE BIG MALONEY GOLF
[000:43:20;731] COURSE NEXT TO THE SACRAMENTO
[000:43:21;865] EXECUTIVE AIRPORT.
[000:43:22;433] >> SAW THE PLANE, ON THE 12th
[000:43:24;835] HOLE, SAW THE PLANE BANKING
[000:43:26;804] HARD, I WAS LIKE MAN, THAT'S
[000:43:28;606] LOW.
[000:43:28;872] THEN A COUPLE SECONDS LATER HIT
[000:43:30;541] THE TREES AND BOOM.
[000:43:31;442] >> THEY RAN TO IT, STOPPING FOR
[000:43:33;210] JUST A MOMENT WHEN THEY SMELLED
[000:43:34;612] THE FUEL.
[000:43:35;045] >> THIS MAN IS A PILOT, SAID
[000:43:37;715] DON'T RUSH IN, COULD BE SMOKE,
[000:43:39;149] FLAMES.
[000:43:39;483] WE NOTICED THERE WAS NO SMOKE,
[000:43:41;418] NO FLAMES, SO WE RUSHED IN.
[000:43:43;587] >> THE TWO MEN ON BOARD
[000:43:45;089] SURVIVED, ONE WAS UNCONSCIOUS.
[000:43:46;457] >> WE MADE A DECISION JUST TO
[000:43:47;891] GET HIM IN CASE IT GOES UP, GET
[000:43:49;560] HIM OUT OF HERE.
[000:43:51;028] >> SACRAMENTO FIRE DEPARTMENT
[000:43:52;329] TREATED THE CRASH SCENE AS A
[000:43:53;964] LEVEL TWO HAZMAT SITUATION
[000:43:55;265] BECAUSE OF ALL OF THE FUEL.
[000:43:56;734] BOTH THE PILOT AND PASSENGER
[000:43:59;603] WILL BE OKAY.
[000:44:01;372] >>> OHIO.
[000:44:01;972] A CHURCH'S CHICKEN EMPLOYEE IN
[000:44:04;642] AKRON TOOK ON TWO WOULD BE
[000:44:06;043] ROBBERS, HOSING THEM DOWN WITH
[000:44:08;312] HOT WATER.
[000:44:08;946] ONE CUSTOMER CALLED HIM A HERO.
[000:44:10;714] >> HE COULD HAVE CAME IN HERE,
[000:44:12;016] SHOT THE PLACE UP, HURT
[000:44:13;550] SOMEBODY.
[000:44:13;917] HE USED WHATEVER HE HAD TO GET
[000:44:15;552] THE JOB DONE, YOU KNOW.
[000:44:19;390] SO NOW THE HOSPITALS NEED TO
[000:44:22;493] LOOK FOR SOMEONE WITH A BIG BURN
[000:44:24;561] ON THEM.
[000:44:24;995] >> THEY BELIEVE THEY ROBBED A
[000:44:26;330] FAST FOOD RESTAURANT A WEEK AGO.
[000:44:27;998] >> GOING TO NEED A LOT OF COCOA
[000:44:30;200] BUTTER.
[000:44:30;534] >>> PENNSYLVANIA, A FAMILY
[000:44:31;902] THOUGHT A WEST PHILADELPHIA
[000:44:33;370] WOMAN WAS DEAD AND BURIED, EVEN
[000:44:35;105] HELD A FUNERAL FOR HER.
[000:44:37;374] TURNS OUT SHE'S ALIVE.
[000:44:38;609] >> YOU KNOW HOW YOU FEEL YOU
[000:44:39;877] JUST ABOUT TO GET OVER IT, THAT
[000:44:41;945] SHE'S DEAD, AND THEN TRAVIS
[000:44:43;547] COMES HERE WITH THE NEWS THAT
[000:44:44;848] SHE'S ALIVE.
[000:44:45;582] >> THE WOMAN WHO IS 50 YEARS OLD
[000:44:47;251] WAS MISSING FOR A MONTH.
[000:44:48;652] THEN A BODY WAS FOUND.
[000:44:50;554] AUTHORITIES SHOWED HER SON
[000:44:51;622] TRAVIS A PICTURE AND HE
[000:44:53;791] CONFIRMED TO OFFICIALS IT WAS
[000:44:56;026] HER.
[000:44:56;293] BUT OBVIOUSLY IT WASN'T.
[000:44:58;228] NOW A POLICE INVESTIGATION INTO
[000:44:59;563] WHO WAS ACTUALLY BURIED.
[000:45:02;166] >>> FLORIDA.
[000:45:03;333] A SOLDIER IN AFGHANISTAN FOR
[000:45:04;668] NEARLY A YEAR, RETURNING HOME,
[000:45:06;804] GIVING HIS FOUR CHILDREN A HUGE
[000:45:09;373] SURPRISE.
[000:45:09;740] THEY THREW OUT FIRST PITCH AT
[000:45:11;575] THE FORT MYERS GAME.
[000:45:19;016] KIDS DIDN'T KNOW IT, THAT'S DAD
[000:45:20;751] BEHIND THE CATCHER'S MASK.
[000:45:27;458] >> HEY!
[000:45:30;961] >> PLEASE WELCOME HIM!
[000:45:33;464] >> JUST REALLY KIND OF BRINGS
[000:45:34;932] HOME EVERYTHING THAT I'VE BEEN
[000:45:37;201] WANTING FOR THE LAST TEN MONTHS.
[000:45:39;103] >> THAT'S FOX WATCH ACROSS
[000:45:42;272] AMERICA.
[000:45:42;606] >>> GOOD-BYE, A YEAR LATER FOR
[000:45:44;875] ONE OF THE NATION'S TOP SPACE
[000:45:50;314] PIONEERS.
[000:45:50;681] ♪
[000:45:53;417] >> MUSIC VIDEO CURRENTLY POSTED
[000:45:55;786] ON NASA'S WEBSITE AND ON YOUTUBE
[000:45:58;222] IN MEMORY OF ASTRONAUT NEIL
[000:46:00;324] ARMSTRONG.
[000:46:00;791] THE FIRST PERSON TO STEP FOOT ON
[000:46:02;493] THE MOON DIED EXACTLY ONE YEAR
[000:46:03;827] AGO TODAY.
[000:46:05;195] HE WAS 82.
[000:46:05;996] THE VIDEO IS A MIX OF ICONIC
[000:46:08;198] PICTURES FROM ARMSTRONG'S
[000:46:09;933] HISTORIC MOON LANDING IN JULY OF
[000:46:13;504] 1969, AND THAT BEAUTIFUL MUSIC,
[000:46:16;673] TITLE TRANQUILITY BASE BY SONG
[000:46:18;542] WRITER, GRAMMY NOMINEE, ERIC
[000:46:21;478] GRACE.
[000:46:22;146] REFERS TO THE NAME ARMSTRONG
[000:46:23;647] GAVE THE SITE WHERE THE LUNAR
[000:46:25;249] MODULE TOUCHED DOWN ALL THOSE
[000:46:25;949] YEARS AGO.
[000:46:32;256] >>> A BREWING CONTROVERSY, WHERE
[000:46:33;657] A SMALL TIME COFFEE SALESMAN
[000:46:35;459] CLAIMS HE IS ABOUT TO LOSE HIS
[000:46:36;894] BUSINESS TO THE BIG DOGS HAS
[000:46:40;330] SOME WAR VETERANS STEAMED.
[000:46:44;735] SOME WAR VETERANS STEAMED.
[000:46:44;735] >>> AND URBAN
[000:47:09;426] THE MOST FREE RESEARCH REPORTS,
[000:47:11;195] CUSTOMIZABLE CHARTS,
[000:47:12;829] POWERFUL SCREENING TOOLS,
[000:47:14;831] AND GUARANTEED 1-SECOND TRADES.
[000:47:16;833] AND AT THE CENTER OF IT ALL
[000:47:18;185] IS A SURPRISINGLY LOW PRICE --
[000:47:19;686] JUST $7.95.
[000:47:21;371] IN FACT, FIDELITY GIVES YOU
[000:47:22;940] LOWER TRADE COMMISSIONS
[000:47:24;274] THAN SCHWAB, TD AMERITRADE,
[000:47:25;843] AND ETRADE.
[000:47:27;010] I'M MONICA SANTIAGO
[000:47:28;145] OF FIDELITY INVESTMENTS,
[000:47:29;613] AND LOW FEES AND COMMISSIONS
[000:47:30;864] ARE ANOTHER REASON
[000:47:31;949] SERIOUS INVESTORS
[000:47:33;016] ARE CHOOSING FIDELITY.
[000:47:34;151] NOW GET 200 FREE TRADES
[000:47:35;619] WHEN YOU OPEN AN ACCOUNT.
[000:50:23;320] >>> THEY'RE MAD AT JOE OVER
[000:50:26;890] COFFEE.
[000:50:27;557] HE SAYS BEAN COUNTERS WANT TO
[000:50:29;092] SHUT HIM DOWN, THEY SAY IT IS
[000:50:30;460] ABOUT THE BOTTOM LINE.
[000:50:33;530] >> Reporter: PRESIDENT OBAMA
[000:50:34;231] CALLS SMALL BUSINESSES THE
[000:50:36;099] BACKBONE OF OUR ECONOMY.
[000:50:37;401] >> THEY'RE THE FORCE BEHIND OUR
[000:50:38;702] FREE ENTERPRISE SYSTEM, AND THAT
[000:50:40;370] FREE ENTERPRISE SYSTEM IS THE
[000:50:42;039] GREATEST ENGINE OF GROWTH AND
[000:50:43;974] PROSPERITY THE WORLD HAS KNOWN.
[000:50:46;143] >> Reporter: BUT HE IS AMONG
[000:50:47;110] DOZENS OF INDEPENDENT
[000:50:48;245] CONTRACTORS GOING OUT OF
[000:50:49;012] BUSINESS BECAUSE OF THE
[000:50:50;013] GOVERNMENT.
[000:50:50;414] HIS COFFEE SHOP WITH DOZENS OF
[000:50:52;049] OTHERS THAT OPERATE IN VETERANS
[000:50:54;251] HOSPITALS ACROSS THE NATION ARE
[000:50:55;552] BEING REPLACED WITH A FEDERALLY
[000:50:59;156] RUN CHAIN CALLED PATRIOT BREW.
[000:51:01;558] AFTER 15 YEARS SERVING JAVA AND
[000:51:04;628] FRIENDLY BANTER, HE IS OUT AT
[000:51:06;296] THE END OF THE MONTH.
[000:51:09;800] >> MUCH HARDER SMALL COFFEE SHOP
[000:51:11;368] GOING OUT OF BUSINESS, IT IS
[000:51:13;036] CONCERN FOR THE VETERANS, 160
[000:51:15;338] OTHER COFFEE SHOPS NATIONWIDE.
[000:51:17;874] >> Reporter: ADMINISTRATORS WITH
[000:51:19;076] VETERAN'S AFFAIRS SAY
[000:51:20;510] ELIMINATING MOM AND POP SHOPS
[000:51:22;446] AND HANDLING COFFEE THEMSELVES
[000:51:23;914] WILL SAVE MONEY AND RESULT IN A
[000:51:25;482] CONSISTENT ASSORTMENT OF SNACKS
[000:51:27;217] AND BEVERAGES, INCLUDING
[000:51:28;885] STARBUCKS BRAND COFFEE.
[000:51:30;087] THEIR STATEMENT GOES ON TO SAY,
[000:51:31;588] QUOTE, THE COFFEE SHOP
[000:51:33;857] CONVERSIONS HAVE BEEN WELL
[000:51:34;524] RECEIVED BY EMPLOYEES, VETERANS,
[000:51:36;660] AND THEIR FAMILIES AT LOCATIONS
[000:51:39;096] WHERE IT HAS BEEN INTRODUCED.
[000:51:40;664] BUT GILMORE SAYS THE SWITCH
[000:51:42;099] MEANS HIGHER PRICES THAN THE
[000:51:43;700] DOLLAR A CUP HE CHARGES.
[000:51:45;102] WHILE THIS NAVY VET SAYS HE'LL
[000:51:47;104] MISS THE MAN MORE THAN THE
[000:51:49;940] COFFEE.
[000:51:50;273] >> GET MORE THERAPY TALKING WITH
[000:51:52;509] KEN THAN I DO GOING TO P.T.S.D.
[000:51:56;379] GROUPS I ATTEND.
[000:51:58;248] >> HE AND OTHERS WONDER IF
[000:52:00;450] THEY'LL OFFER AS MUCH CUSTOMER
[000:52:02;319] SERVICE AS KEN GILMORE DID MORE
[000:52:03;854] THAN A DECADE.
[000:52:05;222] 800 PEOPLE SIGNED A PETITION TO
[000:52:06;923] LET HIM STAY OPEN.
[000:52:07;924] THERE'S NO RESPONSE FROM THE VA
[000:52:09;559] WHICH IS MOVING AHEAD WITH
[000:52:11;194] DOZENS MORE COFFEE SHOP
[000:52:13;230] CONVERSIONS.
[000:52:13;897] IN SACRAMENTO, CLAUDIA COWAN,
[000:52:16;266] FOX NEWS.
[000:52:16;867] >>> WHEN IT COMES TO HIGH
[000:52:18;602] ADRENALINE WATER SPORTS, URBAN
[000:52:20;537] CLIFF DIVING IS POPULAR THESE
[000:52:22;305] DAYS.
[000:52:22;639] THE RED BULL WORLD SERIES OF
[000:52:24;574] CLIFF DIVING MADE ITS ONLY U.S.
[000:52:26;476] STOP IN BOSTON THIS WEEKEND.
[000:52:28;845] IT HAS BEEN A EUROPEAN FAVORITE
[000:52:30;881] FOR DECADES.
[000:52:32;015] JUDGING BY THE NUMBER OF BOSTON
[000:52:39;256] SPECTATO
[000:52:40;357] SPECTATORS, IT MAY COME TO
[000:52:42;792] AMERICA.
[000:52:43;293] THESE COMPETITORS TOOK THE
[000:52:45;495] PLUNGE FROM A BUILDING PLATFORM
[000:52:47;297] 90 FEET ABOVE THE WATERFRONT.
[000:52:50;367] EARLIER THIS HOUR ON LIVE REPORT
[000:52:52;269] FROM A RAGING WILDFIRE, WENT OFF
[000:52:54;404] THE AIR WITH SMOKE HITTING OUR
[000:52:56;473] CREW, TECHNICAL ISSUES THERE
[000:52:57;607] CAUSED BY THE SMOKE.
[000:52:58;742] THEY HAD TO MOVE.
[000:53:00;477] BUT THEY'RE MOVING PEOPLE,
[000:53:02;112] FAMILIES, RESIDENTS IN THAT TOWN
[000:53:03;480] RIGHT NOW.
[000:53:04;181] THE MONSTER INFERNO IS ON.
[000:53:07;817] DOMINIC TELLS ME HE IS READY TO
[000:53:10;086] GIVE AN UPDATE AFTER THIS
[000:53:15;158] COMMERCIA
[000:54:09;179] THAT'S THE POWER
[000:54:09;179] OF GERMAN ENGINEERING.
[000:54:14;651] [ SHIP HORN BLOWS ]
[000:54:16;052] NO, NO, NO!
[000:54:16;052] STOP!
[000:54:17;187] HUMANS.
[000:54:18;755] ONE DAY WE'RE COMING UP
[000:54:18;755] WITH THE THEORY OF RELATIVITY,
[000:54:21;958] THE NEXT...
[000:54:21;958] NOT SO MUCH.
[000:54:24;261] BUT THAT'S OKAY --
[000:54:24;261] YOU'RE COVERED
[000:54:25;929] WITH GREAT IDEAS LIKE OPTIONAL
[000:54:25;929] BETTER CAR REPLACEMENT
[000:54:28;098] FROM LIBERTY MUTUAL INSURANCE.
[000:54:30;300] TOTAL YOUR CAR
[000:54:30;300] AND WE GIVE YOU THE MONEY
[000:54:32;068] TO BUY ONE A MODEL YEAR NEWER.
[000:54:33;637] LEARN ABOUT IT
[000:54:34;804] AT LIBERTYMUTUAL.COM.
[000:54:36;373] LIBERTY MUTUAL INSURANCE.
[000:54:38;842] RESPONSIBILITY.
[000:54:40;043] WHAT'S YOUR POLICY?
[000:54:43;880] LIKE CARPOOLS...
[000:54:44;981] POLLY WANTS TO KNOW
[000:54:44;981] IF WE CAN PICK HER UP.
[000:54:46;616] YEAH,
[000:54:46;616] WE CAN MAKE ROOM.
[000:54:46;616] YEAH.
[000:54:48;201] [ Male Announcer ]
[000:54:48;201] ...OFFICE SPACE.
[000:54:49;653] YES, WE'RE LOVING THIS
[000:54:49;653] COMMUNAL SEATING. IT'S GREAT.
[000:54:51;288] [ Male Announcer ]
