[000:00:05;17] [SOBBING]
[000:30:11;26] COST OF THIS TRAGEDY YET.  
[000:30:13;05] BUT THE DAMAGE TO HOMES AND  
[000:30:14;22] BUSINESSES COULD BE IN THE  
[000:30:15;20] BILLIONS OF DOLLARS.  
[000:30:16;27] IN FACT, OKLAHOMA'S  
[000:30:18;12] INSURANCE COMMISSIONER  
[000:30:19;13] PREDICTS IT WILL TOP THE  
[000:30:22;03] $3 BILLION IN DAMAGE FROM  
[000:30:23;13] THE JOB PALESTINIAN  
[000:30:24;16] MISSOURI STORM A COUPLE OF  
[000:30:25;20] YEARS AGO.  
[000:30:26;13] TODAY WE SPOKE WITH A WOMAN  
[000:30:27;21] WHO WENT TO JOPLIN BACK  
[000:30:30;08] THEN TO HELP.  
[000:30:31;00] SHE SAYS SHE REMEMBERS  
[000:30:33;02] VIVIDLY THOSE HEART BROKEN  
[000:30:34;19] SURVIVORS NOW SHE IS ONE OF  
[000:30:35;26] THEM.  
[000:30:38;18] >> I'M FROM KANSAS  
[000:30:40;15] ORIGINALLY.  
[000:30:41;01] SO FRIENDS AND I WENT OVER  
[000:30:41;25] AND WE JUST HELPED PASS OUT  
[000:30:44;08] WATER AND WE HELPED PEOPLE  
[000:30:45;17] GO THROUGH HOMES AND GET  
[000:30:47;07] WHAT THEY COULD AND, YOU  
[000:30:50;25] KNOW YOU ALWAYS PRAY AND  
[000:30:52;07] HOPE THAT IT'S NEVER YOU.  
[000:30:54;12] AND I HOPED IT WASN'T US  
[000:30:56;27] BUT, UNFORTUNATELY  
[000:31:00;16] UNFORTUNATELY IT WAS.  
[000:31:02;08] >> Shepard: THAT WOMAN  
[000:31:02;29] SPENT THE DAY CLIMBING  
[000:31:04;08] THROUGH THE WRECKAGE OF HER  
[000:31:05;08] HOME SEARCHING FOR HER DOG.  
[000:31:06;22] HER PUT WAS IN A BACK ROOM  
[000:31:08;00] WHEN THE TWISTER HIT.  
[000:31:09;02] SHE SAYS THE ENTIRE ROOM  
[000:31:11;09] VANISHED DOG AND ALL.  
[000:31:13;09] CASEY STEGALL SPOKE TODAY  
[000:31:14;11] WITH THAT WOMAN AND MANY OF  
[000:31:15;16] THE OTHER VICTIMS.  
[000:31:17;00] CASEY, WHAT ARE YOU SEEING  
[000:31:17;29] THERE WHERE YOU ARE?  
[000:31:20;03] >> WELL, SHEPARD YOU KNOW,  
[000:31:21;22] WHEN WE STARTED OUR DAY  
[000:31:22;21] THIS MORNING IT WAS A  
[000:31:23;16] MEMBER OF YOUR OWN TEAM WHO  
[000:31:25;07] SAID HEY WHERE ARE YOU  
[000:31:26;13] LOCATED?  
[000:31:26;28] I LOOKED AROUND AND I WAS  
[000:31:27;24] TRYING TO FIGURE OUT WHERE  
[000:31:28;18] TO TELL THEM TO GO AND I  
[000:31:31;11] REALIZED I WAS LOOKING IN  
[000:31:32;22] THE WRONG SPOT TO TELL THEM  
[000:31:34;09] WE WERE AT HEATHER LANE AND  
[000:31:36;13] SOUTHWEST SIXTH STREET.  
[000:31:37;11] SHEPARD, ON THE OUTSIDE  
[000:31:38;03] TODAY WAS ABOUT SIFTING  
[000:31:39;01] THROUGH THE RUBBLE IT WAS  
[000:31:40;08] ABOUT PICKING THROUGH THE  
[000:31:41;07] PIECES AND CLEANING UP.  
[000:31:42;18] BUT ON THE INSIDE, IT WAS  
[000:31:45;15] ABOUT SOMETHING ELSE ALL  
[000:31:46;10] TOGETHER IT WAS ABOUT HOPE.  
[000:31:47;20] HOPE THAT MORE SURVIVORS  
[000:31:48;27] WOULD BE FOUND AND HOPE  
[000:31:50;02] THAT THE DEATH TOLL  
[000:31:51;09] WOULDN'T RISE AND THAT IS  
[000:31:52;27] EXACTLY EMBODIED RIGHT BACK  
[000:31:54;18] THERE.  
[000:31:55;01] LOOK AT THAT A POWERFUL  
[000:31:56;16] IMAGE, A TATTERED AMERICAN  
[000:31:58;03] FLAG HANGING.  
[000:31:59;09] THE HOMEOWNER THERE SAYS  
[000:32:00;06] THAT HIS WIFE AND TWO  
[000:32:01;13] CHILDREN RODE THE STORM OUT  
[000:32:03;07] IN THEIR BATHTUB.  
[000:32:04;15] THEY ARE OKAY.  
[000:32:05;02] HE SAID HE WANTED TO HANG  
[000:32:06;12] THAT FLAG THERE AS A  
[000:32:07;23] REMINDER THAT NEIGHBORS ARE  
[000:32:10;04] HELPING THY NEIGHBOR AND  
[000:32:11;15] THIS COMMUNITY WILL  
[000:32:12;20] REBUILD.  
[000:32:13;04] WE ALSO WERE HERE THIS  
[000:32:13;29] MORNING WHEN THIS PERIMETER  
[000:32:15;11] WAS UNSEALED AND THEY LET  
[000:32:16;20] THE RESIDENTS IN FOR THE  
[000:32:18;00] VERY FIRST TIME AND WE WERE  
[000:32:19;24] WITH THIS WOMAN WHEN SHE  
[000:32:22;19] SAW EVERYTHING FIRSTHAND  
[000:32:28;06] EVERYTHING I KNOW, I RODE  
[000:32:30;15] MY STREET, MY BIKE THROUGH  
[000:32:32;04] THIS STREET.  
[000:32:39;25] THESE ARE MY FRIENDS  
[000:32:41;02] HOUSES.  
[000:32:41;16] I USED TO TAKE THE BUS  
[000:32:42;13] ROUTE AROUND HERE AND NOW  
[000:32:44;01] I DON'T KNOW, JUST REALLY  
[000:32:45;21] SAD AND SCARY AND IT'S  
[000:32:46;22] GOING TO TAKE SO LONG TO  
[000:32:48;00] REBUILD.  
[000:32:48;29] >> BUT THEY WILL REBUILD.  
[000:32:50;08] WE HAVE SEEN IT DONE  
[000:32:51;21] ELSEWHERE.  
[000:32:52;06] AND WE WILL SEE IT HERE.  
[000:32:52;29] IT WILL TAKE SOME TIME BUT  
[000:32:54;07] WE WILL GET THERE.  
[000:32:56;04] SHEP?  
[000:32:56;17] >> Shepard: YEAH, IT  
[000:32:57;07] CERTAINLY WILL TAKE SOME  
[000:32:58;11] TIME.  
[000:32:58;24] CASEY STEGALL IN THE MIDDLE  
[000:32:59;19] OF IT ALL.  
[000:33:00;05] CASEY, THANKS.  
[000:33:01;01] DISASTER RELIEF IS WELL  
[000:33:02;14] UNDERWAY HERE.  
[000:33:03;23] SALVATION ARMY OFFICIALS  
[000:33:04;15] SAY THAT THEY HAVE  
[000:33:06;27] DISPATCHED RESPONSE TEAMS  
[000:33:07;21] AND SET UP MOBILE FOOD  
[000:33:08;28] STATIONS TO GET REALLY  
[000:33:10;02] WHATEVER THEY CAN TO THE  
[000:33:11;16] VICTIMS.  
[000:33:12;00] THE RED CROSS SENDING  
[000:33:12;28] SIMILAR HELP TO THE AREA.  
[000:33:14;06] IT'S ALSO CREATED A WEB  
[000:33:15;08] SITE SO IF YOU WANT TO  
[000:33:16;18] CONNECT WITH PEOPLE  
[000:33:17;14] SEARCHING FOR LOVED ONES IN  
[000:33:18;20] THE WAKE OF THE STORM, YOU  
[000:33:20;09] CAN.  
[000:33:20;21] IF YOU WANT TO GO TO GO TO  
[000:33:23;29] SAFE AND WELL.ORG.  
[000:33:28;13] ENTER YOUR INFORMATION AND  
[000:33:29;10] LIST YOURSELF AS SAFE AND  
[000:33:31;14] YOU CAN CHECK WITH PEOPLE  
[000:33:32;08] WHO HAVE REGISTERED AS  
[000:33:33;16] WELL.  
[000:33:33;29] PEOPLE ARE HELPING OUT IN  
[000:33:35;10] SHELTERS.  
[000:33:36;25] OUR ALICIA ACUNA IS LIVE IN  
[000:33:38;13] ONE OF THE MOORE COMMUNITY  
[000:33:39;21] CENTER WHICH IS THE SHELTER  
[000:33:40;21] FOR EVERYBODY HERE TONIGHT.  
[000:33:41;24] HOW IS IT GOING ALICIA.  
[000:33:44;11] >> HOW IS IT GOING  
[000:33:48;03] SHEPARD.  
[000:33:48;17] SOME ARE COMING HERE TO  
[000:33:49;23] SLEEP SOME TO REST.  
[000:33:50;22] IF YOU TAKE A LOOK, THIS IS  
[000:33:51;18] WHERE A LOT OF FOLKS ARE  
[000:33:52;23] DROPPING OFF SUPPLIES.  
[000:33:53;18] THIS IS SOMETHING THAT HAS  
[000:33:54;15] BEEN GOING ON DAY.  
[000:33:56;19] FOLKS TRYING TO HELP OUT  
[000:33:57;21] ANY WAY THEY CAN.  
[000:33:59;04] NOW, THE RED CROSS SAYS  
[000:34:00;06] THAT A LOT OF PEOPLE  
[000:34:01;10] ACTUALLY PREFER TO STAY  
[000:34:02;06] WITH FAMILY AND FRIENDS.  
[000:34:03;04] BUT, STILL THE UNIVERSITY  
[000:34:04;25] OF OKLAHOMA IS ON SUMMER  
[000:34:06;09] BREAK AND IT SAYS THAT IT  
[000:34:07;10] IS OPENING UP ITS DORMS TO  
[000:34:09;08] DISPLACED FAMILIES ALSO.  
[000:34:10;11] AND TODAY A HUGE CELEBRITY  
[000:34:13;00] HERE.  
[000:34:13;16] OU HEAD FOOTBALL COACH BOB  
[000:34:17;07] STUCKS BROUGHT STACKS OF  
[000:34:18;29] $50 GIFT CARDS AND DECIDED  
[000:34:19;27] TO COME HERE AND VISIT WITH  
[000:34:21;15] THE FAMILIES AT THIS  
[000:34:26;13] SHELTER.  
[000:34:26;27] A LITTLE RELIEF AND BROUGHT  
[000:34:28;07] A BUNCH OF HATS AND  
[000:34:30;04] T-SHIRTS AND SOME DRY WEAR  
[000:34:31;24] FOR PEOPLE WHO HAVE BEEN  
[000:34:32;22] OUT ALL DAY AND TRYING TO  
[000:34:34;01] PASS THEM OUT.  
[000:34:35;20] AND HELP THEM A LITTLE BIT.  
[000:34:38;15] >> AS PART OF THE HEALING  
[000:34:39;27] PROCESS HERE, SOME OF THE  
[000:34:40;29] KIDS WERE ALLOWED TO GET  
[000:34:42;02] BACK TO BEING KIDS.  
[000:34:43;23] ART SUPPLIES PROVIDED TO  
[000:34:44;22] THE YOUNGEST WHO WERE  
[000:34:46;13] KICKED FROM THEIR HOMES BY  
[000:34:47;18] THAT TORNADO.  
[000:34:48;07] SO SHEP, THEY GOT TO  
[000:34:49;19] COLOR, WHICH IS GOOD FOR  
[000:34:50;20] EVERYONE HERE TO SEE.  
[000:34:52;20] SHEP?  
[000:34:53;04] >> Shepard: COLORING IS  
[000:34:53;27] ALWAYS FUN.  
[000:34:54;15] WE HAVE GOT A COUPLE HERE  
[000:34:56;07] WITH US YOU WILL NEAT A  
[000:34:57;24] SECOND WHO LOVE IT AS WELL.  
[000:34:59;07] CHRIS CATHY'S FAMILY WAS IN  
[000:35:00;10] THE MIDDLE OF THE CHAOS AND  
[000:35:02;02] DESTRUCTION.  
[000:35:02;18] THE HOME THEY HAD BEEN RENT  
[000:35:03;13] SOMETHING NOW LEVELED.  
[000:35:04;05] ONE OF CHRIS' CHILDREN IS A  
[000:35:07;08] KINDERGARTNER AT PLAZA  
[000:35:08;03] TOWERS ELEMENTARY.  
[000:35:08;26] THE SCHOOL WHERE THE  
[000:35:10;12] TORNADO -- WELL, THE  
[000:35:11;09] TORNADO THE SCHOOL TORNADO  
[000:35:13;02] FLATTENED.  
[000:35:13;17] CHRIS AND CORY AND HIS SON  
[000:35:14;25] CASH ARE ALL WITH US  
[000:35:15;29] TONIGHT.  
[000:35:16;13] HOW ARE YOU GUYS DOING?  
[000:35:17;08] >> PRETTY GOOD.  
[000:35:18;03] >> I MEAN, NOW IT'S MY  
[000:35:20;01] UNDERSTANDING, CORY, YOU  
[000:35:20;24] WERE IN SCHOOL RIGHT?  
[000:35:23;02] WERE YOU?  
[000:35:25;04] I KNOW HELLO KITTY IS MUCH  
[000:35:26;29] MORE INTERESTING THAN ME.  
[000:35:28;00] I UNDERSTAND.  
[000:35:28;25] THIS I WAS JUST WONDERING  
[000:35:30;16] HOW IS SHE DOING THERE?  
[000:35:31;19] >> SHE SAID SHE WASN'T  
[000:35:33;03] SCARED BUT I KNOW IT WAS  
[000:35:34;19] PROBABLY A DIFFERENT STORY  
[000:35:35;13] IN THERE I WASN'T THERE.  
[000:35:36;22] I WAS ABOUT AN HOUR AWAY  
[000:35:38;02] AND RUSHING TO GET THERE.  
[000:35:40;14] I'M SURE SHE WAS PRETTY  
[000:35:42;02] SHAKEN UP.  
[000:35:42;21] SHE WAS SHAKEN UP WHEN I  
[000:35:43;20] SAW HER.  
[000:35:45;03] >> Shepard: IS SHE ALWAYS  
[000:35:45;28] QUIET OR DOESN'T LIKE  
[000:35:47;09] TELEVISION LIFE.  
[000:35:47;27] >> SHE IS VERY SHY.  
[000:35:49;02] >> WHAT ABOUT YOU CASH?  
[000:35:50;20] I DON'T THINK -- THESE ARE  
[000:35:51;14] THE ONLY CHILDREN IN THE  
[000:35:52;07] WORLD THAT DON'T TALK.  
[000:35:53;08] YOU ARE A VERY LUCKY MAN.  
[000:35:54;15] IN ALL SERIOUSNESS THOUGH,  
[000:35:56;07] DID YOU LOSE EVERYTHING?  
[000:35:57;15] >> PRETTY MUCH.  
[000:35:58;13] PRETTY MUCH EVERYTHING.  
[000:35:59;18] WE HAVE SALVAGED SOME  
[000:36:01;00] PICTURES AND SOME CLOTHES  
[000:36:01;28] AND EVERYTHING ELSE I JUST  
[000:36:03;15] COUNT IT AS A LOSS.  
[000:36:04;16] >> WHAT DO YOU PLAN TO DO?  
[000:36:05;25] >> JUST REBUILD EVERYTHING  
[000:36:12;01] IS REPLACEABLE BUT THESE  
[000:36:13;22] TWO.  
[000:36:14;04] >> WE ARE SHOWING PICTURES  
[000:36:15;08] WHAT'S LEFT OF YOUR HOUSE.  
[000:36:16;25] IT'S JUST UNBELIEVABLE.  
[000:36:19;06] IT'S SOMETHING TO SEE.  
[000:36:20;20] I DIDN'T EXPECT IT TO BE  
[000:36:21;27] THAT BAD.  
[000:36:22;14] >> NOW CORY'S TEACHER IS  
[000:36:23;26] IN THE HOSPITAL, RIGHT  
[000:36:25;07] WITH AN ARM INJURY.  
[000:36:26;17] >> RIGHT.  
[000:36:27;04] >> WHAT HAPPENED TO HER?  
[000:36:27;28] >> I'M NOT SURE.  
[000:36:29;11] I GUESS THE WALLS CAVED IN  
[000:36:30;23] WHERE THEY WERE AND THEY  
[000:36:31;27] TOLD ME SOMETHING HAD  
[000:36:32;28] LANDED ON HER ARM.  
[000:36:34;05] I DON'T KNOW HOW BAD IT IS  
[000:36:35;06] YET.  
[000:36:35;27] >> HAVE YOU BEEN ABLE TO  
[000:36:36;24] THINK ABOUT NOT JUST WHAT  
[000:36:39;05] TOMORROW BRINGS BUT ABOUT  
[000:36:40;05] WHAT THE NEXT WEEKS AND  
[000:36:41;17] MONTHS BRING?  
[000:36:42;04] >> I HAVEN'T BEEN ABLE TO  
[000:36:43;05] THINK OF MUCH.  
[000:36:43;27] I'M JUST TRYING TO GET A  
[000:36:45;02] PLAN TOGETHER.  
[000:36:47;06] I HAVEN'T GIVE IT MUCH  
[000:36:48;06] FUTURE THOUGHT YET.  
[000:36:48;26] >> I GUESS TODAY IS HARD  
[000:36:51;01] ENOUGH.  
[000:36:51;15] >> RIGHT.  
[000:36:52;00] IT'S TOO SOON.  
[000:36:52;18] >> WHERE ARE YOU STAYING  
[000:36:55;12] AND CASH NEEDS A HUG.  
[000:36:58;07] >> WE ARE STAYING IN A  
[000:36:59;16] HOTEL ON NORTH MERIDIAN.  
[000:37:01;19] WE WILL BE THERE FOR A  
[000:37:03;10] WHILE UNTIL I FIGURE  
[000:37:04;03] EVERYTHING OUT.  
[000:37:04;24] >> HAVE YOU AND YOUR  
[000:37:05;16] NEIGHBORS BEEN ABLE TO GET  
[000:37:06;10] WHAT YOU NEED?  
[000:37:06;28] >> SO FAR.  
[000:37:07;19] SO FAR WE HAVE BEEN  
[000:37:09;05] BLESSED.  
[000:37:09;19] EVERYBODY HAS BEEN HELPING  
[000:37:11;05] OUT.  
[000:37:12;04] FAMILIES CAME DOWN.  
[000:37:13;08] BEEN LETY GOOD.  
[000:37:17;00] >> YOUR KIDS SEEM SO TIRED.  
[000:37:19;02] I UNDERSTAND HOW THEY WOULD  
[000:37:20;14] BE.  
[000:37:20;26] THAT RAIN TODAY AND COLD  
[000:37:21;20] AND REALLY DRAINING.  
[000:37:22;19] >> YEAH, IT'S TAKEN A LOT  
[000:37:26;01] ON THEM.  
[000:37:26;17] WORE THEM OUT A LITTLE BIT.  
[000:37:28;01] >> HAVE THEY SEEMED OKAY?  
[000:37:29;23] CASH ARE DO YOU GO GOOD?  
[000:37:31;04] YEAH, ALL RIGHT.  
[000:37:31;23] WE GOT A NOD OUT OF HIM  
[000:37:33;27] ANYWAY AND A VERY COOL  
[000:37:35;04] SNUGY.  
[000:37:35;17] WERE THESE THINGS DONATED?  
[000:37:37;01] >> YEAH.  
[000:37:37;15] THEY WERE DONATED.  
[000:37:38;06] HER COUSIN HAD CAME DOWN  
[000:37:39;09] AND BROTHER AND THEY  
[000:37:40;04] BROUGHT SOME SUPPLIES.  
[000:37:41;19] >> Shepard: Y'ALL HAVE  
[000:37:42;11] PEOPLE TO STAY WITH AND  
[000:37:43;13] SOME SUPPORT AROUND YOU?  
[000:37:44;08] >> YEAH.  
[000:37:44;23] WE HAVE SOME SUPPORT.  
[000:37:45;18] MY GRANDPARENTS LIVE UP  
[000:37:47;24] HERE.  
[000:37:48;07] >> Shepard: YOU ARE LUCKY  
[000:37:49;00] THAT WAY.  
[000:37:49;15] CASH I THINK YOU NEED IT A  
[000:37:50;27] NAP, DON'T YOU CASH AND  
[000:37:53;14] CORY AND CHRIS YOU NEED  
[000:37:55;29] SOME SHOES TOO BABE.  
[000:37:57;28] SHE LEFT THEM IN THE CAR.  
[000:37:59;10] NOT THAT THEY ARE SHOELESS.  
[000:38:01;11] GOOD LUCK TO YOU GUYS.  
[000:38:02;08] I HOPE EVERYTHING GOES  
[000:38:03;02] WELL.  
[000:38:03;15] >> WE APPRECIATE IT REALLY  
[000:38:05;18] DO.  
[000:38:06;01] >> Shepard: IF THEY DECIDE  
[000:38:06;25] TO TALK GIVE US A CALL WE  
[000:38:07;20] WOULD LOVE TO CHAT WITH  
[000:38:08;16] THEM.  
[000:38:08;29] >> ALL RIGHT.  
[000:38:09;16] THANK YOU.  
[000:38:10;21] >> Shepard: OH MY  
[000:38:11;11] GOODNESS.  
[000:38:11;26] MIGHTY TOUGH FOR ALL THESE  
[000:38:13;03] FAMILIES.  
[000:38:13;18] IT'S ONE THING YOU KEEP  
[000:38:14;10] YOUR KIDS IN A ROUTINE AND  
[000:38:15;25] EVERY DAY YOU WANT TO EAT  
[000:38:17;17] AT THIS TIME.  
[000:38:18;09] AND YOU GO TO THE BUS AT  
[000:38:19;03] THIS TIME.  
[000:38:19;23] WE ARE GOING TO GO TO BED  
[000:38:20;24] AT THAT TIME.  
[000:38:21;29] ALL ROUTINES ARE OUT THE  
[000:38:23;12] DOOR.  
[000:38:23;25] AND CHILDREN ARE A LOT OF  
[000:38:26;00] WORK FOR A LOT OF FOLKS  
[000:38:27;12] AROUND HERE NOW.  
[000:38:28;11] MUCH MORE AHEAD FROM  
[000:38:29;26] OKLAHOMA.  
[000:38:30;11] WE'LL BRING YOU THE  
[000:38:31;01] BREAKING DETAILS AS THEY  
[000:38:32;00] COME IN.  
[000:38:32;20] PLUS WE'RE FOLLOWING OTHER  
[000:38:34;08] BIG STORIES TODAY.  
[000:38:35;27] INCLUDING THE TRIAL OF JODI  
[000:38:37;01] ARIAS WHO SPOKE OUT TODAY  
[000:38:39;09] IN COURT.  
[000:38:39;28] YOU WILL HEAR WHY SHE SAYS  
[000:38:41;05] SHE WOULD PREFER NOT TO DIE  
[000:38:42;16] IN PRISON AND ALL THAT SHE  
[000:38:44;02] HAS TO PROVIDE SOCIETY FROM  
[000:38:47;22] INSIDE PRISON, THAT AND THE  
[000:38:49;03] HORROR IN THE HEARTLAND  
[000:38:50;03] JUST AHEAD AS FOX REPORTS  
[000:38:51;18] LIVE TONIGHT.
[000:38:54;12] rsity WOULD  GIVE ME THE SKILLS  THAT
[000:38:55;27] I NEEDED TO MAKE  ONE OF THOSE TECH
[000:38:56;19] JOBS MINE.  WE TEACH CUTTING-EDGE
[000:38:58;14] ENGINEERING TECHNOLOGY  COMPUTER INFORMATION
[000:39:00;21] SYSTEMS  NETWORKING  AND COMMUNICATIONS
[000:39:02;13] MANAGEMENT --  THE THINGS THAT OUR
[000:39:03;04] STUDENTS  NEED TO KNOW IN THE WORLD
[000:39:06;04] TODAY.  OUR COUNTRY NEEDS  MORE COLLEGE
[000:39:07;27] GRADS  TO HELP FILL  ALL THE OPEN
[000:39:09;21] TECHNOLOGY JOBS.  TO HELP MEET THAT
[000:39:11;19] NEED, HERE AT  DeVry University  WE'RE
[000:39:13;26] OFFERING $4 MILLION   DOLLARS IN TECH
[000:39:14;17] SCHOLARSHIPS  FOR QUALIFIED NEW STUDENTS.
[000:39:17;27] LEARN MORE AT DeVry.edu.
[000:41:52;25] What makes the Sleep
[000:41:53;11] Number store different?  You walk
[000:41:54;09] into a  conventional mattress
[000:41:55;22] store, it's really not  about you.
[000:41:57;19] They say, "Well, if you  wanted a
[000:41:58;11] firm bed you can
[000:42:00;09] lie on one of those.
[000:42:01;01] We provide the exact  individualization
[000:42:01;24] that
[000:42:03;16] your body needs.
[000:42:04;27] Oh, yeah!
[000:42:05;22] Wow.
[000:42:06;04] Once you experience it  there's no
[000:42:06;25] going back.
[000:42:07;29] At the Sleep Number  Memorial Day
[000:42:08;21] Sale,
[000:42:10;01] save on the closeout of  our Classic
[000:42:10;25] Special
[000:42:12;21] Edition bed set.
[000:42:13;14] Now just $1299-a savings  of $600.
[000:42:17;00] Only at the Sleep Number  store.
[000:42:18;27] Sleep Number.
[000:42:19;21] Comfort Individualized.
[000:42:29;09] >> Shepard: BACK LIVE IN  
[000:42:31;00] MOVE OKLAHOMA WITH MORE ON  
[000:42:31;24] THE KILLER TORNADO IN THE  
[000:42:32;17] HEARTLAND.  
[000:42:33;03] FIRST, JURORS HAVE BEGAN  
[000:42:34;09] DELIBERATING WITH JODI  
[000:42:35;11] ARIAS GETS LIFE OR DEATH  
[000:42:36;21] AFTER SHE REVEALED TODAY  
[000:42:38;02] THAT SHE NO LONGER WANTS TO  
[000:42:39;14] DIE OR SO SHE SAYS IS.  
[000:42:40;19] SHE NOW SAYS SHE WANTS LIFE  
[000:42:41;27] IN PRISON.  
[000:42:42;18] >> UNTIL VERY RECENTLY, I  
[000:42:43;23] COULD NOT HAVE MANAGED  
[000:42:45;08] STANDING BEFORE YOU ALL AND  
[000:42:46;17] ASKING YOU TO GIVE ME LIFE.  
[000:42:50;14] TO ME, LIFE IN PRISON WAS  
[000:42:51;24] THE MOST UNAPPEALING  
[000:42:53;07] OUTCOME I COULD POSSIBLY  
[000:42:54;09] THINK OF.  
[000:42:55;28] I THOUGHT I WOULD RATHER  
[000:42:58;15] DIE.  
[000:42:58;27] BUT AS I STAND HERE NOW, I  
[000:43:00;06] CAN'T IN GOOD CONSCIENCE  
[000:43:02;06] ASK TO YOU SENTENCE ME TO  
[000:43:04;06] DEATH.  
[000:43:04;19] >> Shepard: OF COURSE  
[000:43:05;10] THAT'S NOT WHAT SHE TOLD  
[000:43:06;04] OUR STATION FOX 10 IN  
[000:43:07;17] PHOENIX JUST HOURS AFTER  
[000:43:08;18] THE JURY FOUND HER GUILTY  
[000:43:09;25] OF MURDER IN THE FIRST  
[000:43:10;22] DEGREE AFTER SHE STABBED  
[000:43:12;06] HER EX-BOYFRIEND 27 TIMES  
[000:43:13;28] SHOT HIM AND SLIT HIS  
[000:43:16;16] THROAT.  
[000:43:17;00] AT THAT TIME SHE CALLED  
[000:43:17;22] DEATH THE ULTIMATE FREEDOM  
[000:43:19;22] BUT TODAY SHE TOLD THE JURY  
[000:43:21;10] SHE HAS MORE PERSPECTIVE  
[000:43:22;15] NOW ABOUT THE POSITIVE  
[000:43:24;17] CHANGE SHE CAN MAKE IN  
[000:43:27;24] PRISON.  
[000:43:28;09] >> I DESIGNED A T-SHIRT.  
[000:43:33;29] THIS IS THE T-SHIRT.  
[000:43:36;12] WHICH 100% OF THE PROCEEDS  
[000:43:38;00] GO TO SUPPORT NONPROFIT  
[000:43:41;01] ORGANIZATIONS WHICH ALSO  
[000:43:42;26] IS OTHER VICTIMS OF  
[000:43:43;17] DOMESTIC VIOLENCE.  
[000:43:45;26] >> Shepard: REMEMBER AREAS  
[000:43:46;20] AND THE DEFENSE DID NOT  
[000:43:48;11] PRESENT MUCH EVIDENCE TO  
[000:43:49;27] SUPPORT THE CLAIM THAT SHE  
[000:43:51;13] HERSELF WAS A VICTIM OF  
[000:43:52;08] DOMESTIC VIOLENCE.  
[000:43:52;27] THERE WAS NO PHYSICAL  
[000:43:53;19] EVIDENCE AT ALL.  
[000:43:54;11] TODAY SHE SAID THAT PEOPLE  
[000:43:55;18] THAT DON'T BELIEVE HER ARE  
[000:43:56;19] ENTITLED TO THEIR OPINIONS.  
[000:43:57;25] SHE ALSO SHOWED OFF SOME OF  
[000:43:59;07] HER AFTER THE -- ARTWORK  
[000:44:03;10] DRAWINGS OF FRANK SINATRA  
[000:44:05;08] ELVIS PRESLEY AND ELIZABETH  
[000:44:07;22] TAYLOR.  
[000:44:08;06] JODI ARIAS SAYS AS IT  
[000:44:08;28] STANDS SHE WILL NEVER  
[000:44:09;19] CREATE ANOTHER OIL PAINTING  
[000:44:10;14] IN HER LIFE AND WE ARE NOW  
[000:44:12;00] ABOUT TO HEAR EVEN MORE  
[000:44:13;10] FROM THIS, WOMAN BECAUSE  
[000:44:14;22] SHE HAS AGREED TO  
[000:44:16;03] INTERVIEWS WITH MAJOR  
[000:44:16;28] TELEVISION NETWORKS,  
[000:44:17;29] INCLUDING FOX LATER  
[000:44:19;03] TONIGHT.  
[000:44:19;17] TRACE GALLAGHER LIVE IN THE  
[000:44:21;01] WEST COAST NEWS HUB.  
[000:44:22;10] MAYBE THIS WILL BE THE LAST  
[000:44:23;09] OF IT.  
[000:44:27;25] JURY HAS THE CASE AGAIN  
[000:44:28;28] SHEP.  
[000:44:29;11] THEY DELIVERED IT FOR AN  
[000:44:30;16] HOUR AND HOUR AND A HALF.  
[000:44:32;24] 15 MINUTES AGO 10:00 LOCAL.  
[000:44:37;01] 1:00 IN THE EAST.  
[000:44:38;04] EXPERTS DO NOT BELIEVE  
[000:44:39;18] THESE DELIBERATIONS DIDN'T  
[000:44:41;17] LAST VERY LONG.  
[000:44:43;05] REMEMBER DURING THE GUILT  
[000:44:45;16] PHASE DELIBERATED 15 HOURS.  
[000:44:46;27] DURING THE AGGRAVATING  
[000:44:48;00] PHASE THEY ONLY DELIBERATED  
[000:44:49;14] FOR AN HOUR AND A HALF.  
[000:44:50;16] HERE NOW IS A SAMPLE OF THE  
[000:44:51;27] CLOSING ARGUMENTS FROM BOTH  
[000:44:54;28] SIDES.  
[000:44:55;12] >> ALL OF THIS IS BEING  
[000:44:56;12] PRESENTED TO YOU DURING  
[000:44:57;26] THIS PHASE OF THE  
[000:45:02;09] PROCEEDINGS.  
[000:45:03;02] MOST OF IT HAS COME FROM  
[000:45:04;09] THE DEFENDANT'S MOUTH.  
[000:45:05;02] THIS INDIVIDUAL THAT WILL  
[000:45:06;25] NOT HESITATE WHEN THE TRUTH  
[000:45:08;08] FAILS TO COME UP WITH A  
[000:45:09;28] LIE.  
[000:45:10;10] >> BUT LYING IS NOT A  
[000:45:12;06] CAPITAL CRIME.  
[000:45:12;24] AND LYING DOES NOT GIVE YOU  
[000:45:14;20] THE DEATH PENALTY AND LYING  
[000:45:16;10] ISN'T EVEN AN AGO  
[000:45:19;08] AGGRAVATING FACTOR.  
[000:45:19;28] >> IF SHE GETS LIFE SHE  
[000:45:21;07] GOES BACK TO THE MARICOPA  
[000:45:22;27] COUNTY JAIL FOR A SHORT  
[000:45:23;27] TIME AND THEN TO PRISON.  
[000:45:25;12] IF SHE GETS DEATH.  
[000:45:26;12] SHE GOES DIRECTLY TO DEATH  
