[000:00:00;09] [ LAUGHTER ]  
[000:30:47;00] NOW THE ADMINISTRATION SAYS  
[000:30:48;01] THERE IS NO DOUBT THE U.S.  
[000:30:49;22] WILL RESPOND.  
[000:30:50;09] THE ONLY QUESTION IS WHEN  
[000:30:52;20] AND HOW THE U.S. HAS  
[000:30:57;16] FOUR WARSHIPS OFF THE COAST  
[000:30:58;19] OF MILITARY.  
[000:30:59;29] THE MILITARY IS READY TO  
[000:31:01;15] STRIKE WHENEVER PRESIDENT  
[000:31:02;08] OBAMA GIVES THAT ORDER.  
[000:31:03;13] BUT DEFENSE SECRETARY CHUCK  
[000:31:04;10] HAGEL STRESSING THE U.S.  
[000:31:05;19] WILL COORDINATE ANY ACTION  
[000:31:06;25] WITH OUR INTERNATIONAL  
[000:31:08;26] PARTNERS.  
[000:31:09;11] ED HENRY LIVE AT THE WHITE  
[000:31:10;04] HOUSE TONIGHT.  
[000:31:10;26] ED, GOOD EVENING TO YOU.  
[000:31:13;20] WOULD THE THE  
[000:31:14;09] ADMINISTRATION GET  
[000:31:15;19] CONGRESSIONAL AUTHORITY OR  
[000:31:16;12] IS THIS A DECISION THE  
[000:31:17;21] PRESIDENT WILL MAKE ON HIS  
[000:31:19;24] OWN.  
[000:31:20;06] >> GOOD EVENING, BILL.  
[000:31:20;27] IT LOOKS LIKE THE PRESIDENT  
[000:31:23;04] IS GOING TO OPERATE  
[000:31:24;18] UNILATERALLY WITHOUT  
[000:31:25;23] CONGRESS.  
[000:31:26;09] INTERESTING BECAUSE VICE  
[000:31:27;01] PRESIDENT JOE BIDEN TODAY  
[000:31:28;06] ADDED HIS NAME TO THE  
[000:31:29;01] COURSE OF TOP OFFICIALS  
[000:31:30;00] HERE AT THE WHITE HOUSE  
[000:31:30;22] SAYING THAT ASSAD AND SYRIA  
[000:31:32;10] NEEDS TO BE HELD  
[000:31:33;24] ACCOUNTABLE.  
[000:31:34;10] THAT HE DID, IN FACT, USE  
[000:31:35;12] CHEMICAL WEAPONS.  
[000:31:36;09] BUT SOME DEMOCRATS ON  
[000:31:37;17] CAPITOL HILL LIKE  
[000:31:39;12] CONGRESSWOMAN BARBARA LEE,  
[000:31:40;06] THE ONLY MEMBER OF CONGRESS  
[000:31:41;00] TO VOTE AGAINST THE WAR IN  
[000:31:42;15] AFGHANISTAN DEMANDING A  
[000:31:43;25] DEBATE AND VOTE IN  
[000:31:45;13] CONGRESS.  
[000:31:45;28] OFFICIALS HERE AT THE WHITE  
[000:31:46;22] HOUSE TELLING ME THAT IS  
[000:31:47;27] UNLIKELY TO HAPPEN BEFORE  
[000:31:48;23] THE PRESIDENT MAKES HIS  
[000:31:49;25] DECISION ON WHETHER TO MOVE  
[000:31:50;29] FORWARD ON U.S. MILITARY  
[000:31:52;26] ACTION.  
[000:31:53;10] EVEN THOUGH IN THE 2008  
[000:31:54;12] CAMPAIGN, HE SLAMMED THE  
[000:31:56;00] BUSH ADMINISTRATION FOR  
[000:31:57;11] ACTING UNILATERALLY, TAKE A  
[000:31:59;11] LISTEN TO HOW I PRESSED JAY  
[000:32:00;28] CARNEY ABOUT THIS AND  
[000:32:01;23] LISTEN TO THE VICE  
[000:32:02;12] PRESIDENT AS WELL.  
[000:32:04;18] >> 2007, CANDIDATE OBAMA  
[000:32:06;04] WAS AN ACTUAL OR IMMINENT  
[000:32:07;17] THREAT TO THE NATION.  
[000:32:08;16] DO YOU BELIEVE THAT EXISTS  
[000:32:09;14] RIGHT NOW AN ACTUAL OR  
[000:32:10;28] IMMINENT THREAT TO THE  
[000:32:11;19] UNITED STATES?  
[000:32:12;06] >> I BELIEVE THAT  
[000:32:14;20] ABSOLUTELY ALLOWING THE USE  
[000:32:16;01] OF CHEMICAL WEAPONS ON A  
[000:32:19;09] SIGNIFICANT STALE TO TAKE  
[000:32:21;20] PLACE WITHOUT A RESPONSE  
[000:32:29;10] WOULD PRESENT A SIGNIFICANT  
[000:32:31;10] THREAT TO UNITED STATES  
[000:32:33;08] NATIONAL SECURITY INTEREST.  
[000:32:34;05] >> NATIONAL SECURITY IS  
[000:32:35;05] STRENGTHENED WHEN WE HOLD  
[000:32:36;20] ACCOUNTABLE THOSE WHO  
[000:32:38;05] VIOLATE INTERNATIONAL  
[000:32:38;26] NORMS.  
[000:32:40;00] >> NOW THE WOWS JUST  
[000:32:41;14] REVEALED IN THE LAST FEW  
[000:32:42;27] MOMENTS AND THE PRESIDENT  
[000:32:43;23] JUST GOT OFF THE PHONE WITH  
[000:32:45;05] THE BRITISH PRIME MINISTER  
[000:32:46;00] DAVID CAMMERON.  
[000:32:46;26] WHAT'S SIGNIFICANT ABOUT  
[000:32:47;18] THAT SECOND TIMED THEY HAVE  
[000:32:48;26] SPOKEN JUST IN THE LAST FEW  
[000:32:50;09] DAYS.  
[000:32:50;22] CONSULTING WITH ALLIES LIKE  
[000:32:51;16] THAT SUGGEST WE ARE EDGING  
[000:32:52;21] CLOSER TO U.S. MILITARY  
[000:32:54;20] ACTION.  
[000:32:55;23] BILL?  
[000:32:56;06] >> Bill: WE ARE HEARING  
[000:32:56;28] FROM MANY PRODUCTION AT  
[000:32:58;07] LEAST SOME OF THEM ANY WAY  
[000:32:59;27] SUGGESTING THERE SHOULD NOT  
[000:33:00;25] BE SOME SORT OF SYMBOLIC  
[000:33:02;12] HIT OR ATTACK, ED?  
[000:33:03;15] >> THAT'S RIGHT.  
[000:33:04;10] REPUBLICANS LIKE JOHN  
[000:33:05;07] MCCAIN SAYING TONIGHT LOOK,  
[000:33:06;15] IF THERE IS GOING TO BE  
[000:33:07;17] MILITARY ACTION, FINE.  
[000:33:08;12] BUT THE PRESIDENT NEEDS TO  
[000:33:09;18] EXPLAIN THE MISSION TO THE  
[000:33:10;18] AMERICAN PEOPLE AND MCCAIN  
[000:33:11;27] SAYING TONIGHT HE CAN'T  
[000:33:12;29] JUST BE SOME SYMBOLIC MOVE  
[000:33:15;10] TO BACK UP THE PRESIDENT'S  
[000:33:16;29] RHETORIC FROM LAST SUMMER  
[000:33:17;24] ABOUT A RED LINE ON  
[000:33:19;07] CHEMICAL WEAPONS.  
[000:33:20;08] MCCAIN SAYING IT'S GOT TO  
[000:33:21;12] BE A SERIOUS MILITARY  
[000:33:22;25] ACTION THAT ACTUALLY  
[000:33:24;13] DEGRADES ASSAD'S FORCES.  
[000:33:25;15] TAKE LAFN.  
[000:33:26;18] >> IF IT'S SIMPLY THAT WE  
[000:33:28;23] LAUNCH SOME CREWS MISSILES  
[000:33:29;23] AND DO THAT FOR THREE DAYS  
[000:33:31;28] AND NOT HAVE SIGNIFICANT  
[000:33:33;26] EFFECT ON THE MOMENTUM ON  
[000:33:35;08] THE BATTLEFIELD IT WILL  
[000:33:38;15] HAVE AN UNHELPFUL EFFECT.  
[000:33:40;17] IF WE DO IT RIGHT.  
[000:33:41;21] AND WE GET THE MOMENTUM  
[000:33:44;15] BACK ON SHIFTED TO OUR  
[000:33:47;02] FREEDOM FIGHTERS --  
[000:33:48;11] >> NOW, THE NEXT STEP IN  
[000:33:49;10] THE CASE FOR MILITARY  
[000:33:51;16] ACTION WE'RE EXPECTING THE  
[000:33:52;17] WHITE HOUSE AS EARLY AS  
[000:33:53;21] TOMORROW TO DECLASSIFY SOME  
[000:33:54;28] INTELLIGENCE THAT THEY SAY  
[000:33:55;25] WILL SHOW THAT ASSAD DID  
[000:33:57;15] USE CHEMICAL WEAPONS.  
[000:33:58;09] THAT WILL MOVE THEM ONE  
[000:33:59;20] STEP CLOSER TO ACTUAL  
[000:34:00;13] MILITARY ACTION,  (A  8GBm&n;<@&E}lK
[000:34:02;12] Z5R$  (PR&L.  
[000:34:03;00] >> Bill: A LOT MORE COMING  
[000:34:03;23] UP CLEARLY ON THIS  
[000:34:04;23] TOMORROW.  
[000:34:05;08] ED HENRY THANKS FROM THE  
[000:34:06;00] WHITE HOUSE ON THE FRONT  
[000:34:06;25] LAWN TONIGHT.  
[000:34:07;16] WILDFIRE ALERT NOW.  
[000:34:09;10] NEARLY 4,000 FIREFIGHTERS  
[000:34:10;03] FROM AROUND THE COUNTRY ARE  
[000:34:10;27] FIGHTING A MASSIVE BLAZE IN  
[000:34:13;01] CALIFORNIA.  
[000:34:13;17] SO FAR THE RIM FIRE HAS  
[000:34:15;01] SPREAD TO COVER AN AREA OF  
[000:34:18;08] SOME 200 AND 80 SQUARE  
[000:34:20;03] MILES.  
[000:34:20;16] IT'S THE STATE'S SEVENTH  
[000:34:21;26] LARGEST FIRE ON RECORD.  
[000:34:23;01] AND IT CONTINUES TO  
[000:34:24;10] THREATEN MORE OF THE  
[000:34:26;07] YOSEMITE NATIONAL PARK.  
[000:34:27;02] AS OF THE LAST COUNT, THE  
[000:34:28;09] WILDFIRE WAS ABOUT 20%  
[000:34:30;05] CONTAINED.  
[000:34:30;20] THAT WAS IT.  
[000:34:31;06] THIS THING HAS BEEN BURNING  
[000:34:32;02] FOR DAYS.  
[000:34:32;22] AS WE REPORTED YESTERDAY,  
[000:34:34;07] IT'S NOT ONLY THREATENING  
[000:34:35;06] POWER AND GAS LINES, BUT  
[000:34:36;22] THE WATER SUPPLY FOR  
[000:34:39;02] MILLIONS IN THE NEAR SAN  
[000:34:40;13] FRANCISCO BAY AREA.  
[000:34:41;26] CLAUDIA COWAN IS LIVE NEAR  
[000:34:42;19] THE EDGE OF THAT FIRE FOR  
[000:34:44;03] US THIS EVENING.  
[000:34:48;12] CLAUDIA?  
[000:34:48;26] >> BILL, WE ARE UNDER AN  
[000:34:51;26] EVACUATION ADVISORY FOR A  
[000:34:52;24] SIXTH STRAIGHT DAY.  
[000:34:53;19] FIRE CREWS ARE MAKING  
[000:34:55;03] PROGRESS BUT SAY STRONG  
[000:34:56;14] WIND GUSTS ESPECIALLY IN  
[000:34:58;00] THOSE CANYONS ARE MAKING IT  
[000:34:59;07] VERY TOUGH GOING.  
[000:35:00;20] OUR CAMERAS WERE ON A MEDIA  
[000:35:02;11] TOUR THIS AFTERNOON AND  
[000:35:03;06] HAPPENED TO SEE THIS GROVE  
[000:35:04;08] OF PONDEROSA PINES EXPLODE  
[000:35:06;02] INTO FLAMES.  
[000:35:06;26] HOT SPOTS LIKE THIS  
[000:35:07;28] CONTINUE TO HAMPER  
[000:35:09;13] CONTAINMENT EFFORTS AND  
[000:35:11;02] STRUCTURE PROTECTION.  
[000:35:12;02] 31 HOMES AND 80  
[000:35:13;19] OUTBUILDINGS LOST SO FAR.  
[000:35:15;14] BUT, IRONICALLY, BECAUSE OF  
[000:35:16;26] THIS FIRE'S ERRATIC  
[000:35:18;13] MOVEMENT, THIS MAY BE THE  
[000:35:19;24] BEST TIME TO VISIT  
[000:35:21;11] YOSEMITE.  
[000:35:23;03] >> YOU GO INTO THE PARK AND  
[000:35:25;14] YOSEMITE VALLEY AND IT'S  
[000:35:26;06] HARD TO TELL THAT THERE IS  
[000:35:27;12] A FIRE JUST 20 MILES AWAY  
[000:35:29;04] BECAUSE THE SMOKE IS  
[000:35:29;29] FLOWING AWAY FROM THE  
[000:35:31;11] VALLEY AND FRASIER POINT.  
[000:35:32;26] THE VIEWS ARE ALL STILL AS  
[000:35:34;11] BEAUTIFUL AS THEY ALWAYS  
[000:35:35;07] ARE.  
[000:35:37;05] >> UNFORTUNATELY, A LOT OF  
[000:35:38;04] THAT SMOKE IS BLOWING RIGHT  
[000:35:39;28] INTO ARENA, NEVADA WHERE  
[000:35:41;13] THE AIR QUALITY IS NOW  
[000:35:42;12] LISTED AS UNHEALTHY FOR  
[000:35:44;19] EVERYONE.  
[000:35:45;04] FIRE CREWS HERE SAY THEY  
[000:35:46;15] HOPE COOLER TEMPERATURES  
[000:35:48;17] AND HIGHER HUMIDITY OVER  
[000:35:50;12] THE NEXT COUPLE OF DAY ALSO  
[000:35:51;12] HELP THEM GET THE UPPER  
[000:35:53;06] HAND.  
[000:35:53;19] BILL, THEY SAY IT COULD BE  
[000:35:54;24] MONTHS, WELL INTO WINTER  
[000:35:56;02] BEFORE THIS MASSIVE  
[000:35:57;12] WILDFIRE IS COMPLETELY OUT.  
[000:35:58;12] >> WOW THAT'S AMAZING.  
[000:36:00;03] STILL DON'T KNOW THE CAUSE  
[000:36:02;07] EITHER.  
[000:36:02;21] CLAUDIA COWAN NORTHERN  
[000:36:03;12] CALIFORNIA FOR US TONIGHT.  
[000:36:04;12] THERE IS GOOD NEWS IF YOU  
[000:36:05;07] ARE LOOKING TO SELL YOUR  
[000:36:06;06] HOME NOW.  
[000:36:06;21] A NEW REPORT FINDS THAT  
[000:36:07;17] HOME PRICES ACROSS THE  
[000:36:09;22] COUNTRY ROSE AN AVERAGE OF  
[000:36:11;00] 12% IN JUNE COMPARED TO  
[000:36:12;00] JUNE OF LAST YEAR.  
[000:36:13;05] THAT ACCORDING TO THE S&P  
[000:36:14;20] CASE SCHILLER HOME PRICE  
[000:36:16;15] INDEX.  
[000:36:16;28] IT FOUND THAT MORE  
[000:36:17;20] AMERICANS WERE ENCOURAGED  
[000:36:18;22] TO BUY HOMES.  
[000:36:19;24] THANKS MOSTLY TO STEADY JOB  
[000:36:22;12] GAINS AND LOW MORTGAGE  
[000:36:24;01] RATES.  
[000:36:24;14] BUT ANALYSTS SAY HIGHER  
[000:36:25;24] MORTGAGE RATES COULD SOON  
[000:36:27;00] WEIGH ON THE HOUSING  
[000:36:28;07] RECOVERY.  
[000:36:28;22] FROM THE FOX BUSINESS  
[000:36:29;18] NETWORK RICH EDISON JOINS  
[000:36:30;26] US LIVE TONIGHT WITH THE  
[000:36:31;18] NEWS ON THAT TODAY IN  
[000:36:33;19] WASHINGTON.  
[000:36:34;05] RICH, GOOD EVENING.  
[000:36:34;25] >> GOOD EVENING, BILL.  
[000:36:35;23] THE HOUSING MARKET  
[000:36:36;15] CONTINUES TO IMPROVE.  
[000:36:37;24] THOUGH AT A SLOWER PACE.  
[000:36:39;07] THERE ARE 20 CITIES IN THIS  
[000:36:41;10] SURVEY.  
[000:36:41;24] HOME PRICES IN 13 OF THEM  
[000:36:43;13] ROSE FASTER IN MAY THAN  
[000:36:44;21] THEY DID IN JUNE.  
[000:36:46;05] ONE ANALYST SAYS THE  
[000:36:48;25] HOUSING MARKET EARLIER THIS  
[000:36:49;29] YEAR WAS JUST GETTING TOO  
[000:36:51;06] HOT.  
[000:36:51;18] >> IT WAS ACCELERATING TOO  
[000:36:53;20] QUICKLY AND NOW IT'S  
[000:36:54;24] ACCELERATING LESS QUICKLY.  
[000:36:55;27] I THINK THAT'S THE RIGHT  
[000:36:57;07] WAY TO LOOK AT THE DATA  
[000:36:58;09] WHEN YOU BOIL IT ALL DOWN.  
[000:36:59;12] >> THIS REPORT SAYS OVER  
[000:37:00;12] THE PAST YEAR, THE LARGEST  
[000:37:01;22] GAINS IN HOME PRICES ARE IN  
[000:37:03;13] CITIES THE HOUSING  
[000:37:04;17] RECESSION HIT HARDEST.  
[000:37:05;21] HOME VALUES IN LAS VEGAS  
[000:37:07;12] IN SAN FRANCISCO ARE UP  
[000:37:08;18] NEARLY A QUARTER.  
[000:37:09;21] PRICES IN LOS ANGELES,  
[000:37:11;05] PHOENIX, AND SAN DIEGO HAVE  
[000:37:12;10] INCREASED NEARLY 20% OVER  
[000:37:13;23] THE PAST YEAR.  
[000:37:14;21] THOUGH THE IMPROVING  
[000:37:15;25] HOUSING MARKET HAS  
[000:37:16;24] SIGNIFICANT CHALLENGES,  
[000:37:18;04] MORTGAGE RATES HAVE SPIKED.  
[000:37:19;15] SIX MONTHS AGO A HOME BUYER  
[000:37:21;13] COULD LOCK IN A 30 YEARS  
[000:37:23;10] FIXED RATE FOR LESS THAN  
[000:37:25;14] 3.75%.  
[000:37:25;27] NOW IT'S MORE THAN 4.5%.  
[000:37:27;16] ALSO A RECENT MEASURE OF  
[000:37:28;20] NEW HOME SALES RECENTLY  
[000:37:29;26] COME IN WELL BELOW  
[000:37:31;22] EXPECTATIONS.  
[000:37:33;04] BILL?  
[000:37:33;17] >> Bill: RICH EDSON ON THAT  
[000:37:34;11] STORY FOR US IN WASHINGTON.  
[000:37:36;17] SELLING TEA TO REPRESENT  
[000:37:38;07] RESCUE GIRLS FROM SEX  
[000:37:39;29] TRAFFICKING.  
[000:37:40;15] THIS IS AMAZING BUSINESS  
[000:37:41;09] WHICH WE FIRST TALKED ABOUT  
[000:37:42;15] ABOUT A MONTH AGO.  
[000:37:43;18] WAIT UNTIL YOU HEAR HOW  
[000:37:44;20] MUCH BUSINESS IS BOOMING  
[000:37:45;16] SINCE OUR REPORT THEN.  
[000:37:47;22] PLUS, THERE IS WORD OF A  
[000:37:49;13] SAND SHORTAGE AT BEACHES IN  
[000:37:50;28] ONE STATE.  
[000:37:51;17] OFFICIALS HAVE COME UP WITH  
[000:37:52;18] A RATHER STRANGE SOLUTION.  
[000:37:54;29] HOW ABOUT BROKEN GLASS?  
[000:37:56;24] WE WILL SHOW YOU WHERE AND  
[000:37:58;26] HOW THIS MIGHT WORK.
[000:38:36;05] WHEN WE MADE OUR COMMITMENT TO  THE
[000:38:36;26] GULF, BP HAD TWO BIG GOALS:  HELP
[000:38:38;16] THE GULF  RECOVER AND LEARN  FROM
[000:38:39;11] WHAT HAPPENED
[000:38:41;18] SO WE COULD BE  A BETTER, SAFER  ENERGY
[000:38:42;10] COMPANY.
[000:38:44;10] I CAN TELL YOU - SAFETY IS AT  THE
[000:38:45;01] HEART OF EVERYTHING WE DO.
[000:38:48;22] WE'VE ADDED CUTTING-EDGE  TECHNOLOGY
[000:38:50;20] LIKE A NEW DEEPWATER WELL CAP
[000:38:51;28] AND A STATE-OF-THE-ART  MONITORING
[000:38:52;16] CENTER, WHE EXPERTS
[000:38:54;18] WATCH OVER ALL DRILLING  ACTIVITY
[000:38:55;08] TWENTY-FOUR-SEVEN.
[000:38:57;22] AND WE'RE SHARING  WHAT WE'VE LEARNED
[000:38:59;12] SO WE CAN ALL PRODUCE  ENERGY MORE
[000:39:00;03] SAFELY.
[000:39:01;26] OUR COMMITMENT HAS  NEVER BEEN STRONGER.
[000:39:06;07] ♪ ♪    [ Male Announcer ] MAY YOUR
[000:39:07;16] LIGHTS ALWAYS BE GREEN.
[000:39:10;12] [ TIRES SCREECH ]
[000:39:11;19] ♪ ♪
[000:39:14;06] AND YOUR FAVORITE SONGS    ALWAYS
[000:39:14;27] PLAYING.
[000:39:17;07] [ BEEPING ]
[000:39:18;26] ♪ ♪
[000:39:19;21] MAY YOU NEVER BE STUCK    BEHIND A
[000:39:20;14] STINKY TRUCK.
[000:39:23;14] [ BEEPING ]
[000:39:24;21] ♪ ♪
[000:39:26;02] MAY THINGS    ALWAYS GO YOUR WAY.
[000:39:29;07] BUT IT'S GOOD TO BE PREPARED...  
[000:39:29;29] JUST IN CASE THEY DON'T.
[000:39:32;28] LET'S GO PLACES, SAFELY.
[000:40:36;16] [ HUMAN LEAGUE PLAYS  "I'M ONLY HUMAN"
[000:40:37;10] ]
[000:40:42;12] HUMANS.
[000:40:43;03] EVEN WHEN WE CROSS OUR t's    AND
[000:40:43;24] DOT OUR i's,
[000:40:46;06] WE STILL RUN INTO PROBLEMS.
[000:40:47;26] NAMELY, OTHER HUMANS.
[000:40:48;27] WHICH IS WHY    AT LIBERTY MUTUAL
[000:40:49;20] INSURANCE,
[000:40:50;25] TO POLICIES COME    WITH NEW CAR REPLACEMENT
[000:40:54;10] AND ACCIDENT FORGIVENESS    IF YOU
[000:40:55;01] QUALIFY.
[000:40:57;14] SEE WHAT EE COMES STANDARD
[000:40:59;00] AT LIBERTYMUTUAL.COM.
[000:41:00;15] LIBERTY MUTUAL INSURANCE.
[000:41:02;22] RESPONSIBILITY.
[000:41:04;01] WHAT'S YOUR POLICY?
[000:41:12;08] BILL BUILT A SMALL BUSINESS  
[000:41:14;09] OWNER IN ATLANTA HAS BEEN  
[000:41:15;02] SELLING TEA TO RESCUE GIRLS  
[000:41:15;26] FROM SEX TRAFFICKING IN THE  
[000:41:16;20] COUNTRY OF INDIA.  
[000:41:17;09] IT'S A STORY WE FIRST  
[000:41:18;07] REPORTED BACK IN JULY.  
[000:41:19;05] IT GENERATED ENORMOUS  
[000:41:20;22] INTEREST.  
[000:41:21;07] IN FACT, THE BUSINESS OWNER  
[000:41:22;11] SAYS SHE SOLD MORE TEA IN  
[000:41:23;20] THE FOUR DAYS AFTER OUR  
[000:41:29;01] REPORT THAN SHE DID IN THE  
[000:41:30;19] PREVIOUS FOUR YEARS  
[000:41:31;26] IMINGETED JONATHAN SERRIE  
[000:41:33;04] IS LIVE ON THIS STORY FOR  
[000:41:34;26] US TONIGHT.  
[000:41:36;04] JONATHAN.  
[000:41:36;19] >> IT'S A GREAT ONGOING  
[000:41:37;18] STORY.  
[000:41:38;01] THE OWNER OF THAT TEA SHOP  
[000:41:42;19] HAS RECEIVED OUTPOURING OF  
[000:41:43;28] SUPPORT SINCE WE REPORTED  
[000:41:44;25] ON HER EFFORTS BACK IN  
[000:41:46;08] JULY.  
[000:41:47;02] ORDERS ARE UP FOR THE TEA  
[000:41:48;07] THAT SHE SELLS FOR SAFE  
[000:41:51;28] HOUSING FOR ORGANS A REGION  
[000:41:54;18] WHERE POVERTY AND SEX  
[000:41:55;28] TRAFFICKING ARE GRIM  
[000:41:56;24] REALITIES, LISTEN.  
[000:41:57;18] I THINK I RECEIVED AROUND  
[000:41:59;12] 600 EMAILS BEEN THE FIRST  
[000:42:04;18] HOUR THAT TALK PEACE.  
[000:42:09;14] I WAS UNPREPARED FOR IT WE  
[000:42:11;28] SOLD MORE TEA IN THE FIRST  
[000:42:13;18] FOUR FOUR DAYS THAN FOUR  
[000:42:15;20] YEARS.  
[000:42:16;03] >> CHRISTIE SAYS SHE HAS  
[000:42:18;01] BEEN CONTACTED BY OTHERS  
[000:42:21;01] WHO WANT TO BUILD CENTERS.  
[000:42:23;07] A NEARBY INDIAN RESTAURANT  
[000:42:25;10] AS OFFERED TO SELL HER TEA  
[000:42:26;14] AND THEN SOME.  
[000:42:30;24] LISTEN.  
[000:42:31;08] WE WANT TO SPONSOR AN  
[000:42:33;10] EMPLOYEE TO GO AND HELP IN  
[000:42:35;03] HER ORGANIZATION.  
[000:42:35;22] SHE IS LOOKING FOR HANDS ON  
[000:42:36;18] HELP THERE.  
[000:42:37;08] >> AND FOR MORE ON CAN A  
[000:42:39;01] TREMENDOUSLY'S EFFORTS, CAN  
[000:42:40;01] YOU VISIT HER WEB SITE AT  
[000:42:41;22] THE LEARNING TEA.COM.  
[000:42:44;21] BILL?  
[000:42:45;04] >> Bill: THAT IS GREAT  
[000:42:45;25] NEWS.  
[000:42:46;08] NICE TO HEAR.  
[000:42:46;25] JONATHAN IN ATLANTA THERE  
[000:42:47;18] CAN A TREMENDOUSLY ALSO  
[000:42:48;10] TELLING FOX NEWS THAT ONE  
[000:42:49;03] OF THE GIRLS SHE HAS BEEN  
[000:42:50;06] HELPING OUT JUST GOT  
[000:42:51;14] ACCEPTED TO A PRESTIGIOUS  
[000:42:53;28] INDIAN UNIVERSITY.  
[000:42:55;15] SHE HAS BEEN SUPPORTING 11  
[000:42:56;20] GIRLS FOR FOUR YEARS.  
[000:42:57;21] EXPECTS THAT NUMBER TO  
[000:42:59;04] INCREASE DRAMATICALLY WITH  
[000:43:00;00] ALL THE NEW OFFERS OF HELP.  
[000:43:01;12] WE WISH HER THE ABSOLUTE  
[000:43:03;06] BEST.  
[000:43:03;19] AT LEAST SIX ARE DEAD.  
[000:43:05;11] 19 OTHERS INJURED AFTER A  
[000:43:06;19] BUILDING COLLAPSES.  
[000:43:08;02] OUR TOP STORY AS WE GO  
[000:43:09;03] AROUND THE WORLD TONIGHT IN  
[000:43:10;18] 80 SECONDS.  
[000:43:17;22] BRAZIL, 40S SAY THE  
[000:43:18;24] STRUCTURE HAD BEEN UNDER  
[000:43:19;27] CONSTRUCTION WHEN IT  
[000:43:20;20] TOPPLED TO THE GROUND IN  
[000:43:21;22] SOUTH PAL LOW.  
[000:43:23;28] RESCUERS COMBED THROUGH THE  
[000:43:24;24] RUBBLE AND PULLED OUT  
[000:43:26;15] SEVERAL SURVIVORS.  
[000:43:27;10] NO WORD ON WHAT MAY HAVE  
[000:43:30;11] CAUSED THE BUILDING TO FALL  
[000:43:32;21] SPAIN.  
[000:43:33;04] CREWS BATTLED A MASSIVE  
[000:43:34;13] WILDFIRE THAT'S ALREADY  
[000:43:35;22] CHARRED SOME 2400 ACRES IN  
[000:43:36;29] THE NORTHWEST.  
[000:43:37;17] ABOUT AN HOUR FROM THE  
[000:43:39;12] PORTUGAL BORDER.  
[000:43:40;05] FIRE OFFICIALS SAY THE  
[000:43:41;02] FLAMES BROKE OUT YESTERDAY  
[000:43:42;19] AMID HOT WEATHER AND HEAVY  
[000:43:44;17] WINDS.  
[000:43:45;00] THE GOVERNMENT HAS ISSUED  
[000:43:45;23] ITS HIGHEST LEVEL  
[000:43:46;29] EVACUATION ALERT SINCE THE  
[000:43:52;14] FLAMES COULD SPREAD TO  
[000:43:53;14] HEAVILY POPULATED AREA.  
[000:43:55;19] RUSSIA.  
[000:43:56;03] MEET GEORGE ALEX ANNUAL DER  
[000:43:57;00] AND LIEUY.  
[000:43:57;20] THE THREE BABY ALBINO HEDGE  
[000:44:00;08] HOGS IN A MOSCOW ZOO.  
[000:44:02;13] OFFICIALLY NAMED AFTER THE  
[000:44:04;04] BRITISH NEWBORN PRINCE.  
[000:44:05;11] THEY WERE BORN LAST MONTH  
[000:44:06;12] THE SAME DAY THE ROYAL  
[000:44:08;07] COUPLE HAD THEIR SONS.  
[000:44:10;09] WORKERS NAMED GEORGE  
[000:44:13;01] ALEXANDER ENCLOSURE  
[000:44:14;19] BUCKINGHAM PALACE.  
[000:44:15;22] FINLAND, THE AIR GUITAR  
[000:44:17;04] WORLD CHAMPIONSHIPS IN THE  
[000:44:18;08] WESTERN CITY OF OLU  
[000:44:23;11] COMPETITORS FROM SEVERAL  
[000:44:24;12] COUNTRIES INCLUDING THE  
[000:44:25;06] U.S. AND JAPAN SHOWCASE  
[000:44:27;07] THEIR BEST MOVES FOR THE  
[000:44:28;19] JUDGES.  
[000:44:29;03] AN AMERICAN WON THE EVENT  
[000:44:29;26] AND TOOK HOME THE GRAND  
[000:44:31;19] PRIZE, A REAL LICK TRICK  
[000:44:33;25] GUITAR.  
[000:44:34;09] AND THAT'S A WRAP ON THIS  
[000:44:35;24] FOX TRIP AROUND THE WORLD  
[000:44:36;17] IN 80 SECONDS.  
[000:44:49;10] BEACHES INTERNALLY LITTERED  
[000:44:50;26] WITH GLASS COULD BE A  
[000:44:52;02] REALITY.  
[000:44:52;16] CAME UP WITH THE IDEA AFTER  
[000:44:54;06] DISCOVERING A SAND SHORTAGE  
[000:44:55;22] AT SEVERAL BEACHES NEAR  
[000:44:57;02] MIAMI.  
[000:44:57;15] OVER THE YEARS STORMS AND  
[000:44:59;00] TIDES HAVE ERODED BIG  
[000:45:00;13] CHURCHES OF THE SHORELINE  
[000:45:01;15] THERE COMMUNITIES HAVE BEEN  
[000:45:03;05] REPLENISHING THE BEACH WITH  
[000:45:04;16] SAND THEY HAVE DREDGED UP  
[000:45:05;10] FROM THE OCEAN FLOOR.  
[000:45:06;15] BUT OFFICIALS SAY THAT  
[000:45:07;19] RESOURCE IS RUNNING LOW AND  
[000:45:09;17] NOW THEY ARE EYEING EMPTY  
[000:45:11;09] GLASS BOTTLES TO HELP  
[000:45:12;22] REFILL SOME OF FLORIDA'S  
[000:45:13;27] FINEST BEACHES.  
[000:45:15;08] PHIL KEATING IS OFTEN THE  
[000:45:16;18] BEACH LIVE TONIGHT IN MIAMI  
[000:45:17;18] WITH MORE ON THIS NOW.  
[000:45:19;21] BILL?  
