[000:00:00;600] SUNDAY.
[000:37:54;171] THEY ARE GOING BACK AND
[000:37:56;574] CHECKING AND RIGHT NOW,
[000:37:59;210] REPRESENTATIVE KING, NOW
[000:38:00;878] THE TIME TO FIGURE OUT WHAT
[000:38:03;514] HE HAS DONE BECAUSE WE TO
[000:38:06;017] DO DAMAGE CONTROL.
[000:38:07;151] >> Harris: I DO WANT TO
[000:38:08;786] TELL OUR VIEWERS, YOU AND I
[000:38:10;021] WERE GOING TO TALK ABOUT
[000:38:11;289] THE PROGRAM THAT THE NSA
[000:38:12;623] WAS RUNNING AS BEING AN
[000:38:14;191] OVERREACH IN YOUR OPINION?
[000:38:16;294] >> RIGHT.
[000:38:16;861] >> Harris: AS I UNDERSTAND
[000:38:18;229] IT YOU WOULD HAVE SUPPORTED
[000:38:22;566] EDWARD SNOWDEN HAD HE COME
[000:38:24;902] TO YOU?
[000:38:26;070] >> AS MUCH AS I THINK
[000:38:28;773] SENATOR PAUL AND OTHERS
[000:38:30;908] HAVE LEGITIMATE CRITICISM
[000:38:31;742] AND THEY ARE GOING TO HAVE
[000:38:32;643] DEBATE.
[000:38:33;110] WE SHOULD ALWAYS HAVE A
[000:38:34;412] DEBATE IN THE OPEN.
[000:38:35;513] WITH THAT SAID,
[000:38:36;947] REPRESENTATIVE KING IS
[000:38:37;548] CORRECT, HE HAD NO RIGHT TO
[000:38:40;885] UNILATERALLY ON HIS OWN
[000:38:42;086] WITHOUT CHECKING OR ANYBODY
[000:38:45;056] WITHIN HIS CHAIN OF COMMAND
[000:38:46;824] TO GO PUBLIC ON THIS.
[000:38:47;892] I WENT PUBLIC AFTER
[000:38:49;560] CONGRESS GAVE ME PERMISSION
[000:38:51;329] TO DO THAT.
[000:38:52;630] THIS GUY DID NOT WANTED TO
[000:38:56;167] DO DAMAGE.
[000:38:57;001] HE HAS DONE DAMAGE AND DO
[000:38:58;636] MORE BY THE FACT HE IS
[000:39:01;138] SITTING IN CHINA.
[000:39:03;741] >> YOU WATCH HIM IN THIS
[000:39:05;276] INTERVIEW BY THE GUARDIAN
[000:39:06;711] NEWSPAPER, IT'S JUST WHY HE
[000:39:08;446] FELT THE DESPERATE NEED TO
[000:39:10;348] COME FORWARD.
[000:39:10;881] ONE OF THE THINGS, THE WAY
[000:39:14;285] THEY WERE COLLECTING
[000:39:15;720] INFORMATION ON EVERYDAY
[000:39:16;754] AMERICANS, HE THOUGHT IT
[000:39:18;289] COULD POSSIBLY FALL INTO
[000:39:20;057] THE WRONG HANDS.
[000:39:22;727] >> ABSOLUTELY.
[000:39:24;895] ANYBODY IN THE POSITION
[000:39:26;330] WITH ACCESS TECHNICAL
[000:39:28;933] CAPABILITIES I HAD COULD
[000:39:30;601] SUCK OUT SECRETS AND PASS
[000:39:31;969] THEM ON THE OPEN MARKET TO
[000:39:33;504] RUSSIA.
[000:39:34;004] THEY HAVE AN OPEN DOOR AS
[000:39:35;806] WE DO.
[000:39:36;140] >> Harris: IS HE RIGHT?
[000:39:37;408] >> NO, HE IS NOT.
[000:39:38;943] HE IS ESSENTIALLY, LIKE A
[000:39:42;747] MASTER AD MAN OVERSEEING
[000:39:47;852] I.T. -- I THINK HE HAS
[000:39:50;221] ACCESS TO BRIEFINGS.
[000:39:51;889] WE NEVER LEFT BRIEFING ON A
[000:39:54;291] NETWORK OR BECAUSE OF THIS
[000:39:56;293] POTENTIAL HAPPENING.
[000:39:56;861] HE IS NOT INVOLVED.
[000:39:57;628] HE IS NOT A MEMBER OF THE
[000:39:59;029] TEAM RUNNING THESE THINGS.
[000:40:01;399] SO AS MUCH AS I THINK THERE
[000:40:03;434] MAY BE VALID CONCERNS
[000:40:05;302] REGARDING THE ASKING OF THE
[000:40:07;705] PROGRAM, HE IS AN ADMIN
[000:40:10;608] GUY.
[000:40:11;242] HE HAD PROBLEMS IN THE ARMY,
[000:40:13;043] HE BROKE HIS LEGS.
[000:40:14;178] DIDN'T LIKE THE C.I.A. WAS
[000:40:15;946] RUNNING OPERATIONS.
[000:40:17;481] UNFORTUNATELY I THINK THE
[000:40:18;482] GUY IS DISGRUNTLED.
[000:40:20;084] IT'S NOT ABOUT FIXING
[000:40:21;886] THINGS.
[000:40:22;219] IT'S ABOUT TRYING TO POKE
[000:40:23;921] SOMEONE IN THE EYE WITHOUT
[000:40:25;623] ANY INTEREST TO FIX WHAT
[000:40:28;025] WAS BROKEN.
[000:40:28;592] >> Harris: WHEN GREENWALD
[000:40:30;594] AND THE JOURNALIST FROM THE
[000:40:31;862] GUARDIAN WHO BROUGHT THIS
[000:40:33;731] INFORMATION TO THE WORLD
[000:40:36;100] CLAIM TO HAVE MORE, IF
[000:40:37;802] THERE ARE OTHER AMERICANS
[000:40:41;372] IN EDWARD NODEN'S SHOES AND
[000:40:44;108] THEY HAVE INFORMATION TO
[000:40:44;942] GET OUT THERE, WHAT WOULD
[000:40:46;143] YOU TELL THEM AT THIS
[000:40:47;745] POINT?
[000:40:48;078] >> I ADMIRE WHAT GLENN N
[000:40:52;249] DOES.
[000:40:52;750] IN THIS CASE HE IS WRONG.
[000:40:55;653] UNFORTUNATELY HE DOES HAVE
[000:40:57;121] MORE INFORMATION.
[000:40:57;621] I DON'T THINK HE HAS OTHER
[000:40:59;390] SOURCES, I THINK SNOWDEN
[000:41:02;293] HAS GIVEN FAR MORE TO HIM
[000:41:03;894] THAN HE IS WILLING TO
[000:41:05;029] ADMIT.
[000:41:05;996] THIS IS GOING TO BE
[000:41:08;232] TREASURE TROVE OF STUFF
[000:41:09;667] COMING OUT THE COMING
[000:41:10;801] WEEKS.
[000:41:11;702] NSA IS PRETTY MUCH AWARE
[000:41:15;206] WHAT HE TOOK WITH HIM.
[000:41:18;309] >> Harris: I TELL YOU, WHEN
[000:41:20;044] YOU AND I WERE GOING TO
[000:41:22;780] TALK SPEAK ABOUT OVERREACH
[000:41:23;981] BUT YOU HAVE GIVEN US THE
[000:41:26;350] WORD THAT THIS MAN HAS
[000:41:28;953] DEFECTED TO CHINA.
[000:41:30;020] THAT IS POWERFUL TERM.
[000:41:32;756] LIEUTENANT COLONEL TONY
[000:41:34;959] SCHAFFER, THANK YOU VERY
[000:41:35;993] MUCH.
[000:41:36;527] WE'RE GOING TO MOVE ON
[000:41:37;928] STORY DOMESTICALLY.
[000:41:38;829] NEW DEVELOPMENTS IN A
[000:41:40;231] CALIFORNIA SHOOTING RAMPAGE
[000:41:41;365] WE FOLLOWED LAST WEEK,
[000:41:43;801] NAMING THE MAN THEY SAY
[000:41:45;336] WENT ON THE ATTACK AND
[000:41:46;737] RELEASED THIS PICTURE OF
[000:41:48;138] HIM TODAY.
[000:41:49;240] >> WE'RE LEARNING A FIFTH
[000:41:51;175] VICTIM HAS DIED FROM WOUNDS
[000:41:53;244] SUFFERED IN THAT RAMPAGE.
[000:41:55;579] NEW REACTION FROM STUDENTS
[000:41:57;948] ON THAT CAMPUS IN SOUTHERN
[000:42:00;484] CALIFORNIA AND WHAT WE NOW
[000:42:03;487] KNOW ABOUT THAT SUSPECT.
[000:42:05;222] MINE WAS EARNED
[000:42:05;222] IN DJIBOUTI, AFRICA. 2004.
[000:42:15;566] VIETNAM IN 1972.
[000:42:18;636] [ All ]
[000:42:18;636] FORT BENNING, GEORGIA IN 1999.
[000:42:22;239] [ Male Announcer ]
[000:42:22;239] USAA AUTO INSURANCE
[000:42:22;239] IS OFTEN HANDED DOWN
[000:42:24;308] FROM GENERATION TO GENERATION.
[000:42:26;310] BECAUSE IT OFFERS
[000:42:26;310] A SUPERIOR LEVEL OF PROTECTION
[000:42:29;046] AND BECAUSE USAA'S COMMITMENT
[000:42:29;046] TO SERVE MILITARY MEMBERS,
[000:42:32;650] VETERANS, AND THEIR FAMILIES
[000:42:32;650] IS WITHOUT EQUAL.
[000:42:35;920] BEGIN YOUR LEGACY,
[000:42:35;920] GET AN AUTO INSURANCE QUOTE.
[000:42:39;023] USAA. WE KNOW
[000:42:39;023] WHAT IT MEANS TO SERVE.
[000:42:44;478] lets you connect
[000:42:44;478] up to 25 devices
[000:42:46;013] on one easy to manage plan.
[000:42:48;065] That means your smartphone,
[000:42:48;065] her Blackberry,
[000:42:50;034] his laptop,
[000:42:50;034] Mark's smartphone
[000:42:51;769] But I'm still
[000:42:51;769] on vacation.
[000:42:53;170] Still on the plan.
[000:42:53;170] Nice!
[000:42:58;042] The intern
[000:42:58;042] gets a tablet?
[000:42:59;543] Everyone's devices.
[000:43:00;711] His, hers-- Oh, sorry.
[000:43:02;413] All easier to manage
[000:43:03;747] on The Share Everything Plan
[000:43:03;747] for Small Business.
[000:43:05;482] Connecting more
[000:43:05;482] so you can do more.
[000:43:07;117] That's Powerful.
[000:43:08;085] Verizon.
[000:43:09;186] Get the Blackberry Z10
[000:43:09;186] for $199.99.
[000:44:15;419] SINCE I'VE BEEN USING
[000:44:15;419] CREST PRO-HEALTH,
[000:44:16;720] I'VE NOTICED A HUGE IMPROVEMENT.
[000:44:18;321] [ Male Announcer ]
[000:44:18;321] GO PRO
[000:44:19;590] FOR A CLEAN THAT'S
[000:44:19;590] UP TO FOUR TIMES BETTER,
[000:44:20;958] TRY THESE CREST PRO-HEALTH
[000:44:20;958] PRODUCTS TOGETHER.
[000:44:22;860] THE TOOTHPASTE
[000:44:22;860] IS REALLY AWESOME.
[000:44:24;327] IT CLEANS A LOT.
[000:44:26;397] [ Male Announcer ]
[000:44:26;397] CREST PRO-HEALTH
[000:44:27;731] PROTECTS NOT JUST SOME,
[000:44:28;599] BUT ALL THESE AREAS
[000:44:29;400] DENTISTS CHECK MOST.
[000:44:30;668] THIS IS GONNA
[000:44:30;668] BE A VERY GOOD CHECKUP.
[000:44:32;069] I FEEL IT.
[000:44:33;370] [ Male Announcer ]
[000:44:33;370] GO PRO WITH CREST PRO-HEALTH.
[000:44:34;805] MY DENTIST WAS SO PROUD
[000:44:34;805] OF MY TEETH TODAY.
[000:44:36;840] AFTER USING CREST PRO-HEALTH
[000:44:36;840] FOR A FEW WEEKS,
[000:44:38;575] I JUST FEEL BRIGHTER,
[000:44:38;575] FRESHER, CLEANER.
[000:45:45;342] ♪
[000:45:46;643] >> Harris: NEW DEVELOPMENTS
[000:45:48;011] IN THE CALIFORNIA SHOOTING
[000:45:49;847] RAMPAGE, POLICE HAVE NAMED
[000:45:51;415] THE SUSPECT, WE'LL HAVE
[000:45:52;583] MORE ON THAT IN JUST A
[000:45:53;717] MOMENT.
[000:45:54;218] THIS IS WE'RE LEARNING A
[000:45:56;253] WOMAN CRITICALLY INJURED IN
[000:45:58;021] THAT ATTACK HAS NOW DIED
[000:45:59;890] BRINGING THE VICTIMS TO
[000:46:01;325] FIVE.
[000:46:02;159] THE PRESIDENT OF SANTA
[000:46:04;027] MONICA COLLEGE SAYING A
[000:46:05;796] STUDENT THAT REGISTERED TO
[000:46:07;498] ATTEND CLASSES THIS MORNING,
[000:46:09;833] SHE WAS 26 YEARS OLD.
[000:46:12;503] AND WAS A PASSENGER IN THE
[000:46:13;604] SUV THAT CRASHED INTO A
[000:46:14;972] WALL AFTER THE DRIVER WAS
[000:46:17;107] SHOT IN THE TORSO.
[000:46:18;609] THAT DRIVER DIED AT THE
[000:46:19;810] SCENE.
[000:46:21;111] HIS NAME WAS CARLOS FRANCO,
[000:46:25;249] HER DAD.
[000:46:25;716] >> HE HAD BEEN A LONG TIME
[000:46:27;651] EMPLOYEE OF THE COLLEGE AND
[000:46:29;419] WAS VERY WELL-LIKED AND
[000:46:32;156] RESPECTED.
[000:46:32;556] >> THE POLICE CHIEF SAYING
[000:46:34;124] THE FATHER WORKED ON CAMPUS
[000:46:36;160] AS A GROUND KEEPER.
[000:46:38;061] AS WE ARE GETTING NEW
[000:46:39;296] INFORMATION ABOUT THE
[000:46:40;631] SUSPECTED GUNMAN.
[000:46:42;432] DOMINIC IS LIVE IN SANTA
[000:46:44;902] MONICA TONIGHT.
[000:46:45;502] TELL US WHAT YOU KNOW.
[000:46:47;471] >> THE GUNMAN WAS
[000:46:55;179] 23-YEAR-OLD JOHN Z. THEY
[000:46:59;383] WERE TRYING TO GET A HOLD
[000:47:03;120] OF HER MOTHER IN LEBANON.
[000:47:06;857] HE KILLED HIS FATHER AND
[000:47:08;826] ALSO BROTHER.
[000:47:09;893] THEY WERE IN THE HOUSE THAT
[000:47:11;628] CAUGHT FIRE.
[000:47:13;297] THEY HAD A RUN-IN WITH HIM
[000:47:14;998] BACK IN 2006.
[000:47:15;933] AT THE TIME HE WAS 17 AND A
[000:47:19;036] MINOR.
[000:47:20;170] WE DO ALSO KNOW THAT HE WAS
[000:47:24;007] A ATTENDED AS STUDENT BACK
[000:47:25;475] IN 2010.
[000:47:26;343] HE HAS HAD A TROUBLED
[000:47:27;911] HISTORY AND POLICE HAVE
[000:47:29;012] BEEN LOOKING INTO THAT AND
[000:47:30;480] SEE IF THERE IS ANY
[000:47:32;015] INDICATION OF WHAT CAUSED
[000:47:33;784] THE KILLING SPREE THAT HE
[000:47:35;385] WENT ON FRIDAY.
[000:47:37;588] >> Harris: I KNOW DOZENS OF
[000:47:39;223] STUDENTS ARE HAVING TO GET
[000:47:41;625] PSYCHOLOGICAL COUNSELING
[000:47:42;226] FOR WHAT THEY HAVE ENDURED.
[000:47:44;261] >> Reporter: THAT IS RIGHT.
[000:47:45;963] THERE WAS A COMMUNITY
[000:47:47;397] GATHERING OVER ON THE BUNDY
[000:47:48;799] CAMPUS, IT WAS GATHERING OF
[000:47:50;901] STUDENTS, FACULTY AND STAFF
[000:47:53;036] AND SERIES OF COUNSELORS.
[000:47:55;105] 70 PEOPLE TURNED UP IN
[000:47:57;107] TOTAL.
[000:47:57;507] IT WAS VERY EMOTIONAL
[000:48:02;613] EVENT.
[000:48:02;913] >> ALTOGETHER, WE ARE
[000:48:04;448] ALTOGETHER, ALL HUMAN.
[000:48:05;849] THAT IS THE MAIN THING.
[000:48:08;852] >> IT MAKES ME FEEL BETTER
[000:48:13;090] REALLY FORESHADOWS THE
[000:48:14;958] COMMUNITY IS GOING TO
[000:48:16;159] OVERCOME THIS EVENT.
[000:48:16;894] I THINK SANTA MONICA IS A
[000:48:19;029] STRONG COMMUNITY AND VERY
[000:48:24;167] POSITIVE.
[000:48:24;534] >> Reporter: ALSO EVENTS
[000:48:25;802] WHERE THE FAMILY HAVE BEEN
[000:48:27;804] DEEPLY AFFECTED BY WHAT
[000:48:29;339] HAPPENED TO MARCELA AND
[000:48:31;909] CARLOS.
[000:48:32;843] TOMORROW THERE WILL BE A
[000:48:33;844] VIGIL HELD ABOUT 6:00 P.M.
[000:48:37;147] AND ALSO A GRADUATION DAY
[000:48:38;582] ON TUESDAY BUT IT SEEMS ONE
[000:48:40;484] EVENT THAT WILL TAKE PLACE
[000:48:42;552] TOMORROW EVENING.
[000:48:43;620] >> Harris: DOMINIC, THANKS
[000:48:45;956] VERY MUCH.
[000:48:46;790] NEW REACTION TO THE
[000:48:49;426] INTERNAL REVENUE SCANDAL
[000:48:50;527] WHERE AGENTS WERE TALKING
[000:48:52;062] CONSERVATIVE AMERICANS JUST
[000:48:52;963] BECAUSE OF THEIR POLITICAL
[000:48:54;564] BELIEFS.
[000:48:55;132] TODAY, MORE DEBATE OVER
[000:48:56;867] WHETHER THE IRS TARGETING
[000:48:59;336] ORIGINATED FROM WASHINGTON.
[000:49:01;171] ANYONE HAVE OCCASIONAL
[000:49:01;171] CONSTIPATION,
[000:49:21;458] DIARRHEA, GAS, BLOATING?
[000:49:22;926] YES!
[000:49:24;294] ONE Phillips' Colon Health
[000:49:24;294] PROBIOTIC CAP EACH DAY
[000:49:27;097] HELPS DEFEND
[000:49:27;097] AGAINST THESE DIGESTIVE ISSUES
[000:49:28;899] WITH THREE STRAINS
[000:49:28;899] OF GOOD BACTERIA.
[000:49:30;267] LIVE THE REGULAR LIFE.
[000:49:32;002] Phillips'.
[000:52:17;767] >>.
[000:52:18;034] >> Harris: NOW TO THE IRS
[000:52:19;369] SCANDAL AND GROWING DEBATE
[000:52:21;004] INSIDE A KEY HOUSE
[000:52:22;606] COMMITTEE INVESTIGATING THE
[000:52:24;007] ADMITTED TARGETING OF
[000:52:25;008] CONSERVATIVE GROUPS.
[000:52:26;476] MARYLAND CONGRESSMAN IS
[000:52:27;410] FIRING BACK AT CLAIMS MADE
[000:52:29;079] BY CONGRESSMAN DARRELL ISSA
[000:52:30;714] OF CALIFORNIA THAT THE
[000:52:31;882] ORDERS TO CONDUCT THE
[000:52:33;950] UNFAIR TARGETING CAME FROM
[000:52:34;951] WASHINGTON.
[000:52:36;019] CONGRESSMAN CUMMINGS IS
[000:52:36;653] POINTING TO CONGRESSIONAL
[000:52:38;455] TRANSCRIPTS OF INTERVIEWS
[000:52:39;322] WITH IRS AGENTS ON THE
[000:52:40;991] GROUND SAYING ONCE THOSE
[000:52:43;093] ARE RELEASED THEIR
[000:52:44;060] INVESTIGATION WILL BE OVER.
[000:52:46;329] PETER DOOCY WITH THE NEWS
[000:52:48;365] FROM WASHINGTON.
[000:52:49;166] >> Reporter: EVEN THOUGH
[000:52:49;766] THE DETAILS OF EACH SCANDAL
[000:52:51;234] ARE DIFFERENT, REPUBLICAN
[000:52:53;436] SENATOR RAND PAUL THINGS
[000:52:54;604] WHEN THE IRS UNFAIRLY
[000:52:58;575] TARGETS CONSERVATIVES OR
[000:52:59;776] WHEN THEY MONITORED
[000:53:04;047] REPORTERS.
[000:53:05;415] >> IT'S THE SAME.
[000:53:06;383] >> IT'S AN ABUSE OF POWER.
[000:53:08;618] ONE PARTY WINS THE NEXT
[000:53:10;520] YEAR THE OTHER PARTY WINS.
[000:53:12;689] NOBODY WANTS TO BELIEVE
[000:53:13;890] THAT YOUR PARTY LOSES YOU
[000:53:15;892] ARE GOING TO BE SUBJECTED
[000:53:17;627] TO HUMILIATION AND AUDIT
[000:53:19;062] AND FINANCIAL RUIN BY THIS
[000:53:20;897] FOUR TRILLION DOLLAR
[000:53:22;432] GOVERNMENT THAT BECOMES
[000:53:23;934] THIS NATIONAL AT THIS
[000:53:25;635] BULLY.
[000:53:25;936] >> Reporter: THIS MORNING
[000:53:27;003] THE TOP DEMOCRAT ELIJA
[000:53:31;341] CUMMINGS RELEASED AN
[000:53:32;642] INTERVIEW WITH AN IRS
[000:53:33;910] EMPLOYEE AND SELF-DESCRIBED
[000:53:36;213] CONSERVATIVE REPUBLICAN,
[000:53:37;347] QUOTE, I DO NOT BELIEVE THE
[000:53:39;950] SCREENING OF THESE CASES
[000:53:41;218] HAD ANYTHING OTHER THAN TO
[000:53:44;454] TO IDENTIFY ISSUES THAT
[000:53:45;555] NEEDED FURTHER DEVELOPMENT.
[000:53:46;923] CUMMINGS SAYS ITS OVERSIGHT
[000:53:49;859] COMMITTEE DARRELL ISSA
[000:53:52;529] RELEASES ALL TRANSCRIPTS
[000:53:53;730] THE INVESTIGATION WILL BE
[000:53:54;564] DONE.
[000:53:54;864] >> BASED ON ON UPON
[000:53:58;235] EVERYTHING I'VE SEEN THE
[000:53:59;102] CASE IS SOLVED.
[000:54:00;070] I WOULD WRAP THIS CASE UP
[000:54:02;806] AND MOVE ON.
[000:54:03;840] >> Reporter: CONGRESSMAN
[000:54:05;775] ISSA SAYS HE STRONGLY
[000:54:07;944] DISAGREES THAT IT IS SOLVED.
[000:54:10;614] HE CALLS IT A RECKLESS
[000:54:12;382] ASSERTION THAT SHOWS
[000:54:13;984] CUMMINGS HAS NO INTEREST TO
[000:54:16;119] EXPOSE THE FULL TRUTH.
[000:54:17;954] >> Harris: PETER DOOCY.
[000:54:21;758] THANK YOU, A WILD END TO
[000:54:24;027] THE FRENCH OPEN, NOT
[000:54:25;495] NECESSARILY BECAUSE OF WHAT
[000:54:26;429] WAS GOING ON BETWEEN THE
[000:54:27;964] PLAYERS ON THE COURT.
[000:54:31;668] AND
[000:54:37;407] NOT CHALKY.
[000:54:39;042] TEMPORARY...
[000:54:40;410] 24 HOUR.
[000:54:41;878] LOTS OF TABLETS...
[000:54:43;513] ONE PILL.
[000:54:44;714] YOU DECIDE.
[000:54:45;949] PREVENT ACID
[000:54:45;949] WITH PREVACID 24HR.
[000:55:08;405] [ Male Announcer ]
[000:55:08;405] MOVING OBJECT DETECTION.
[000:55:10;473] ♪
[000:55:14;744] BLIND SPOT WARNING.
[000:55:16;629] ♪
[000:55:19;616] LANE DEPARTURE WARNING.
[000:55:21;284] SAFETY, DOWN TO AN ART.
[000:55:23;853] THE NISSAN ALTIMA
[000:55:25;288] WITH SAFETY SHIELD
[000:55:25;288] TECHNOLOGIES.
[000:55:27;057] NISSAN.
[000:55:27;057] INNOVATION THAT EXCITES.
[000:55:30;260] ♪
[000:56:05;795] [ whirring ]
[000:56:06;896] [ dog barks ]
[000:56:07;764] I WANT TO TREAT MO DOGS.
[000:56:08;965] ♪
[000:56:10;066] OUR BUSINESS
[000:56:10;066] NEEDS MORE CASES.
[000:56:12;068] [ Male Announcer ] WHERE DO YOU
[000:56:12;068] WANT TO TAKE YOUR BUSINESS?
[000:56:14;037] I NEED HELP SELLING ART.
[000:56:15;672] [ Male Announcer ]
[000:56:15;672] FROM BROADBAND TO WEB HOSTING
[000:56:18;675] TO MOBILE APPS, SMALL BUSINESS
[000:56:18;675] SOLUTIONS FROM AT&T
[000:56:21;845] HAVE THE SECURITY YOU NEED
[000:56:21;845] TO GET YOU THERE.
[000:56:23;813] CALL US.
[000:56:25;115] WE CAN SHOW YOU
[000:56:25;115] HOW AT&T SOLUTIONS
[000:56:26;683] CAN HELP YOU DO WHAT YOU DO...
[000:56:26;683] EVEN BETTER.
[000:56:29;419] ♪
[000:56:35;492] YOU WILL LOSE 3 SETS OF KEYS
[000:56:36;793] 4 CELL PHONES
[000:56:38;528] 7 SOCKS
[000:56:38;528] AND 6 WEEKS OF SLEEP
[000:56:40;730] BUT ONE THING YOU DON'T
[000:56:40;730] WANT TO LOSE IS ANY MORE TEETH.
[000:56:43;867] IF YOU WEAR A PARTIAL,
[000:56:43;867] YOU ARE ALMOST TWICE AS LIKELY
[000:56:46;136] TO LOSE YOUR SUPPORTING TEETH.
[000:56:47;404] NEW POLIGRIP
[000:56:47;404] AND POLIDENT FOR PARTIALS
[000:56:49;773] 'SEAL AND PROTECT'
[000:56:51;341] HELPS MINIMIZE STRESS, WHICH
[000:56:51;341] MAY DAMAGE SUPPORTING TEETH,
[000:56:54;344] BY STABILIZING YOUR PARTIAL.
[000:56:56;780] AND 'CLEAN AND PROTECT'
[000:56:57;781] KILLS ODOR-CAUSING BACTERIA.
[000:57:00;250] CARE FOR YOUR PARTIAL.
[000:57:01;384] HELP PROTECT
[000:57:01;384] YOUR NATURAL TEETH.
[000:57:36;953] LITTLE THINGS ANYONE CAN DO.
[000:57:39;689] IT STEALS YOUR MEMORIES.
[000:57:39;689] YOUR INDEPENDENCE.
[000:57:42;525] ENSURES SUPPORT,
[000:57:42;525] A BREAKTHROUGH.
[000:57:44;794] AND SOONER THAN YOU'D LIKE.
[000:57:46;296] SOONER THAN YOU'D THINK.
[000:57:48;264] YOU DIE FROM
[000:57:48;264] ALZHEIMER'S DISEASE.
[000:57:50;166] WE CURE ALZHEIMER'S DISEASE.
[000:57:54;537] EVERY LITTLE CLICK, CALL
[000:57:54;537] OR DONATION ADDS UP
[000:57:54;537] TO SOMETHING BIG.
[000:58:08;184] >>.
[000:58:08;451] >> Harris: I DON'T KNOW HOW
[000:58:10;420] MUCH YOU HAVE TO BE IN
[000:58:12;789] TENNIS TO ENJOY THE FINALE
[000:58:16;326] FOR THE FRENCH OPEN.
[000:58:17;627] A LOT OF IT WASN'T TENNIS.
[000:58:20;330] >> IT GOT SCARY ACTUALLY.
[000:58:25;902] PROTESTOR RAN ON TO THE
[000:58:27;003] COURT WITH A MASK ON AND
[000:58:29;873] BIG TORCH.
[000:58:31;074] HE RUNS TOWARDS NIDAL.
[000:58:33;676] IT WAS A SERIOUS SITUATION.
[000:58:35;745] SECURITY TACKLED THE GUY
[000:58:37;514] AND BOTH PLAYERS WERE
[000:58:38;715] AFFECTED.
[000:58:39;082] IT'S A REALLY INTERESTING
[000:58:40;783] MOMENT IN HOW THEY WERE
[000:58:42;318] GOING TO RESPOND AFTERWARDS.
[000:58:47;757] JUST THE PROTESTOR WANTED
[000:58:49;592] TO MAKE A SPECTACLE.
[000:58:51;294] THEY STOPPED THE MATCH
[000:58:52;428] ABOUT 15 MINUTES AND COME
[000:58:53;563] BACK AND NADAL TAKES CARE
[000:58:55;632] OF BUSINESS AND WINS HIS
[000:58:57;600] EIGHTH GRAND SLAM.
[000:59:05;074] >> I DIDN'T SEE THIS LIVE.
[000:59:07;010] I SAW THE RETAPE OF IT.
[000:59:08;378] I HEARD THE COMMOTION IN MY
[000:59:10;547] LIVING ROOM AND I RAN IN.
[000:59:11;614] IT WAS JUST AMAZING.
[000:59:13;149] I HAD ONLY SEEN THAT CUT.
[000:59:14;851] I DIDN'T SEE HOW CLOSE HE
[000:59:18;187] GOT.
[000:59:19;122] >> AND ITS REALLY GOOD FOR
[000:59:23;459] NADAL HE IS COMING OFF A
[000:59:25;428] KNEE INJURY.
[000:59:25;862] THEY CALLED IT A MIRACLE.
[000:59:30;266] >> Harris: N.B.A., WHO
[000:59:31;634] WOULD HAVE THOUGHT SPURS
[000:59:33;770] BEAT MIAMI?
[000:59:34;237] >> IN MIAMI.
[000:59:35;605] THEY PLAY I GAME TWO OF THE
[000:59:37;674] N.B.A. FINALS.
[000:59:38;241] LeBRON JAMES SAYS I
[000:59:39;876] SHOULDN'T HAVE BEEN SO
[000:59:40;810] PASSIVE IN THE FOURTH
[000:59:41;811] QUARTER.
[000:59:42;679] I CAN TAKE THE BIG SHOTS.
[000:59:44;547] GAME TWO, THE SPURS AND
[000:59:46;649] HEATED TWO GREAT TEAMS.
[000:59:47;951] >> Harris: GIVE ME SOME
[000:59:49;786] BOSTON BRUINS NEWS?
[000:59:50;987] >> BRUINS TAKING ON THE
[000:59:52;555] CHICAGO BLACKHAWKS IN THE
[000:59:55;491] FINALS.
[000:59:56;192] TWO OF THE ORIGINAL SIX
[000:59:58;194] WILL GO AT IT IN THE
[001:00:01;230] FINALS.
[001:00:01;564] >> Harris: AWESOME, THANKS
[001:00:03;333] SO MUCH FOR STOPPING BY.
[001:00:04;500] FOX REPORT, WE LOVE HAVING
[001:00:05;902] YOU.
[001:00:06;736] I'M HARRIS FAULKNER AND
[001:00:08;338] UPDATES ON THE MAN THAT
[001:00:11;240] CLAIMS TO BE NSA LEAKER.
[001:00:14;577] NOW HUCKABEE.
[001:00:16;412] >> TONIGHT ON HUCKABEE.
[001:00:18;881] >> I'M EXTRAORDINARY PROUD,
[001:00:21;384] MY NEW NATIONAL SECURITY
[001:00:25;088] ADVISOR.
[001:00:25;421] >> COVER-UP, BLEW UP.
[001:00:28;057] >> OBAMA ADMINISTRATION
[001:00:29;792] REWARDING GOOD SOLDIERS
[001:00:31;227] THAT TOW THE COMPANY LINE
[001:00:33;630] AND CALLING THOSE THAT CALL
[001:00:34;797] OUT CORRUPTION AS ENEMIES
[001:00:36;132] OF THE STATE.
[001:00:37;400] >> NOT ONLY ARE THEY LOSING
[001:00:38;868] THEIR JOBS AND LIVELIHOOD
[001:00:40;903] AND INCOME, THEY ARE
[001:00:42;972] ACTUALLY FACING JAIL TIME.
[001:00:45;174] >> GOVERNMENT
[001:00:46;275] WHISTLEBLOWERS ON WHY THEY
[001:00:47;410] RISK EVERYTHING TO REVEAL
[001:00:48;244] THE TRUTH.
[001:00:48;845] >> I COULD NOT STAND BY AND
[001:00:50;980] SIMPLY BE AN EYEWITNESS TO
[001:00:54;450] DIVERSION OF OUR OWN
[001:00:59;789] CO
