[000:00:17;19] >>> FOX URGENT.  
[000:29:00;14] IT IS UNFOR THE THAT THE THAT  
[000:29:01;23] WE HAVE ALL A THESE PEOPLE OUT  
[000:29:02;28] THERE IN DANGER ZONES.  
[000:29:04;15] >> THIS GUY IS A TRAINED STORM  
[000:29:06;09] SPOTTER IS WHAT I'M HEAR FT.  
[000:29:08;13] WORTH AFFILIATE THERE.  
[000:29:09;20] EVEN SO YOU CAN HEAR THE  
[000:29:11;04] METEOROLOGIST TELLING HIM  
[000:29:12;15] DUDE, STUFF COULD HIT YOU.  
[000:29:14;13] YOU COT TO FACE IN THE OTHER  
[000:29:16;03] DIRECTION.  
[000:29:16;22] THEN LOOK AT THIS.  
[000:29:17;12] DID YOU SEE BLUE SKY THERE'S ON  
[000:29:18;29] THE BACK END OF THIS.  
[000:29:19;25] GO BACK TO THAT LIVE LOOK IF  
[000:29:21;03] YOU CAN BECAUSE WE A LOT OF  
[000:29:22;13] CAMERAS ON THIS RIGHT NOW.  
[000:29:23;23] SO MUCH STUFF COMING IN TO FOX  
[000:29:25;12] NEWS AND PUT AS MUCH ON THE  
[000:29:26;22] SCREEN FOR YOU AS POSSIBLE.  
[000:29:28;04] IF WE TAKE A LOOK AT THIS IN  
[000:29:30;03] OKLAHOMA CITY, AS IT FACES OUT  
[000:29:32;12] IN THE OTHER DIRECTION THE BLUE  
[000:29:34;00] SKIES ALTHOUGH THEY STILL LOOK  
[000:29:36;04] RATHER I DON'T KNOW PROBLEMATIC  
[000:29:38;11] POTENTIALLY BUT AT LEAST IT IS  
[000:29:39;25] NOT AS ACTIVE AS WHAT WE JUST  
[000:29:41;29] SAW.  
[000:29:42;11] >> WELL OKLAHOMA RIGHT NOW  
[000:29:43;12] SOUTH AND EAST OF OKLAHOMA CITY  
[000:29:44;25] IS WHERE WE ARE SORT OF  
[000:29:46;19] CONCERNED WITH THE WORST OF THE  
[000:29:48;23] TORNADOIC CELLS.  
[000:29:49;18] THE SYSTEM IS SLOWLY MOVING  
[000:29:51;27] EASTWARD.  
[000:29:52;21] SO AS WE GET INTO THE OVERNIGHT  
[000:29:54;08] HOURS, OKLAHOMA CITY YOU ARE  
[000:29:55;11] GOING TO BE THIS THE CLEAR.  
[000:30:02;10] THEN HARRIS TOMORROW THE STORM  
[000:30:03;28] CLOUDS CLEAR HEATS UP AGAIN  
[000:30:05;23] AND THE THREAT FOR SEVERE  
[000:30:07;21] WEATHER YET AGAIN.  
[000:30:08;25] THESE FOLKS REALLY NOT OUT OF  
[000:30:10;02] THE WOODS FOR THE NEXT 2-24    12-24
[000:30:15;11] HOURS.  
[000:30:16;02] >> WE ARE COVERING COVERING THIS 
[000:30:17;18] BREAKING NEWS HAPPENING IN THE  
[000:30:18;20] MID SECTION OF THE COUNTRY.  
[000:30:19;20] THIS AFFECTS MILLIONS OF PEOPLE  
[000:30:22;01] TONIGHT.  
[000:30:22;29] WE HAVE HEARD REPORTS OF  
[000:30:24;25] DAMAGE.  
[000:30:25;14] WICHITA GETTING HIT WHICH IS A  
[000:30:26;16] MAJOR POPULATED AREA BUT NO  
[000:30:28;11] INJURIES REPORTED AS WE ALREADY  
[000:30:29;24] TALKED WITH THE MAYOR OF  
[000:30:31;14] WICHITA.  
[000:30:32;05] WE ARE MOVING FORWARD WITH THE  
[000:30:33;28] STORY TALKING WITH STORM  
[000:30:35;04] CHASERS AND BRINGING YOU AS  
[000:30:36;17] MUCH VIDEO COMING IN TO FOX  
[000:30:39;09] NEWS.  
[000:30:39;23] I WILL HAVE UREPORT INFORMATION  
[000:30:42;10] TO SEND YOUR PICTURES DIRECTLY  
[000:30:44;02] TO US.  
[000:30:44;26] AND OTHER DEVELOPING TORE    STORIES
[000:30:47;28] WE  
[000:30:48;11] WANT TO TELL YOU ABOUT ASIDE  
[000:30:50;03] FROM THE WEATHER.  
[000:30:51;07] THIS RIGHT NOW IS FOX URGENT  
[000:30:52;24] AND WE ARE BRINGING IT TO YOU  
[000:30:54;26] LIVE.  
[000:30:55;15] STAY CLOSE.
[000:30:55;24] FROM STOUFFER'S    STARTS WITH GROUND
[000:30:56;20] BEEF    ONIONS AND PEPPERS    BAKED
[000:30:58;07] IN A KETCHUP GLAZE    WITH SAVORY
[000:30:59;15] GRAVY    AND MASHED RUSSET POTATOES.
[000:31:01;25] WHAT MAKES STOUFFER'S MEATLOAF   
[000:31:02;17] BEST OF ALL?    THAT MOMENT YOU ENJOY
[000:31:04;07] IT    AT HOME.    STOUFFER'S.    MADE
[000:31:06;25] WITH CARE,    FOR YOU OR YOUR FAMILY.
[000:31:09;24] ♪ ♪  [ lighter flicking ]    [ Male
[000:31:15;14] Announcer ]    YOU'VE REACHED THE
[000:31:16;05] AGE    WHERE GIVING UP    ISN'T WHO
[000:31:17;13] YOU ARE.  ♪ ♪    THIS IS THE AGE 
[000:31:21;20] OF KNOWING HOW    TO MAKE THINGS HAPPEN.
[000:31:23;12] SO, WHY LET ERECTILE    DYSFUNCTION
[000:31:24;05] GET IN YOUR WAY?    TALK TO YOUR DOCTOR
[000:31:26;24] ABOUT VIAGRA.    20 MILLION MEN ALREADY
[000:31:28;15] HAVE.    ASK YOUR DOCTOR IF YOUR HEART
[000:31:30;10] IS HEALTHY ENOUGH FOR SEX.    DO NOT
[000:31:32;06] TAKE VIAGRA IF YOU TAKE    NITRATES
[000:31:32;26] FOR CHEST PAIN;    IT MAY CAUSE AN
[000:31:34;25] UNSAFE DROP    IN BLOOD PRESSURE.
[000:31:36;23] SIDE EFFECTS INCLUDE    HEADACHE,
[000:31:37;14] FLUSHING    UPSET STOMACH,    AND
[000:31:39;02] ABNORMAL VISION.    TO AVOID LONG-TERM
[000:31:40;08] INJURY,    SEEK IMMEDIATE MEDICAL
[000:31:40;29] HELP    FOR AN ERECTION    LASTING
[000:31:42;29] MORE THAN FOUR HOURS.    STOP TAKING
[000:31:44;07] VIAGRA    AND CALL YOUR DOCTOR RIGHT
[000:31:44;29] AWAY    IF YOU EXPERIENCE    A SUDDEN
[000:31:47;11] DECREASE OR LOSS    IN VISION OR HEARING.
[000:31:49;16] THIS IS THE AGE    OF TAKING ACTION.
[000:31:51;09] VIAGRA.    TALK TO YOUR DOCTOR.  
[000:32:25;03] [ HUMAN LEAGUE PLAYS  "I'M ONLY HUMAN"
[000:32:25;27] ]
[000:32:30;29] HUMANS.
[000:32:31;20] EVEN WHEN WE CROSS OUR t's    AND
[000:32:32;11] DOT OUR i's,
[000:32:34;23] WE STILL RUN INTO PROBLEMS.
[000:32:36;13] NAMELY, OTHER HUMANS.
[000:32:37;14] WHICH IS WHY    AT LIBERTY MUTUAL
[000:32:38;07] INSURANCE,
[000:32:39;12] TO POLICIES COME    WITH NEW CAR REPLACEMENT
[000:32:42;26] AND ACCIDENT FORGIVENESS    IF YOU
[000:32:43;17] QUALIFY.
[000:32:46;00] SEE WHAT EE COMES STANDARD
[000:32:47;16] AT LIBERTYMUTUAL.COM.
[000:32:49;02] LIBERTY MUTUAL INSURANCE.
[000:32:51;09] RESPONSIBILITY.
[000:32:52;18] WHAT'S YOUR POLICY?
[000:33:24;20] ALL STATIONS COME OVER TO  MISSION
[000:33:25;11] A FOR A FINAL GO.  THIS IS FOR REAL
[000:33:27;26] THIS TIME.
[000:33:28;21] STEP SEVEN POINT  TWO ONE TWO.
[000:33:31;29] RIFY AND LOCK.
[000:33:33;00] COMMAND IS LOCKED.
[000:33:36;19] FIVE SECONDS.
[000:33:38;02] THREE, TWO, ONE.
[000:33:43;09] STANDING BY FOR CAPTURE.
[000:33:44;05] THE MOST INNOVATIVE  SOFTWARE ON THE
[000:33:44;27] PLANET...
[000:33:47;20] DRAGON IS CAPTURED.
[000:33:48;10] IS CONNECTING TODAY'S LEADING  COMPANIES
[000:33:49;06] TO PLACES BEYOND IT.
[000:33:52;06] SIEMENS. ANSWERS.
[000:34:32;24] AS WE STAY ON THE STORY FOR YOU  
[000:34:33;20] RIGHT NOW.  
[000:34:34;06] TORNADOES TOUCHING DOWN IN  
[000:34:35;21] KANSAS AND OKLAHOMA AND THE  
[000:34:36;21] SYSTEM NOW COOKING UP.  
[000:34:37;18] YOU SEE ON THE BACK EDGE OF IT  
[000:34:39;05] THERE IN OKLAHOMA CITY A LITTLE  
[000:34:41;02] PEEK OF DAYLIGHT AND PEOPLE  
[000:34:43;12] THERE ARE TOLD T
[000:34:45;21] HEED THE WARNINGS WITH BECAUSE WE
[000:34:50;02] HAVE SEEN BREAKS LIKE THIS IN  
[000:34:53;01] THE SKIES AND THEN SUDDENLY A  
[000:34:54;06] WALL CLOUD AND SUDDENLY A LARGE  
[000:34:56;08] FUNNEL.  
[000:34:56;25] AND I MEAN LARGE.  
[000:34:57;16] WE ARE SENDING CORRESPONDENTS  
[000:35:01;09] INTO THE HEART OF THIS.  
[000:35:02;08] WE ARE TALKING WITH STORM  
[000:35:03;25] CHASERS PEOPLE WHO DO THIS FOR  
[000:35:05;17] A LIVING.  
[000:35:08;06] CASEY STEGALL IS ON INTERSTATE  
[000:35:10;14] 35 IN OKLAHOMA GOING NORTH.  
[000:35:11;22] CASEY, YOU ARE WITH US.  
[000:35:13;22] TELL US ABOUT IT.  
[000:35:14;26] >> HARRIS WE ARE ON THE PHONE  
[000:35:18;06] OBVIOUSLY HEADING UP I-35.  
[000:35:19;10] THAT IS THE MAIN SORT OF  
[000:35:21;13] INTERSTATE THAT BLENDS THROUGH  
[000:35:22;17] OKLAHOMA EVEN RUNS UP NORTH  
[000:35:25;01] THROUGH KANSAS AND WE ARE ABOUT  
[000:35:26;28] 50 MILES OR SO SOUTH OF NORMAN,  
[000:35:30;28] OKLAHOMA THAT IS UNDER THE GUN  
[000:35:32;20] THE LAST 30 MINUTES OR SO AND  
[000:35:34;07] JUST AS YOU HAVE BEEN SAYING  
[000:35:36;10] WITH JANUARY MISS DEAN THERE JANICE
[000:35:39;16] DEAN I HAVE BEEN  
[000:35:41;21] MONITORING WHAT YOU GUYS ARE  
[000:35:43;11] SAYING.  
[000:35:43;28] A DANGEROUS FLUID SITUATION  
[000:35:45;17] THROUGHOUT MUCH OF THE STATE OF  
[000:35:50;14] OKLAHOMA.  
[000:35:51;08] OKLAHOMA CITY AND THEN SOUTH OF  
[000:35:54;19] OKLAHOMA CITY, THE VERY FIRST  
[000:35:58;04] REPORT [BREAK IN AUDIO] AND  
[000:36:01;20] THAT IS ABOUT 17 MILES NORTH OF  
[000:36:03;25] OKLAHOMA CITY, DEBRIS BUT NO  
[000:36:05;25] INJURIES WE ARE TOLD.  
[000:36:07;01] THEN THE STORM SORT OF TRACKED  
[000:36:09;25] TO THE EAST OF OKLAHOMA.  
[000:36:13;21] >> CASEY CASEY CAN YOU HEAR  
[000:36:15;16] ME.  
[000:36:16;00] IN YOUR LINE IS BREAKING UP A  
[000:36:17;04] LITTLE BIT.  
[000:36:17;20] I WANT TO CLEAR THIS UP BECAUSE  
[000:36:19;19] I THINK PEOPLE ARE CONCERNED  
[000:36:21;04] ABOUT YOU.  
[000:36:21;24] I'M WATCHING AND PEOPLE ARE  
[000:36:22;27] TWEETING ABOUT YOU RIGHT NOW  
[000:36:23;28] THEY WANT TO KNOW EXACTLY WHERE  
[000:36:25;25] YOU ARE AND I WANT TO GIVE THE  
[000:36:27;09] LINE A CHANCE TO CLEAR UP  
[000:36:28;18] BECAUSE YOU ARE IN A MOVING  
[000:36:29;26] VEHICLE AND SOMETIMES AS YOU  
[000:36:30;26] ARE MOVING ACROSS YOU WILL FIND  
[000:36:32;22] A STRONGER TOWER TO HOOK UP TO  
[000:36:34;24] SO I WANT TO GIVE IT A FEW  
[000:36:36;28] SECONDS TO DO THAT.  
[000:36:38;05] GOING NORTH ARE ON INTERSTATE  
[000:36:39;25] 35 THE MAIN CORRIDOR FROM SOUTH  
[000:36:43;12] SOUTH  
[000:36:43;28] TO NORTH THROUGH THE MIDWESTERN  
[000:36:45;06] PORTION OF THE COUNTRY HE UP  
[000:36:46;02] THROUGH OKLAHOMA.  
[000:36:47;00] TELL ME WHERE YOU ARE AND WHAT  
[000:36:48;02] YOU ARE SEEING?  
[000:36:48;26] >> WE ARE ABOUT 55 MILES OR SO  
[000:36:50;19] SOUTH OF NORMAN, OKLAHOMA.  
[000:36:52;04] AN AREA THAT IS STILL UNDER A  
[000:36:55;19] TORNADO WATCH RIGHT NOW.  
[000:36:56;24] CONFIRMED REPORTS OF TORNADOES  
[000:36:58;03] ON THE GROUND IN THE NORMAN,  
[000:36:59;25] OKLAHOMA AREA.  
[000:37:02;09] WHICH, BY THE WAY TO A LOT OF  
[000:37:04;01] PEOPLE THAT KNOW THIS, NORMAN  
[000:37:05;17] IS HOME TO THE UNIVERSITY OF  
[000:37:07;01] OKLAHOMA A UNIVERSITY OF MORE  
[000:37:08;04] THAN 30,000 STUDENTS AND THE  
[000:37:10;19] NATIONAL WEATHER SERVICE IN  
[000:37:12;16] FACT EVEN HAS AN OFFICE IN  
[000:37:14;00] NORMAN.  
[000:37:14;16] I SPOKE TO A REPRESENTATIVE  
[000:37:15;24] THERE NOT VERY LONG AGO AND  
[000:37:16;27] THEY HE SAID THAT THEY WERE  
[000:37:17;27] STARTING TO SEE SOME CLIMATIC  
[000:37:21;29] ACTIVITY LITERALLY OUT OF THE  
[000:37:23;01] BACK OF THEIR OFFICE DOOR.  
[000:37:24;05] THAT IS PART OF THAT CELL AS I  
[000:37:25;23] MENTIONED THAT IS ACTUALLY  
[000:37:28;05] SOUTHEAST OF OKLAHOMA CITY  
[000:37:29;17] BECAUSE WE HAVE GOT THESE TWO  
[000:37:31;28] MAJOR CELLS IF YOU LOOK AT THE  
[000:37:33;12] RADAR THAT ARE SPAWNING THE  
[000:37:36;16] TORNADOES.  
[000:37:37;09] NORTHEAST OF OKLAHOMA CITY AND  
[000:37:39;09] THEN SOUTHEAST OF OKLAHOMA  
[000:37:40;15] CITY.  
[000:37:41;01] AND RIGHT NOW ALL EYES ARE ON  
[000:37:43;19] THE AREA AS JANICE DEAN WAS  
[000:37:45;28] SAYING PINK, OKLAHOMA, THAT IS  
[000:37:48;02] SOUTHEAST OF NORMAN.  
[000:37:49;08] SO WE HAVE THESE TWO GUIDANCE  
[000:37:51;18] TICK CELLS.  
[000:37:52;05] IN FACT SOME OF THE EARLY  
[000:37:53;13] REPORTS FROM THE WEATHER  
[000:37:54;23] SPOTTERS ON THE GROUND IS THAT  
[000:37:56;04] IN THE STATE OF OKLAHOMA ALONE  
[000:37:58;29] 14 DIFFERENT TORNADOES HAVE  
[000:38:00;13] BEEN GENERATED IN THE LAST FOUR  
[000:38:02;18] HOURS OR SO.  
[000:38:03;24] THIS IS SOMETHING THAT  
[000:38:04;20] FORECASTERS HAD TALKED ABOUT  
[000:38:05;26] FOR SEVERAL DAYS.  
[000:38:06;28] I CAN TELL YOU WE WERE DOWN IN  
[000:38:11;01] NORTH TEXAS ON THE GROUND LAST  
[000:38:12;04] WEEK RIGHT AFTER THOSE STORMS  
[000:38:17;21] BLEW THROUGH AND DECIMATED SOME  
[000:38:22;07] PART TION OF TEXAS.  
[000:38:23;01] EVER SINCE THE SYSTEM MOVE  
[000:38:23;25] THROUGH IT HAS BEEN AN EERY  
[000:38:31;16] HUMID UNNATURAL FEELING THE  
[000:38:32;21] LAST FEW DAYS.  
[000:38:33;22] IT IS NOT NORMALLY HUMID IN  
[000:38:37;13] NORTH TEXAS AND THE SOUTHERN  
[000:38:38;14] PART OF OKLAHOMA.  
[000:38:39;04] THE AIR JUST KIND OF FELT  
[000:38:40;15] WEIRD.  
[000:38:41;02] IT WAS MUGGY AND STIFLING.  
[000:38:43;09] THAT WAS OF GREAT CONCERN TO A  
[000:38:45;05] LOT OF THE FORECASTERS AND  
[000:38:47;00] METEOROLOGISTS BECAUSE AS  
[000:38:48;27] JANICE DEAN WAS SAYING EARLIER  
[000:38:51;04] THIS HAS REALLY SORT OF BEEN  
[000:38:52;15] TEXTBOOK EXAMPLE OF WEATHER  
[000:38:54;22] THAT SETS UP FOR THE SUPERCELLS  
[000:38:56;20] AND CELLS THAT PRODUCE THE  
[000:38:58;06] TORNADOES.  
[000:38:59;00] AT THIS POINT WE ARE SAFE.  
[000:38:59;24] I MEAN WE ARE ABOUT 55 MILES AS  
[000:39:04;29] I SAID SOUTH OF NORMAN AND IT  
[000:39:07;01] IS SUNNY.  
[000:39:08;00] THAT IS THE WEIRD THING ABOUT  
[000:39:09;06] THIS AS YOU WERE TALKING ABOUT  
[000:39:10;04] THE VIDEO HE OF THE BLUE SKY  
[000:39:12;22] THERE OUT TO THE DISTANCE IN  
[000:39:14;20] OKLAHOMA CITY.  
[000:39:15;15] SHE ARE ARE SO SPORADIC AND SO  
[000:39:18;17] ISOLATED WITH TORNADOES.  
[000:39:20;00] SO DIFFERENT THAN A HURRICANE.  
[000:39:21;25] THE HURRICANE IS WIDESPREAD FOR  
[000:39:22;28] MILES AND MILES AND MILES AND  
[000:39:24;22] MILES YOU ARE HAVING THE STRONG  
[000:39:27;04] WINDS AND THE POURINGTHE  
[000:39:29;15] DOWNPOURS IN THE RAIN.  
[000:39:30;18] WITH THE TORNADOES IT CAN BE  
[000:39:32;29] SUNNY IN ONE AREA AND TEN MILES  
[000:39:34;17] TO THE EAST OF YOU TORNADOES ON  
[000:39:38;01] THE GROUND DOING LOTS AND LOTS  
[000:39:40;13] OF DAMAGE.  
[000:39:41;04] THAT IS WHAT IS REALLY ALARMING  
[000:39:43;04] WITH THESE.  
[000:39:43;26] EVEN THOUGH FORECASTERS WERE  
[000:39:45;10] PREDICTING THIS, THESE DROP  
[000:39:46;19] DOWN OUT OF THE SKY.  
[000:39:47;16] THEY ARE ON THE GROUND FOR A  
[000:39:48;19] FEW MINUTES.  
[000:39:50;00] DO A TON OF DAMAGE AND THEN  
[000:39:52;19] ASCEND BACK UP INTO THE CLOUDS  
[000:39:54;06] AND THAT IS WHAT WE ARE SEEING  
[000:39:55;22] THROUGHOUT THE PORTIONS OF  
[000:39:56;26] OKLAHOMA THAT HAVE BEEN UNDER  
[000:39:58;03] THE GUN THE LAST FOUR HOURS OR  
[000:39:59;28] SO HARRIS.  
[000:40:01;01] >> WHILE YOU WERE TALKING  
[000:40:02;00] VIEWERS SAW A VERY LARGE  
[000:40:04;16] TORNADO TOUCHING DOWN AND I  
[000:40:05;21] WANT TO MAKE IT CLEAR WHAT WE  
[000:40:07;04] ARE LOOKING AT HERE IS BRAND  
[000:40:08;11] NEW VIDEO.  
[000:40:09;28] RE-RACK THAT, PLEASE.  
[000:40:11;22] CASEY, THIS IS A MONSTER ON THE  
[000:40:13;10] GROUND AND JUST COMING IN TO  
[000:40:14;25] FOX NEWS NOW.  
[000:40:15;19] TORNADOES HITTING IN OKLAHOMA.  
[000:40:17;06] WE KNEW THAT.  
[000:40:18;00] WE KNEW THAT THEY HAD HIT  
[000:40:19;14] OUTSIDE OKLAHOMA CITY.  
[000:40:20;18] AND NOW WE ARE LEARNING MORE  
[000:40:23;03] ABOUT THIS.  
[000:40:26;13] TORNADOHUNTER .COM I UNDERSTAND  
[000:40:28;03] HAS SENT THIS TO US.  
[000:40:30;09] IT IS VIDEO NOW OUTSIDE OF  
[000:40:33;23] OKLAHOMA CITY.  
[000:40:34;17] AND IFKY GET SOME DIRECTION  
[000:40:36;06] FROM THE PRODUCERS IN THE BOOTH  
[000:40:37;10] PLEASE TO TELL ME EXACTLY WHERE  
[000:40:38;21] THIS IS.  
[000:40:39;09] BECAUSE YOU CAN SEE HOW LONG  
[000:40:40;25] THIS SITS ON THE GROUND AND  
[000:40:45;17] THEN JUST -- THIS IS WHAT CASEY  
[000:40:47;28] WAS TALKING ABOUT THERE.  
[000:40:49;04] SOMEBODY WAS JUST TALKING WITH  
[000:40:50;11] ME SO I PUSSED FOR PAUSED FOR A SECOND
[000:40:54;07] THERE.  
[000:40:54;25] ABOUT HOW THEY WILL SIT AND  
[000:40:55;20] LOOK HUGE AND GO RIGHT BACK UP  
[000:40:57;24] IN THE SKY AND IT IS REALLY  
[000:40:59;07] DIFFICULT TO SEE THEM COMING  
[000:41:00;12] SOMETIMES BECAUSE MANY OF THEM  
[000:41:01;23] HAVE BEEN RAIN-SOAKED.  
[000:41:05;10] FOX 25 OKLAHOMA CITY.  
[000:41:06;05] LISTEN TO THIS.  
[000:41:07;07] >> RIGHT ALONG RIGHT ON THE  
[000:41:09;18] HIGHWAY RIGHT THERE.  
[000:41:11;24] I-40 AND THEN AFTER THAT MOVE  
[000:41:13;05] TO THE EAST AND PULL UP CITIES  
[000:41:14;05] THERE FOR YOU.  
[000:41:14;27] AS IT STAYS LOOKS LIKE WELL  
[000:41:17;13] NORTH OF MACK MCARTHUR BOULEVARD 
[000:41:22;13] THAT IS.  
[000:41:23;01] MOVING OUT RIGHT NOW.  
[000:41:24;02] WE KNOW EXACTLY WHERE THAT  
[000:41:25;12] TORNADO IS AT.  
[000:41:26;01] WE KNOW IT IS ON THE GROUND AND  
[000:41:27;10] WE WILL STAY WITH IT OBVIOUSLY  
[000:41:29;14] AND WE HAVE TWO CHASERS ON THAT  
[000:41:31;14] RIGHT NOW AND TRYING TO GET  
[000:41:32;11] PHONERS AND VERIFY WHAT THEY  
[000:41:33;16] ARE SEEING.  
[000:41:34;22] BUT WE KNOW FOR A FACT THAT IT  
[000:41:36;07] IS ON THE GROUND RIGHT NOW.  
[000:41:38;02] THAT WAS LIVE VIDEO HE THAT YOU  
[000:41:40;03] SAW THERE.  
[000:41:42;13] WHILE MICHELLE IS DOING THAT  
[000:41:43;25] YOU CAN SEE ON THE CHASE NET  
[000:41:44;28] TWO RIGHT THERE ON THE  
[000:41:45;29] RIGHT-HAND SIDE OF THE SCREEN  
[000:41:47;08] THE TORNADO IS RIGHT BEHIND THE  
[000:41:49;23] BILL BILLION BOARD RIGHT BEHIND  
[000:41:50;24] THE SIGN RIGHT THERE.  
[000:41:52;11] AND THAT IS, ONCE AGAIN, I WANT  
[000:41:54;01] TO POINT OUT EXACTLY WHERE IT  
[000:41:55;09] IS AT ON THE RADAR.  
[000:41:56;21] MICHELLE AFTER YOU GET THE  
[000:41:58;05] TRACK UP THERE LET ME KNOW.  
[000:42:01;00] OKAY.  
[000:42:01;13] 13 MINUTES IN ADELOT.  
[000:42:03;20] 20 MINUTES JOHNSON.  
[000:42:06;22] HELLO.  
[000:42:07;10] DID YOU HEAR THE NAME OF THAT  
[000:42:08;15] IS CITY, JOHN?  
[000:42:09;19] >> I HAVE NOT.  
[000:42:10;15] >> YOU CAN SEE IT RIGHT THERE.  
[000:42:12;02] NOT EVEN GOING TO TRY TO  
[000:42:14;23] PRONOUNCE THAT.  
[000:42:16;15] MICHELLE PUT SOME STREETS ON  
[000:42:17;29] THERE AGAIN FOR US, PLEASE.  
[000:42:19;09] THERE YOU GO.  
[000:42:20;00] THANK YOU.  
[000:42:20;18] AND THEN THERE IS I-40 AND THEN  
[000:42:22;20] AGAIN SPLIT SCREENING ACTUALLY  
[000:42:24;03] NOW WE ARE ON FULL SCREEN HERE  
[000:42:26;01] AND THERE IS THE HIGHWAY SIGN  
[000:42:28;05] WILL AND EMERGENCY VEHICLES  
[000:42:29;12] THERE.  
[000:42:29;25] CHASERS ALL LINED UP AND  
[000:42:30;25] TRACKING THIS TORNADO RIGHT  
[000:42:32;00] ABOUT HERE.  
[000:42:33;04] AGAIN, JUST EAST AND NORTHEAST  
[000:42:35;02] OF DALE.  
[000:42:36;03] ALREADY SEE SOME GUSTY WINDS  
[000:42:37;10] EVEN AS FAR AWAY FROM THAT  
[000:42:40;19] TORNADO.  
[000:42:41;07] STILL SOME GUSTY WINDS MORE  
[000:42:42;02] THAN LIKELY.  
[000:42:42;19] >> WHAT YOU ARE WATCHING RIGHT  
[000:42:43;26] NOW IS AMAZING COVERAGE BY OUR  
[000:42:46;25] FOX 25 THERE KOKH IN OKLAHOMA  
[000:42:48;24] CITY.  
[000:42:49;09] YOU SEE THEM GATHERING THE  
[000:42:50;29] VEHICLES AND THEIR INSTRUMENTS  
[000:42:53;21] AS TOUCHDOWNS ARE HAPPENING  
[000:42:55;09] RIGHT NOW IN THAT AREAIA.  
[000:42:59;01] TWISTERS ON THE GROUND AND  
[000:43:00;09] THEIR REACTION AS THE HUGE  
[000:43:01;12] BOLTS OF LIGHTNING STRIKE FROM  
[000:43:03;13] THAT CLOUD COVER.  
[000:43:04;15] ON DOWN TO WHATEVER THE HECK  
[000:43:06;00] THEY ARE HITTING ON THE GROUND.  
[000:43:07;11] DANGEROUS SITUATION WE ARE  
[000:43:08;08] WATCHING AND WE ARE JUST  
[000:43:10;20] STARTING HERE.  
[000:43:11;14] STAY CLOSE.
[000:43:12;00] TO YOUR TABLE    OUR SEAFOOD DINNER
[000:43:12;26] FOR TWO    FOR JUST 25 DOLLARS!  
[000:43:14;00] FIRST GET SALAD    AND CHEDDAR BAY
[000:43:14;22] BISCUITS.    THEN CHOOSE FROM A VARIETY
[000:43:16;25] OF SEAFOOD ENTRéES.    PLUS CHOOSE
[000:43:18;17] EITHER AN APPEZER    OR A DESSERT
[000:43:19;09] TO SHARE.    OFFER ENDS SOON AT RED
[000:43:21;28] LOBSTER!    WHERE WE SEA FOOD DIFFERENTLY.
[000:43:25;27] I'M PHYLLIS  AND I HAVE DIABETIC NERVE
[000:43:26;20] PAIN.  WHEN I FIRST FELT  THE DIABETIC
[000:43:28;16] NERVE PAIN,  OF COURSE  I HAD NO IDEA
[000:43:32;11] WHAT IT WAS.  I FELT LIKE  MY FEET
[000:43:33;24] WERE GOING TO SLEEP.  IT PROGRESSED
[000:43:36;07] FROM THERE  TO BURNING  LIKE I WAS
[000:43:40;01] WALKING  ON HOT COALS...  TO LIKE
[000:43:42;11] 1,000 BEES  THAT WERE JUST STINGING
[000:43:44;02] MY FEET.  I HAVE A GREAT RELATIONSHIP
[000:43:45;16] WITH MY DOCTOR...  HE FOUND LYRICA
[000:43:48;13] FOR ME.    [ Female Announcer ] IT'S
[000:43:50;00] KNOWN    THAT DIABETES DAMAGES NERVES.
[000:43:52;03] LYRICA IS FDA APPROVED    TO TREAT
[000:43:52;25] DIABETIC NERVE PAIN.    LYRICA IS
[000:43:55;28] NOT FOR EVERYONE.    IT MAY CAUSE
[000:43:57;06] SERIOUS ALLERGIC REACTIO    OR SUICIDAL
[000:43:59;02] THOUGHTS    OR ACTIONS.    TELL YOUR
[000:44:00;14] DOCTOR T AWAY    IF YOU HAVE THESE,
[000:44:02;22] NEW OR WORSENING DEPRON    OR UNUSUAL
[000:44:03;24] CHAES    IN MOOD OR BEHAVIOR.    OR
[000:44:05;22] SWELLING, TROUBLE BREATHING,    RASH,
[000:44:06;15] HIVES, BLISTERS,    CHANGES IN EYESIGHT
[000:44:09;12] INCLUDING BLURRY VISION,    MUSCLE
[000:44:11;08] PAIN WITH FEVER    TIRED FEELING,
[000:44:13;13] OR SKIN SORES FROM DIABETES.    COMMON
[000:44:14;13] SIDE EFFES ARE    DIZZINESS, SLEESS,
[000:44:16;11] WEIGHT GAIN AND SWELLING    OF HANDS,
[000:44:17;03] LEGS AND FEET.    DON'T DRINK ALCOHOL
[000:44:19;06] WHILE TAKI LYRICA.    DON'T DRIVE
[000:44:21;07] OR USE MACHINERY    UNTIL YOU KNOW
[000:44:22;11] HOW LYRICA AFFECTS YOU.    THOSE WHO
[000:44:23;25] HAVE HAD A DRUG    OR ALCOHOL PROBLEM
[000:44:25;22] MAY BE MORE LIKELY    TO MISUSE LYRICA.
[000:44:27;27] HAVING LESS PAIN --  IT'S A WONDERFUL
[000:44:28;17] FEELING.    [ Female Announcer ] ASK
[000:44:31;19] YOUR DOCTOR ABOUT LYRICA TODAY.  
[000:44:33;14] IT'S SPECIFIC TREATMENT    FOR DIABETIC
