[000:00:00;650] TRUMP.
[000:35:36;250] SENATOR HELLER AND HIS WIFE,
[000:35:41;088] MELANIA WAS THERE WITH HIM.
[000:35:43;057] SO THE PRESIDENT STAYED IN THE
[000:35:44;525] FORWARD CABIN.
[000:35:45;326] YOU CAN SEE THE BREAK-UP.
[000:35:46;894] IT'S A UNIT THAT OPERATES ON
[000:35:49;564] CELL SERVICE.
[000:35:50;765] HOOKS IN TO A DIFFERENT OF CELL
[000:35:53;835] NODES.
[000:35:54;569] IF YOU'RE OUTSIDE, YOU GET
[000:35:57;371] PRETTY GOOD RECEPTION.
[000:36:02;009] SOMETIMES INSIDE, YOU LOSE
[000:36:02;743] CONNECTIVITY AND THE PICTURE
[000:36:03;477] GOES FUZZY LIKE THAT.
[000:36:04;645] IT'S A WAY TO BRING YOU
[000:36:07;582] IMMEDIATE PICTURES FROM
[000:36:08;649] SOMETHING THAT NORMALLY WE
[000:36:10;685] WOULDN'T HAVE ACCESS TOO.
[000:36:12;320] LATER ON WHEN WE GET THE
[000:36:14;255] FEEDBACK OVER THE SATELLITE,
[000:36:15;356] YOU'LL SEE THE PICTURES IN THE
[000:36:17;124] ENTIRETY AND CLARITY.
[000:36:18;559] THE PRESIDENT WANTS TO MAKE
[000:36:19;627] SPECIAL MENTION, SHEP, I'M TOLD
[000:36:24;031] BY SARAH HUCKABEE SANDERS WHO
[000:36:24;932] SAW IT ON THE WAY HERE BEFORE WE
[000:36:27;034] LANDED, WANTS TO MAKE SPECIAL
[000:36:28;870] MENTION OF THE CIVILIANS WHO AT
[000:36:34;842] RISK TO THEIR OWN LIVES AND SOME
[000:36:35;643] OF THEM DID DIE DOING THIS,
[000:36:36;377] PROTECTED OTHER PEOPLE,
[000:36:37;511] PROTECTED LOVED ONES, TRIED TO
[000:36:39;247] GET PEOPLE OUT OF THE AREA, DID
[000:36:41;282] WHATEVER THEY COULD TO GET
[000:36:42;183] PEOPLE TO THE HOSPITALS.
[000:36:43;384] THESE ARE CITIZEN HEROS, SHEP
[000:36:45;152] THAT THE PRESIDENT WANTS TO
[000:36:46;754] HONOR.
[000:36:47;188] WE'LL SEE THEM IN A COUPLE
[000:36:49;891] MINUTES.
[000:36:50;258] HE'S TOURING THE COMMAND CENTER
[000:36:52;693] THERE WITH THE SHERIFF WHO HAS
[000:36:53;895] DONE AMAZING WORK IN THE WAKE OF
[000:36:56;898] THIS HORRIBLE TRAGEDY.
[000:36:58;132] YOU CAN IMAGINE, YOU CAN
[000:37:01;168] PROBABLY COUNT ON ONE HAND THE
[000:37:19;186] NUMBER OF HOURS OF SLEEP HE'S
[000:37:19;954] HAD.
[000:37:20;221] THE PRESIDENT TAKING THE TOUR OF
[000:37:20;955] THE COMMAND CENTER, MEETING WITH
[000:37:21;689] THE FIRST RESPONDERS AND WE'LL
[000:37:22;423] HEAR FROM HIM SHORTLY WHERE HE
[000:37:23;157] WILL PAY TRIBUTE TO THE BRAVE
[000:37:23;858] MEN AND WOMEN OF LAW ENFORCEMENT
[000:37:24;592] THAT PUT THEIR LIVES ON THE LINE
[000:37:25;326] AND THE CIVILIANS THAT DID THE
[000:37:26;060] SAME THING SUNDAY NIGHT.
[000:37:26;661] SHEP?
[000:37:26;961] >> Shepard: JOHN, THANKS SO
[000:37:27;628] MUCH.
[000:37:27;929] THE ROOM BEGINNING TO FILL WHERE
[000:37:28;696] THE PRESIDENT WILL GREET THOSE
[000:37:29;497] FOLKS.
[000:37:29;797] THEY'VE BEEN FILLING IN THE DOOR
[000:37:30;598] ON THE LEFT TO OUR LEFT SIDE OF
[000:37:33;868] THAT -- THE BLUE WALL BACK
[000:37:35;703] THERE, THE BLUE CURTAIN.
[000:37:41;042] YOU'LL SEE MORE COMING IN NOW.
[000:37:41;776] IT'S OUR BELIEF THE PRESIDENT IS
[000:37:42;543] ON HIS WAY RIGHT NOW.
[000:37:43;144] THE OTHER STORY OF THE DAY HAS
[000:37:43;978] BEEN THE REPORTS ON SECRETARY
[000:37:46;080] TILLERSON.
[000:37:46;747] IT WAS BACK IN THE SUMMER THAT
[000:37:48;783] CNN REPORTED AND NBC REPORTED
[000:37:50;885] OVERNIGHT AND INTO THIS MORNING,
[000:37:54;422] I THINK THEY DEBUTED IT ON
[000:38:00;695] MORNING JOE, THAT REX TILLERSON
[000:38:02;430] SAID I'M DONE, I'M GOING TO
[000:38:04;398] TEXAS.
[000:38:04;699] BUT THE PRESIDENT INTERVENED IN
[000:38:06;400] SOME WAY AND IT NEVER HAPPENED.
[000:38:08;602] NOW SECRETARY TILLERSON HAS SAID
[000:38:13;908] NONE OF THAT HAPPENED, IT'S FAKE
[000:38:14;742] NEWS.
[000:38:15;042] NBC NEWS STANDS BY ITS
[000:38:15;643] REPORTING.
[000:38:16;010] WITH THAT, WE RETURNED TO A.B.
[000:38:20;314] STODDARD.
[000:38:23;784] I DON'T KNOW WHAT TO MAKE OF
[000:38:25;186] THIS.
[000:38:25;486] I DON'T KNOW HOW MANY TIMES I
[000:38:27;455] TRIED TO QUIT AROUND HERE.
[000:38:29;290] EVERYBODY HAS BAD DAYS.
[000:38:31;325] I DON'T KNOW WHAT TO MAKE OF
[000:38:33;928] THIS.
[000:38:35;963] SECRETARY TILLERSON SAYS IT'S
[000:38:39;133] FAKE NEWS.
[000:38:39;700] NBC NEWS STANDS BY IT.
[000:38:40;935] I DON'T KNOW WHO TO MAKE OF IT.
[000:38:46;340] >> THERE'S BEEN A LOT OF
[000:38:47;008] REPORTING BETWEEN THE TENSION OF
[000:38:47;775] THE WEST WING AND THE WHITE
[000:38:48;609] HOUSE.
[000:38:49;043] REX TILLERSON WAS THE MOST
[000:38:50;044] POWERFUL MEN IN THE WORLD, HEAD
[000:38:51;479] OF EXXON MOBIL.
[000:38:56;650] HE DIDN'T HAVE TO HAVE REPORTERS
[000:38:59;020] FOLLOWING HIM AROUND ASKING HIM
[000:39:01;322] QUESTIONS IN HIS OLD LIFE ABOUT
[000:39:02;423] GLOBAL CONFRONTATIONS, HAVING TO
[000:39:04;225] DO WITH NATIONAL SECURITY.
[000:39:05;359] HE'S NOT TOTALLY AT EASE IN ALL
[000:39:07;161] THE ASPECTS OF THE JOB BUT HE
[000:39:10;464] MADE COMMENTS TODAY THAT WERE
[000:39:12;133] VERY COMPELLING ABOUT HIS
[000:39:13;901] COMMITMENT TO THE PRESIDENT AND
[000:39:14;869] THE PRESIDENT'S AGENDA AND THAT
[000:39:19;774] AS A TEAM THEY'LL STICK
[000:39:20;441] TOGETHER.
[000:39:20;808] THEY'VE HAD SUCCESS.
[000:39:23;310] HE COMPLIMENTED NIKKI HALEY THAT
[000:39:26;180] SAID WOULD REPLACE HIM IF HE
[000:39:28;149] LEFT.
[000:39:28;682] THERE'S A LOT OF TALK ABOUT
[000:39:30;117] WHETHER OR NOT HE HAS BEEN
[000:39:32;153] PERFORMING A JOB THAT PRESIDENT
[000:39:33;187] TRUMP APPROVES OF.
[000:39:34;755] THAT HE'S BEEN SLOW TO HIRE --
[000:39:36;690] >> Shepard: THAT WAS THE POINT.
[000:39:38;893] >> HE'S NOT DOING THINGS THE WAY
[000:39:42;329] THAT THE WHITE HOUSE WANTS HIM
[000:39:43;931] TO BE DOING THEM.
[000:39:45;499] BUT ALL THIS GOSSIP ABOUT WHAT
[000:39:47;034] HE'S CALLED THE PRESIDENT AND
[000:39:52;206] ALL OF THAT STUFF OBVIOUSLY GETS
[000:39:53;040] TO THE TOP OF THE HEADLINES.
[000:39:53;707] THIS IS AN EXTRAORDINARY
[000:39:54;408] SITUATION.
[000:39:55;643] ALSO BECAUSE THE PRESIDENT SENT
[000:39:58;312] OUT A TWEET UNDERMINING HIM
[000:40:01;148] SAYING HIS WASTING HIS TIME IN
[000:40:02;850] CHINA TALKING ABOUT HOW WE HAVE
[000:40:04;685] PASSIVE NEGOTIATION OR DIALOGUE
[000:40:06;287] WITH THE NORTH KOREANS.
[000:40:07;655] HE'S WORKING ON A DIPLOMATIC
[000:40:10;224] SOLUTION TO A GRAVE CRISIS.
[000:40:13;360] MANY PEOPLE SAID ON SUNDAY LIKE
[000:40:16;230] RICHARD HAAS, REPUBLICAN FOREIGN
[000:40:17;565] POLICY EXPERT WITH EXPERIENCE,
[000:40:19;266] THAT REX TILLERSON SHOULD RESIGN
[000:40:24;572] AFTER THE WAY THE PRESIDENT
[000:40:25;306] SPOKE ABOUT HIM.
[000:40:27;041] IT'S OBVIOUSLY FILLED WITH
[000:40:29;543] TENSION AND THEY BOTH SOUNDED
[000:40:31;512] LIKE THEY WANT TO WORK.
[000:40:32;813] THE VERY UPBEAT IS HONORED BY
[000:40:35;683] TILLERSON'S COMMENTS, BUT
[000:40:36;584] THERE'S MORE BEHIND THE SCENES
[000:40:38;419] THAN WE UNDERSTOOD.
[000:40:39;186] >> Shepard: THERE'S A LOT THERE.
[000:40:40;387] WE HEAR FROM THE STATE
[000:40:42;790] DEPARTMENT OFFICIALS THAT
[000:40:45;059] THERE'S GREAT CONCERN AND GREAT
[000:40:47;628] FRUSTRATIONS THAT THE POSITIONS
[000:40:48;496] HAVE NOT BEEN FILLED.
[000:40:49;330] ON THE MATTER OF THE PRESIDENT'S
[000:40:52;733] TWEET REGARDING SECRETARY
[000:40:57;505] TILLERSON IN NORTH KOREA, THE
[000:40:58;305] PRESIDENT SAID DON'T WASTE YOUR
[000:40:59;073] TIME, SECRETARY TILLERSON.
[000:40:59;773] WE'RE GOING TO NEED WHAT NEEDS
[000:41:00;574] TO BE DONE.
[000:41:01;775] IN OTHER WORDS, STOP YOUR
[000:41:03;777] DIPLOMACY.
[000:41:04;145] IT'S HIS JOB TO HEAD UP THE
[000:41:05;613] DIPLOMACY.
[000:41:05;980] A LOT OF CONSERVATIVES THAT ARE
[000:41:08;349] VERY UPSET ABOUT WHAT IT WAS
[000:41:10;084] THAT THE PRESIDENT TWEETED
[000:41:11;485] BECAUSE IF HE MEANT IT, IT'S
[000:41:13;120] HARD TO SAY THAT HE MEANT
[000:41:14;421] ANYTHING OTHER THAN WE'RE GOING
[000:41:16;023] DO WHAT NEEDS TO BE DONE.
[000:41:17;491] SOUNDS LIKE HE'S TALKING ABOUT
[000:41:19;026] SOMETHING AGGRESSIVE.
[000:41:20;194] >> ALSO JUST WHAT IT SHOWS TO
[000:41:22;263] THE CHINESE WHEN REX TILLERSON
[000:41:23;230] AS OUR SECRETARY OF STATE IS
[000:41:25;132] OVER IN CHINA DOING THIS VERY
[000:41:30;171] DIFFICULT WORK.
[000:41:30;671] THIS IS VERY SENSITIVE WORK.
[000:41:31;338] WHAT IT SHOWS WITH THE PRESIDENT
[000:41:34;108] UNDERMINING HIM AND THROWING HIM
[000:41:35;576] UNDER THE BUS AND UNDERMINING
[000:41:38;913] THE IMPORTANCE OF DIPLOMACY
[000:41:41;582] SENDS A WORRISOME SIGNAL ABOUT
[000:41:43;484] HOW HE'S TREATING REX TILLERSON
[000:41:44;518] AND HOW HE'S HANDLING THE
[000:41:45;653] PROCESS IN TERMS OF WHAT HE'S
[000:41:47;588] ASKING THE CHINESE TO DO TO TRY
[000:41:50;758] TO MITIGATE THE THREAT OF NORTH
[000:41:52;860] KOREA.
[000:41:53;160] WE VERY MUCH OBVIOUSLY DEPEND ON
[000:41:54;728] THE CHINESE IN THIS SITUATION.
[000:41:56;463] PRESIDENT TRUMP TO HIS CREDIT
[000:41:58;065] HAS GOTTEN THE CHINESE
[000:42:02;803] GOVERNMENT TO STOP ALL CENTRAL
[000:42:03;604] BANK ACTIVITY WITH THE NORTH
[000:42:04;338] KOREANS.
[000:42:04;705] THAT'S A HUGE STEP.
[000:42:05;272] IT'S SOMETHING THAT COULD HAVE
[000:42:06;207] GREAT -- COULD BE CONSEQUENTIAL
[000:42:08;475] IF THEY ACTUALLY ENFORCE IT.
[000:42:11;445] BUT IT'S A REAL QUESTION ABOUT
[000:42:12;947] NOT ONLY TRUMP'S LEADERSHIP WHEN
[000:42:14;848] HE DOES SOMETHING LIKE THAT
[000:42:16;884] TWEET, BUT HOW LONG PEOPLE THAT
[000:42:19;587] WORK UNDERNEATH HIM AND REPORT
[000:42:21;255] TO HIM CAN ACTUALLY CONTINUE TO
[000:42:24;058] DO THEIR JOBS IF THEY'RE TREATED
[000:42:25;926] THAT WAY.
[000:42:26;327] THAT'S A VERY CRITICAL JOB.
[000:42:28;128] BEING SECRETARY OF STATE AND
[000:42:28;996] TRYING TO HANDLE THE NORTH KOREA
[000:42:30;397] CRISIS IS AT THE TOP OF THE
[000:42:35;202] LIST.
[000:42:35;502] >> Shepard: THERE'S A LOT ON THE
[000:42:36;270] PLATE TODAY.
[000:42:36;670] NOW THE PRESIDENT MAKING THE
[000:42:37;404] ROUNDS OUT IN LAS VEGAS AND
[000:42:38;138] SAYING WE'RE GOING TO DISCUSS
[000:42:40;541] GUN CONTROL AT A LATER DAY.
[000:42:41;709] THERE'S A LOT OF PEOPLE THAT
[000:42:43;677] SUGGESTED OVER TIME PRESIDENT
[000:42:45;312] TRUMP THAT USED TO BE MUCH MORE
[000:42:48;616] LIBERAL IN MANHATTAN WAS --
[000:42:50;417] MIGHT HAVE BEEN MORE FOR GUN
[000:42:51;619] CONTROL AT A TIME BEFORE HIS
[000:42:54;121] PRESIDENCY.
[000:42:54;521] I KNOW BECAUSE I READ THE MAIL
[000:42:55;889] AND STUFF THAT THERE'S A LOT OF
[000:42:59;727] CONSERVATIVES CONCERNED THAT HE
[000:43:00;995] MIGHT BECOME MORE PRO GUN
[000:43:01;929] CONTROL IN THE DAYS AHEAD.
[000:43:08;002] >> THE SUPPORTERS THAT PUT
[000:43:08;702] PRESIDENT TRUMP IN OFFICE ARE
[000:43:09;470] LITTLE CONCERNED THAT HE'S NOT
[000:43:10;638] GOTTEN OUT OF THE TRADE
[000:43:12;239] AGREEMENTS EXCEPT FOR THE TRANS
[000:43:13;607] PACIFIC PARTNERSHIP.
[000:43:14;708] HE'S PUT MORE TROOPS IN
[000:43:17;111] AFGHANISTAN.
[000:43:17;578] AND THAT HE WAS WILLING TO TALK
[000:43:20;481] ABOUT DOING AN AGREEMENT ON
[000:43:22;349] IMMIGRATION WITH THE DEMOCRATIC
[000:43:24;852] LEADERS IN CONGRESS.
[000:43:25;686] SO THERE'S A LOT OF CONCERN
[000:43:27;288] ABOUT HIS UNPREDICTABILITY AND
[000:43:29;990] WHETHER OR NOT HE IS MORE TO A
[000:43:31;959] SET OF IDEALOGICAL PRINCIPLES
[000:43:33;294] THAT HE WILL STICK TO AS
[000:43:35;329] PRESIDENT.
[000:43:35;696] HE'S ON THE RECORD IN THE PAST
[000:43:40;634] BEING SUPPORTING GUN CONTROL.
[000:43:41;669] HE'S A WILD CARD, SHEP.
[000:43:43;304] I DON'T THINK ANYBODY WILL
[000:43:44;138] HAPPEN WITH HIM.
[000:43:45;172] IF HE CREATES A BRIDGE,
[000:43:48;876] SOMETHING COULD HAPPEN.
[000:43:49;543] >> Shepard: WE'LL SEE.
[000:43:50;277] HE SAYS HE WILL DISCUSS IT IN
[000:43:51;945] THE DAYS AHEAD.
[000:43:53;447] AS THAT HAPPENS, WE'LL FOLLOW
[000:43:55;416] THE DEVELOPMENTS AS THEY COME.
[000:43:57;017] IN ONCE AGAIN, FOX TELEVISION
[000:43:59;286] STATIONS ACROSS THE NATION WILL
[000:44:00;554] JOIN US RIGHT NOW.
[000:44:01;789] GOOD AFTERNOON FROM FOX NEWS IN
[000:44:03;757] NEW YORK.
[000:44:04;892] I'M SHEPARD SMITH.
[000:44:06;226] THE PRESIDENT THIS AFTERNOON IS
[000:44:17;237] IN LAS VEGAS WHERE HE'S ABOUT TO
[000:44:18;038] MEET WITH FIRST RESPONDERS.
[000:44:18;706] THESE ARE POLICE CHIEFS, FIRE
[000:44:19;406] OFFICIALS AND OTHERS THAT WERE
[000:44:20;140] INSTRUMENTAL IN ENDING THE
[000:44:20;808] MASSACRE THAT HAPPENED OUTSIDE
[000:44:21;542] THE MANDALAY BAY AND LUXOR
[000:44:22;209] HOTELS ON THE STRIP DURING THE
[000:44:23;744] COUNTRY MUSIC FESTIVAL.
[000:44:25;979] 59 KILLED.
[000:44:27;081] A LOT OF QUESTIONS ABOUT DEATH
[000:44:28;549] TOLL.
[000:44:29;049] THE GUNMAN DIED, ACCORDING TO
[000:44:32;453] AUTHORITIES, KILLED HIMSELF.
[000:44:33;587] THERE'S 59 OTHERS THAT HAVE DIED
[000:44:36;824] AS ANOTHER DIED IN THE HOSPITAL.
[000:44:38;992] THAT BRINGS THE DEATH TOLL TO
[000:44:41;228] 59.
[000:44:45;432] MORE THAN 540 INJURED.
[000:44:46;133] THE PRESIDENT SPREADING THE LOVE
[000:44:46;900] OF THE PEOPLE AND THANKS FROM
[000:44:47;601] THE WHITE HOUSE AND FROM THE
[000:44:48;335] AMERICAN FEEL IN LAS VEGAS.
[000:44:49;103] ABOUT A MINUTE AGO, WE GOT A
[000:44:50;938] TWO-MINUTE WARNING ON THIS.
[000:44:52;639] OUR VIEWERS ON FOX NEWS CHANNEL
[000:44:54;641] HAVE BEEN LISTENING DELONG AS WE
[000:44:56;510] DISCUSS THE OTHER NEWS ITEMS OF
[000:44:58;512] THE DAY.
[000:44:59;546] THE PRESIDENT HAS BEEN CLEAR.
[000:45:00;848] WE'VE SEEN HIM AT THREE
[000:45:02;082] DIFFERENT APPEARANCES IN
[000:45:03;183] LAS VEGAS SINCE HE ARRIVED A FEW
[000:45:06;220] SHORT HOURS AGO.
[000:45:07;454] HE AND THE FIRST LADY ARE THERE.
[000:45:08;789] THE ORDER OF THE DAY HAS BEEN TO
[000:45:10;791] THANK PEOPLE TO ALLOW THEM TO
[000:45:12;526] TELL THEIR STORIES OF WHAT
[000:45:14;161] HAPPENED DURING THE MASSACRE.
[000:45:16;397] WE'VE TALKED ABOUT HOW ORDINARY
[000:45:18;432] PEOPLE STEP FORWARD AND BECOME
[000:45:20;200] EXTRAORDINARY INDIVIDUALS OR WE
[000:45:22;202] LEARNED OF THEIR EXTRAORDINARY
[000:45:23;971] FORTITUDE AS THEY HELPED PEOPLE
[000:45:25;406] OUT, STORIES OF PEOPLE PUTTING
[000:45:27;608] FOLKS IN THE BACK OF THEIR
[000:45:28;909] TRUCKS TO TAKE THEM TO
[000:45:31;078] HOSPITALS.
[000:45:31;745] PEOPLE PLUGGING WOUNDS, STOPPING
[000:45:33;180] BLOOD FROM FLOWING OUT OF
[000:45:34;748] PEOPLE'S BODIES.
[000:45:37;251] THERE'S NO TELLING SPECIFICALLY
[000:45:39;887] HOW MANY PEOPLE WERE SAVED AS A
[000:45:40;954] RESULT OF THE ACTIONS OF PEOPLE
[000:45:42;389] THAT WERE NOT DOCTORS.
[000:45:44;124] THEY WERE JUST PEOPLE THAT
[000:45:44;892] STEPPED IN TO TRY TO HELP AT A
[000:45:51;198] MOMENT'S NOTICE.
[000:45:51;698] JOHN ROBERTS IS THERE.
[000:45:52;299] HE'S THE CHIEF WHITE HOUSE
[000:45:53;233] CORRESPONDENT.
[000:45:53;734] JOHN, A LOT OF PEOPLE THAT NEED
[000:45:55;068] REST IN THAT CITY, ESPECIALLY
[000:45:56;537] THE ONES WE'VE BEEN LISTENING TO
[000:45:59;973] HAVE BEEN MIGHTY GLAD TO SEE THE
[000:46:02;743] PRESIDENT.
[000:46:03;110] >> IT'S NOT JUST THE PHYSICAL
[000:46:04;711] FATIGUE, EITHER.
[000:46:06;814] THE MENTAL FATIGUE AS WELL.
[000:46:10;517] LIVING EVERY DAY WITH WHAT
[000:46:12;186] HAPPENED SUNDAY NIGHT AND IT
[000:46:13;253] SPREADS ACROSS THE COUNTRY.
[000:46:14;755] THE MAJORITY OF PEOPLE WOULD
[000:46:16;457] HAVE BEEN VISITORS FROM OUT OF
[000:46:17;925] TOWN HERE FOR THE WEEKEND AND
[000:46:22;663] JUST WANTED TO ENJOY SOME
[000:46:23;397] COUNTRY MUSIC AND JASON ALDEAN
[000:46:25;399] PACKING IN A CROWD OF 22,000
[000:46:27;434] PEOPLE.
[000:46:27;935] YOU CAN IMAGINE WHAT WAS GOING
[000:46:29;269] ON IN THE CONCERT WHEN FROM THE
[000:46:32;272] 32nd FLOOR WINDOWS BEHIND ME,
[000:46:37;878] THIS GUY PADDOCK TOOK THE
[000:46:40;214] SEMIAUTOMATIC WEAPONS THAT WERE
[000:46:43;217] CONVERTED TO FEAR NEW HAMPSHIRE
[000:46:44;418] AUTOMATIC RATE OF FIRE AND START
[000:46:47;387] RAINING HELLFIRE DOWN UPON
[000:46:48;388] PEOPLE THERE JUST LISTENING TO
[000:46:49;723] MUSIC.
[000:46:50;023] SO MANY OF THEM RAN FOR THE EXIT
[000:46:51;892] AS YOU WOULD EXPECT AS MANY
[000:46:56;897] PEOPLE WOULD.
[000:46:57;364] MANY OF THEM FELL TO THE GROUND
[000:46:59;600] MORE TALLY WOUNDED OR SERIALLY
[000:47:04;705] WOUNDED.
[000:47:05;072] AND MANY DECIDED THEY WOULD
[000:47:08;375] STAND AND HELP PEOPLE.
[000:47:10;944] YOU CAN IMAGINE IN A STATE OF
[000:47:13;380] FEAR AND SHOCK THAT THEY WOULD
[000:47:15;249] DO THAT IS EXTRAORDINARY.
[000:47:18;385] THAT'S WHAT THE PRESIDENT WILL
[000:47:20;220] PAY TRIBUTE TOO.
[000:47:21;955] >> Shepard: WE'RE WATCHING THE
[000:47:22;756] CROWD MAKE ITS WAY IN THE ROOM.
[000:47:24;491] THE PRESIDENT HAS BEEN TOURING
[000:47:29;763] THE COMMAND FACILITY THERE.
[000:47:30;464] THIS IS A LAS VEGAS POLICE
[000:47:31;164] DEPARTMENT COMMAND FACILITY.
[000:47:32;599] IT'S MY UNDERSTANDING FROM THE
[000:47:34;101] INFORMATION FROM LAS VEGAS
[000:47:35;435] POLICE, AND THEY CALL THEM METRO
[000:47:36;870] THERE, THAT WHAT THEY'RE TALKING
[000:47:38;138] ABOUT, THIS IS THE PLACE WHERE
[000:47:39;206] THE CALLS WERE INCOMING.
[000:47:41;008] IMAGINE HOW MANY PEOPLE GOT ON
[000:47:42;643] THE PHONE CALLING THE POLICE
[000:47:43;777] DEPARTMENT.
[000:47:44;711] AND THEN THE POLICE DEPARTMENT
[000:47:46;680] ITSELF TRYING TO ORGANIZE ALL OF
[000:47:48;215] THE FIRST RESPONDERS COMING.
[000:47:50;083] AT ONE POINT WE HEARD ON POLICE
[000:47:53;620] RADIOS THEM TELLING PEOPLE TO
[000:47:56;957] GET OFF OF NORTH LAS VEGAS
[000:48:01;695] BOULEVARD BECAUSE THEY REALIZED
[000:48:02;496] WHERE THE SHOTS WERE COMING FROM
[000:48:03;297] IN THE NORTH TOWER OF MANDALAY
[000:48:05;132] BAY.
[000:48:05;432] BUT THE POLICE AT THE TIME SAID,
[000:48:06;567] YOU KNOW, DON'T USE THAT HIGHWAY
[000:48:09;536] BECAUSE YOU'RE IN SIGHT OF HIM.
[000:48:12;406] THEY WERE VERY CONCERNED THAT
[000:48:13;273] AUTHORITIES AND OTHERS ARRIVING
[000:48:14;841] TO HELP IN THIS SITUATION WOULD
[000:48:15;809] BECOME VICTIMS.
[000:48:17;177] WE KNOW A NUMBER OF LAW
[000:48:19;046] ENFORCEMENT OFFICERS THAT WERE
[000:48:20;314] OFF DUTY AND AT THAT CONCERT
[000:48:22;683] WERE INJURED IN ONE WAY OR
[000:48:25;852] ANOTHER.
[000:48:26;253] EIGHT I BELIEVE FROM THE STATE
[000:48:35;195] OF CALIFORNIA FROM DIFFERENT
[000:48:37;564] JURISDICTIONS.
[000:48:38;465] DIFFERENT POLICE DEPARTMENTS
[000:48:39;199] WITH DIFFERENT PEOPLE INJURED.
[000:48:40;167] THE AUTHORITIES TOLD US THIS
[000:48:41;768] MORNING THAT THEY'VE BEEN ABLE
[000:48:42;769] TO IDENTIFY ALL BUT THREE OF THE
[000:48:46;540] VICTIMS.
[000:48:47;274] SADLY THEY REPORTED TO US SOME
[000:48:48;675] OF THE VICTIMS WITH REALLY --
[000:48:54;548] WERE LEFT IN A POSITION TO
[000:48:56;116] IDENTIFY THEM.
[000:48:56;650] AUTHORITIES ARE WORKING ON
[000:48:58;218] IDENTIFYING THREE OF THEM WHO
[000:48:59;152] DIED ON THAT FATEFUL NIGHT.
[000:49:01;421] IN ADDITION, THE HOSPITAL
[000:49:06;326] WORKERS WERE CONGRATULATED BY
[000:49:07;060] THE PRESIDENT AND THANKED BY THE
[000:49:07;828] PRESIDENT ON BEHALF OF THE
[000:49:08;528] AMERICAN PEOPLE.
[000:49:09;429] THEY DISCUSS HOW THE HALLWAYS,
[000:49:11;164] THE TRAUMA CENTER AND THE OTHER
[000:49:13;734] HOSPITALS IN THE AREA WERE JUST
[000:49:16;503] LITERALLY OVERFLOWING WITH
[000:49:17;804] PEOPLE.
[000:49:18;138] MEDICAL -- SOME PEOPLE GETTING
[000:49:20;507] OUT OF THEIR HOSPITAL BEDS TO
[000:49:21;642] MAKE ROOM FOR OTHERS THAT WERE
[000:49:24;211] MORE GRAVELY WOUNDED.
[000:49:25;545] THE SAME IN AMBULANCES AS THEY
[000:49:27;814] WERE LOADING PEOPLE IN
[000:49:29;149] AMBULANCES TO TAKE THEM TO
[000:49:30;517] HOSPITALS FROM THE SHOOTING
[000:49:32;819] SCENE.
[000:49:33;120] WE GOT WORD OF I DON'T KNOW HOW
[000:49:42;362] MANY DOZENS OF PEOPLE THAT
[000:49:43;063] TRANSPORTED VICTIMS TO THE
[000:49:43;764] HOSPITALS IN VANS, TRUCKS.
[000:49:44;431] SOME PEOPLE INJURED THEMSELVES
[000:49:45;165] HELPING TO STOP THE BLEEDING OF
[000:49:45;966] OTHER PEOPLE.
[000:49:46;433] THE STORIES ARE ENDLESS OF MAN
[000:49:48;001] AND WOMAN HELPING MAN AND WOMAN.
[000:49:50;504] THERE WERE TEENAGERS INVOLVED
[000:49:52;239] THERE AS WELL.
[000:49:52;839] A MATT RUSH TO TRY TO GET OUT.
[000:49:56;176] DIFFERENT PEOPLE TELLING STORIES
[000:49:57;811] OF IF I DIDN'T KNOW TO CROUCH
[000:49:59;613] DOWN AND WAIT AND WAIT FOR
[000:50:01;048] INSTRUCTIONS OR BE RUNNING FOR
[000:50:03;050] THE EXITS WHERE THE HUGE CROWDS.
[000:50:04;685] THINK OF WHEN YOU EXIT A CONCERT
[000:50:12;192] VENUE HOW LONG YOU HAVE TO STAND
[000:50:12;993] AND WAIT FOR PEOPLE TO GET UP
[000:50:13;794] THE AISLES IN CASES LIKE THAT
[000:50:15;495] WHERE THERE'S AN ACTIVE SHOOTER
[000:50:17;130] SHOOTING DOWN FROM THE 32nd
[000:50:19;366] FLOOR.
[000:50:19;700] WELL, THEY WERE IN MANY CASES
[000:50:21;702] JUST DEFENSELESS AND OUT IN THE
[000:50:23;303] WIDE OPEN.
[000:50:24;104] CLAUDIA COWAN IS IN LAS VEGAS
[000:50:25;372] WITH THE STORY WITH SOME OF
[000:50:26;773] THESE VICTIMS.
[000:50:29;843] CLAUDIA?
[000:50:31;378] >> WELL, WITH SHEPARD, EVERY
[000:50:36;183] STORY OF A VICTIM IS A LIFE CUT
[000:50:38;752] SHORT.
[000:50:39;152] THERE WAS A MEMORIAL LAST NIGHT
[000:50:44;925] IN MARIN COUNTY, CALIFORNIA FOR
[000:50:45;726] 50-YEAR-OLD STACY ECHABAR.
[000:50:52;165] VINCENT PUT HIS WIFE IN A PLACE
[000:50:54;234] THAT HE THOUGHT WOULD BE SAFE
[000:50:56;737] FOR HER WHILE HE HELPED OTHER
[000:50:59;506] PEOPLE TO SCRAMBLE FOR SAFETY.
[000:51:01;475] ONLY TO LEARN LATER THAT SHE HAD
[000:51:04;344] DIED.
[000:51:04;644] I CAN TELL YOU A LAS VEGAS
