[000:00:01;685] APPRECIATE YOUR TIME.
[000:27:51;753] VEGAS, TESTAMENTS TO THE
[000:27:52;554] STRENGTH AND RESOLVE OF THIS
[000:27:53;288] COMMUNITY.
[000:27:56;257] WE SEE IT IN THE FACES HERE,
[000:27:57;325] AMID UNIMAGINABLE GRIEF, FINDING
[000:27:57;959] COMFORT IN ONE ANOTHER.
[000:28:01;463] IN THE SHADOW OF SUCH HORROR, A
[000:28:03;264] MESSAGE OF SOLIDARITY.
[000:28:03;998] OUR PRAYERS FOR THE VICTIMS.
[000:28:06;668] OUR GRATITUDE FOR THE FIRST
[000:28:07;235] RESPONDERS.
[000:28:08;737] ♪ I ONCE WAS LOST
[000:28:11;339] >> Reporter: WE SEE IT IN THE
[000:28:11;940] SMALL MOMENTS, TOO, HERE.
[000:28:13;441] THIS FAMILY PAUSING TO HUG A
[000:28:14;042] POLICE OFFICER.
[000:28:17;045] AND AT THE CANYON RIDGE
[000:28:18;113] CHRISTIAN CHURCH, THOUSANDS OF
[000:28:18;747] VOICES UNITING IN ONE POWERFUL
[000:28:20;715] CHORUS.
[000:28:22;283] ♪ NOW I SEE
[000:28:25;387] >> THANK YOU FOR WATCHING HERE
[000:28:26;020] ON A WEDNESDAY NIGHT.
[000:28:26;488] I'M DAVID MUIR.
[000:28:27;455] I HOPE TO SEE YOU TOMORROW.
[000:28:28;022] GOOD NIGHT.
[000:28:57;018] .
[000:28:57;152] >>> TONIGHT LIVE FROM LAS VEGAS
[000:28:58;420] WITH MORE STORES OF BAY AREA
[000:29:01;122] SURVIVORS AND THE MEMORIAL FOR
[000:29:02;557] PEOPLE WHO DIDN'T MAKE IT HOME
[000:29:04;993] ALIVE.
[000:29:05;293] >> BEING HERE JUST PROVES THAT
[000:29:07;962] YOU CAN'T LET SOMEONE JUST LIKE
[000:29:09;864] RUIN THINK FOR YOU.
[000:29:11;666] >> LAS VEGAS ON THE MINDS OF
[000:29:15;003] PEOPLE AT LEVI STADIUM
[000:29:21;876] >>> DRONE VIEW 7 SHOWS AN OLD
[000:29:28;450] SMOKESTACK.
[000:29:28;750] >> Announcer: LIVE WHERE YOU
[000:29:30;452] LIVE.
[000:29:30;819] THIS IS ABC 7 NEWS.
[000:29:34;155] >> WE KNOW THAT STEPHEN PADDOCK
[000:29:37;459] IS A MAN WHO SPENT DECADES OF
[000:29:39;928] ACQUIRING WEAPONS AND AMMO AND
[000:29:42;130] LIVING A SECRET LIFE, MUCH OF
[000:29:43;965] WHICH WILL NEVER BE FULLY
[000:29:46;701] UNDERSTOOD.
[000:29:47;001] >> DIGGING FOR THE WHY TO THE
[000:29:49;704] DEADLIEST SHOOTING IN AMERICAN
[000:29:51;172] ABOUT THE GUNMAN AND HIS LS
[000:29:55;043] GIRLFRIEND.
[000:29:55;343] AS WE ALSO HEAR MORE STORIES OF
[000:29:58;379] SURVIVORS FROM BAY AREA.
[000:29:59;914] GOOD EVENING I'M DAN ASHLEY.
[000:30:02;183] >> AND
[000:30:11;926] SHE'S.
[000:30:12;260] --
[000:30:12;727] >> ALONG WITH INFORMATION
[000:30:16;197] INVESTIGATORS BELIEVE THE GUNMAN
[000:30:17;465] HAD HELP AND ACTIVELY LOOKING
[000:30:19;667] FOR POSSIBLE ACCOMPLICES.
[000:30:21;436] >> STILL NO WORD ON WHAT
[000:30:23;171] MOTIVATED PADDOCK TO OPEN FIRE
[000:30:26;508] AT A COUNTRY MUSIC FESTIVAL
[000:30:28;643] SUNDAY NIGHT BUT FOR THE FIRST
[000:30:30;411] TIME WE'RE HEARING HIS
[000:30:31;746] GIRLFRIEND'S SIDE OF THE STORY.
[000:30:34;883] MARILOU DANLEY SPOKE TODAY.
[000:30:36;618] >> HER ATTORNEY SAYS SHE HAD NO
[000:30:39;053] IDEA HE WAS PLANNING AN ATTACK.
[000:30:41;856] HE THOUGHT HE WAS GOING TO BREAK
[000:30:43;525] UP WITH HER AFTER SENDING HER TO
[000:30:45;994] VISIT HER FAMILY AND SENT HER
[000:30:48;796] $100,000 TO BUY A HOUSE.
[000:30:50;398] >> PRESIDENT TRUMP VISITED WITH
[000:30:52;400] VICTIMS AND DOCTORS.
[000:30:55;370] >> THE MASS MURDER THAT TOOK
[000:30:58;540] PLACE ON SUNDAY FI
