[000:00:00;15] THOSE  
[000:26:14;02] FACT THAT YOU HAVE HAVE  
[000:26:16;06] FEDERAL AND STATE LAW  
[000:26:17;06] ENFORCEMENT AS WELL.  
[000:26:17;27] THIS IS A MASSIVE  
[000:26:19;13] INVESTIGATION.  
[000:26:20;00] AND THE LAST THING THE  
[000:26:20;21] WHITE HOUSE WANTS TO DO IS  
[000:26:21;22] INTERFERE WITH THAT THEY  
[000:26:22;14] WANT TO COORDINATE AS WELL  
[000:26:23;21] AS THEY CAN TO GET TO THE  
[000:26:24;27] BOTTOM OF THIS NUMBER ONE  
[000:26:26;00] AND, NUMBER TWO, GET PEOPLE  
[000:26:27;02] IN BOSTON AS MUCH RELIEF  
[000:26:28;13] AND HELP FEDERAL  
[000:26:29;13] ASSISTANCE AS THEY CAN  
[000:26:31;11] SHEP.  
[000:26:31;24] >> Shepard: ED HENRY AT THE  
[000:26:32;18] WHITE HOUSE.  
[000:26:33;04] ED, WE'LL COME BACK TO YOU  
[000:26:35;01] AS UPDATES WARRANT  
[000:26:35;22] THROUGHOUT THE NIGHT.  
[000:26:36;13] WE NOW KNOW MEMBERS OF THE  
[000:26:37;29] MILITARY ARE NOW INVOLVED  
[000:26:39;08] IN THIS INVESTIGATION.  
[000:26:40;18] THIS IS BREAKING NOW.  
[000:26:41;17] JONATHAN HUNT WITH THIS  
[000:26:42;14] INFORMATION FROM THE  
[000:26:43;04] NEWSROOM.  
[000:26:43;19] >> THE NAVY SENDING ONE OF  
[000:26:44;25] ITS BOMB DISPOSAL UNITS TO  
[000:26:46;17] ASSIST LOCAL AUTHORITIES IN  
[000:26:47;23] BOSTON.  
[000:26:49;07] IT'S EXPROPOSAL ORDINANCE  
[000:26:52;16] GOBLE TEAM NEWPORT RHODE  
[000:26:54;17] ISLAND.  
[000:26:55;01] THEY ARE ON THEIR WAY.  
[000:26:56;06] WHAT WE ARE HEARING FROM  
[000:26:58;26] BOSTON THEY WANT TO NOW GO  
[000:27:01;05] THE ENTIRE LENGTH OF THE  
[000:27:02;23] MARATHON ROUTE 26.2 MILES  
[000:27:04;29] TO CHECK OUT EVERY SINGLE  
[000:27:08;28] PACKAGE THAT HAS BEEN LEFT  
[000:27:09;27] ON THE SECRETS AROUND  
[000:27:11;01] BOSTON.  
[000:27:11;15] WE HAVE ALREADY BEEN TOLD  
[000:27:12;28] THAT THEY MAY HAVE FOUND  
[000:27:14;28] SEVERAL UNEXPLODED DEVICES  
[000:27:17;05] A COUPLE OF THOSE, ONE  
[000:27:18;23] REPORT SAYS THREE  
[000:27:20;16] UNEXPLODED DEVICES HAVE  
[000:27:21;11] BEEN FOUND.  
[000:27:22;09] NOW, IF THAT IS TRUE  
[000:27:23;24] OBVIOUSLY, THAT WILL BE A  
[000:27:25;03] TREASURE TROVE OF  
[000:27:26;27] INFORMATION FOR  
[000:27:28;16] INVESTIGATORS.  
[000:27:29;03] BUT THERE ARE GOING TO BE  
[000:27:29;26] SO MANY REPORTS OF SO MANY  
[000:27:32;13] SUSPICIOUS DEVICES IN THE  
[000:27:33;20] HOURS AND PERHAPS DAYS TO  
[000:27:35;22] COME THAT THE LOCAL  
[000:27:36;29] AUTHORITIES NEED ALL THE  
[000:27:37;23] HELP THEY CAN GET SO THE  
[000:27:39;12] U.S. NAVY AS I SAY NOW  
[000:27:40;26] SENDING A BOMB DISPOSAL  
[000:27:42;15] UNIT TO BOSTON TO HELP  
[000:27:43;28] LOCAL AUTHORITIES THERE.  
[000:27:46;06] SHEP?  
[000:27:46;19] >> Shepard: JONATHAN, THE  
[000:27:47;12] OFFICIAL NUMBERS ARE AT THE  
[000:27:48;17] BOTTOM OF THE SCREEN AND  
[000:27:49;17] HAVE BEEN THROUGHOUT THE  
[000:27:52;13] AFTERNOON AND EVENING.  
[000:27:54;21] THOUGH THE FINE NEWS  
[000:27:56;01] ORGANIZATION IN BOSTON AND  
[000:27:56;29] ASSOCIATED PRESS ARE WELL  
[000:27:58;02] AHEAD OF THIS.  
[000:27:58;19] THE A.P. HAS 100.  
[000:28:00;29] BOSTON.COM OR THE BOSTON  
[000:28:02;17] HERALD -- I MEAN THE  
[000:28:03;19] "BOSTON GLOBE," I'M SORRY  
[000:28:05;28] IS AT 115 WITH TWO DEAD.  
[000:28:07;19] I'M NOT SURE WE'RE POSITIVE  
[000:28:09;26] YET OF EXACTLY HOW MANY  
[000:28:11;18] INJURED AND OTHERWISE WE  
[000:28:13;26] HAVE.  
[000:28:14;09] BUT I'M NOT SURE IT'S  
[000:28:15;26] COMPLETELY RELEVANT AT THE  
[000:28:16;21] MOMENT ANYWAY.  
[000:28:17;13] >> NO.  
[000:28:18;02] IT SEEMS TO BE WE ARE IN  
[000:28:19;11] THE REGION OF 100 INJURED  
[000:28:21;07] IN THIS.  
[000:28:21;26] I THINK THAT'S PROBABLY THE  
[000:28:23;14] SAFEST WAY TO PUT IT RIGHT  
[000:28:25;16] NOW, SHEP.  
[000:28:26;23] ONCE YOU GET TO THE LOWER  
[000:28:28;21] END OF INJURIES, NOT EVERY  
[000:28:30;28] ONE ACCOUNTED BY SOME  
[000:28:33;07] ORGANIZATION.  
[000:28:33;24] THAT'S WHY YOU MIGHT GET  
[000:28:34;26] SOME DISCREPANCY 98 AND  
[000:28:36;19] SEEING UP TO 115,000.  
[000:28:38;15] IN TERMS OF THE DEAD, WE  
[000:28:39;09] HAVE TWO CONFIRMED AND THE  
[000:28:42;02] TERRIBLE, TERRIBLE NEWS  
[000:28:43;11] TONIGHT THAT WE ARE GETTING  
[000:28:44;14] IS THAT ONE OF THOSE  
[000:28:46;20] CONFIRMED DEAD IS AN  
[000:28:48;14] 8-YEAR-OLD BOY SHEP.  
[000:28:49;22] WE HAVE ALSO HEARD THAT THE  
[000:28:52;27] YOUNGEST VICTIM INJURED IN  
[000:28:53;27] THIS WAS A 3-YEAR-OLD.  
[000:28:55;12] JUST KIDS WHO AS I WAS  
[000:28:57;13] SAYING EARLIER WERE TAKEN  
[000:28:58;18] BY THEIR PARENTS TO SEE  
[000:28:59;22] WHAT WAS SUPPOSED TO BE A  
[000:29:01;20] JOYFUL SPORTING EVENT ON A  
[000:29:03;24] HOLIDAY IN BOSTON.  
[000:29:05;02] A BEAUTIFUL DAY IN BOSTON  
[000:29:06;25] AND THIS AS YOU SEE THERE  
[000:29:07;24] WAS THE TRAGIC SCENE THAT  
[000:29:09;04] WE ENDED UP WITH.  
[000:29:10;25] CHILDREN ABOUT HALF A DOZEN  
[000:29:12;06] WE ARE HEARING AT THE  
[000:29:13;20] MOMENT AMONGS INJURED AS I  
[000:29:17;19] SAY ONE 8-YEAR-OLD BOY  
[000:29:19;14] CONFIRMED DEAD TONIGHT  
[000:29:21;04] SHEP.  
[000:29:21;18] >> Shepard: JONATHAN, THANK  
[000:29:22;12] YOU.  
[000:29:22;24] WE WILL BE BACK TO YOU  
[000:29:23;15] SHORTLY.  
[000:29:23;29] TO CLEAR UP SOME OF WHAT  
[000:29:26;08] HAPPENED TODAY AND GIVE YOU  
[000:29:27;24] COMPLEX.  
[000:29:28;08] THESE HAPPENED A FEW  
[000:29:28;28] SECONDS APART AND THEN A  
[000:29:29;27] LITTLE MORE THAN 1 HOUR AND  
[000:29:31;22] 20 MINUTES LATER THERE WAS  
[000:29:33;12] THIS FIRE AND SOMETHING  
[000:29:34;04] THAT WENT BOOM AT THE JFK  
[000:29:35;25] LIBRARY IN THE DOOR CHESTER  
[000:29:37;18] SECTION.  
[000:29:38;02] WE HAVE MORE CLARITY ON  
[000:29:38;24] THAT NOW.  
[000:29:39;09] WE HAVE MORE SPECIFICS.  
[000:29:40;29] FIRST OF ALL EVERYBODY WAS  
[000:29:42;05] FINE THERE.  
[000:29:43;02] THE FIRE STARTED ACTUALLY  
[000:29:45;03] JUST AFTER 3:00 P.M.  
[000:29:46;27] SO JUST MINUTES LATER  
[000:29:49;04] FRANKLY.  
[000:29:49;18] IN THE VICINITY OF H HAVE  
[000:29:54;00] BUILDING OPENED IN 2011  
[000:29:56;03] THAT HOUSES OFFICES IN THE  
[000:29:57;14] CLASSROOM AND THE REST.  
[000:29:58;20] THERE WAS A FIRE.  
[000:30:00;16] PEOPLE THERE SOUNDED LIKE  
[000:30:01;15] AN EXPLOSION SO WE REPORTED  
[000:30:02;26] THIS AS AN EVENT AND NOT  
[000:30:06;20] KNOWING WHETHER WE COULD  
[000:30:07;14] TIE THE TWO TOGETHER.  
[000:30:11;00] AUTHORITIES INITIALLY CAME  
[000:30:11;23] OUT AND SAID NO DEFINITELY  
[000:30:12;26] NOT TIE TIED TOGETHER BUT  
[000:30:15;23] NOW THEY ARE INVESTIGATING  
[000:30:17;06] THAT FOR NOW THIS IS AN  
[000:30:18;18] ISOLATED EVENT.  
[000:30:19;21] IT'S HALF PAST 7:00 IN  
[000:30:21;12] BOSTON.  
[000:30:21;26] I'M SHEPARD SMITH.  
[000:30:22;26] THIS IS FOX NEWS CONTINUING  
[000:30:23;27] COVERAGE OF THE ATTACK ON  
[000:30:26;04] BEAN TOWN.  
[000:30:27;29] WE ARE STILL AWAITING THE  
[000:30:29;01] NEWS CONFERENCE FROM  
[000:30:30;16] OFFICIALS THERE WITH AN  
[000:30:31;20] UPDATE ON THE INVESTIGATION  
[000:30:32;14] OF THE AFTERMATH OF TODAY'S  
[000:30:33;24] TWIN EXPLOSION.  
[000:30:34;25] THAT NEWS CONFERENCE WAS  
[000:30:35;28] SCHEDULED TO BEGIN A HALF  
[000:30:36;28] HOUR AGO.  
[000:30:37;24] OFFICIALS HAVE POSTPONED  
[000:30:39;13] IT.  
[000:30:39;25] WE ARE EXPECTING IT WILL  
[000:30:41;05] COME FROM ANY TIME OF  
[000:30:43;04] COURSE WE HAVE LIVE  
[000:30:44;23] COVERAGE.  
[000:30:45;08] TWO PEOPLE CONFIRMED DEAD  
[000:30:46;16] AND REPORTS ON THE NUMBER  
[000:30:48;13] ISSUED CONTINUE.  
[000:30:50;07] SOMEWHERE AROUND 100 PEOPLE  
[000:30:51;01] AFTER TWO EXPLOSIONS AT THE  
[000:30:52;20] FINISH LINE OF THE BOSTON  
[000:30:54;02] MARATHON.  
[000:30:54;17] THE WHITE HOUSE, OF COURSE  
[000:30:55;11] HAS CALLED THIS AN ACT OF  
[000:30:56;18] TERROR.  
[000:30:57;02] A SENIOR OFFICIAL SAYS WE  
[000:30:58;11] STILL DO NOT KNOW WHETHER  
[000:30:59;29] THOSE RESPONSIBLE ARE  
[000:31:01;14] FOREIGNERS OR FROM HERE IN  
[000:31:02;09] THE UNITED STATES.  
[000:31:03;01] WHETHER THEY ARE MEMBERS OF  
[000:31:03;27] THE TERRORIST ORGANIZATION  
[000:31:04;24] OR LONE WOLVES.  
[000:31:05;22] THEY FRANKLY AT THIS MOMENT  
[000:31:06;27] DO NOT KNOW WITH ANY  
[000:31:09;05] CERTAINTY.  
[000:31:09;20] MOLLY LINE, OUR NEW ENGLAND  
[000:31:11;06] BASED, BOSTON BASED  
[000:31:12;07] CORRESPONDENT AT THE SCENE  
[000:31:13;00] OF THE CRIME NOW.  
[000:31:14;11] MOLLY, WHAT ARE YOU SEEING  
[000:31:15;25] THERE?  
[000:31:16;08] >> SHEP, WE'RE IN COLUMBUS  
[000:31:17;27] AVENUE.  
[000:31:18;11] THIS IS A MAJOR THOROUGH  
[000:31:19;09] FARE HERE IN BOSTON HERE IN  
[000:31:20;11] THE CITY.  
[000:31:21;07] YOU CAN SEE AMBULANCES LINE  
[000:31:22;15] UP ALL THE WAY DOWN THIS  
[000:31:23;25] STREET.  
[000:31:24;09] WE ARE REALLY JUST AROUND  
[000:31:25;02] THE CORNER FROM WHERE THESE  
[000:31:28;00] EXPLOSIONS OCCURRED ON  
[000:31:29;27] BOYLSTON STREET THAT WHAT  
[000:31:31;05] SHOULD HAVE BEEN A JOYFUL  
[000:31:34;24] END.  
[000:31:35;06] THE ELITE RUNNERS HAD  
[000:31:37;05] FINISHED WITH THEIR RUN AND  
[000:31:38;22] THESE WERE REALLY THE  
[000:31:39;28] CHARITY RUNNERS THE FAMILY  
[000:31:41;11] MEMBERS, STILL TREMENDOUS  
[000:31:42;04] AMOUNT OF RUNNERS HAD YET  
[000:31:43;14] TO CROSS THE FINISH LINE  
[000:31:44;18] WHEN THESE EXPLOSIONS  
[000:31:46;06] OCCURRED SOME 5,000 BEAM  
[000:31:47;11] YET TO FINISH THE RACE.  
[000:31:48;26] THE FINISH LINE WAS REALLY  
[000:31:50;05] PACKED WITH FAMILY MEMBERS  
[000:31:51;16] KIDS, PEOPLE WAITING FOR  
[000:31:53;13] THEIR LOVED ONES TO CROSS  
[000:31:55;20] THE FINISH LINE.  
[000:31:57;22] OVER 100 PEOPLE INJURED AT  
[000:31:59;03] LEAST TWO SERIOUSLY.  
[000:32:01;09] TWO PEOPLE KILLED.  
[000:32:02;03] SOME OF THE INJURIES BEING  
[000:32:03;16] REPORTED BY LOCAL HOSPITALS  
[000:32:05;12] INCLUDE AMPUTATIONS OF ARMS  
[000:32:07;20] AND LEGS AND LIMBS.  
[000:32:10;05] SHRAPNEL WOUNDS.  
[000:32:10;25] A LOFTD WOUNDS TO EARDRUMS.  
[000:32:12;17] PEOPLE COMPLAINING ABOUT  
[000:32:13;22] BEING UNABLE HEAR AFTER  
[000:32:15;11] THIS INCIDENT.  
[000:32:16;06] PRETTY SIGNIFICANT INJURY  
[000:32:18;18] HERE IN THE STREETS OF  
[000:32:19;14] BOSTON TODAY FROM THIS  
[000:32:20;17] EVENT.  
[000:32:21;00] AND THE HOSPITALS IN THE  
[000:32:21;25] AREA ARE STILL TRYING TO  
[000:32:23;02] WRAP THEIR ARMS AROUND THIS  
[000:32:24;05] AND WE ARE GETTING  
[000:32:24;29] DIFFERENT NUMBERS FROM  
[000:32:25;22] DIFFERENT HOSPITALS AS TO  
[000:32:27;00] JUST HOW SERIOUS THE  
[000:32:28;03] INJURIES ARE.  
[000:32:28;26] YET TO HEAR ANYMORE AS FAR  
[000:32:30;17] AS FATALITIES ARE  
[000:32:32;17] CONCERNED.  
[000:32:33;02] WE'RE STILL WAITING ON THAT  
[000:32:34;04] THROUGHOUT THE DAY AS WE  
[000:32:35;06] EXPECT A LOT OF PEOPLE WILL  
[000:32:36;11] BE IN SURGERY AS WE ARE  
[000:32:38;02] WAITING TO HEAR MORE ABOUT  
[000:32:39;01] THEIR INJURIES.  
[000:32:40;11] WE'RE STILL WAITING ON  
[000:32:41;19] YACHT DATE FROM  
[000:32:42;21] INVESTIGATION AS TO MORE  
[000:32:44;19] INFORMATION.  
[000:32:45;05] THINGS ARE STILL LOCKED  
[000:32:45;29] DOWN HERE.  
[000:32:46;24] BLOCKS IN ALL DIRECTION  
[000:32:48;16] AROUND THIS SCENE.  
[000:32:49;08] THAT'S WHERE IT IS EXPECTED  
[000:32:50;09] TO STAY.  
[000:32:51;08] THE STREETS ARE EXPECTED TO  
[000:32:52;02] BE COMPLETELY BLOCKED OFF.  
[000:32:53;14] IT'S QUIETED DOWN  
[000:32:55;00] CONSIDERABLY.  
[000:32:55;17] WE ARE STILL SEEING PEOPLE,  
[000:32:56;23] MARATHON RUNNERS IN THE  
[000:32:57;20] AREA, JUST A FEW.  
[000:32:58;26] THE BOSTON COMMON WHICH IS  
[000:32:59;27] VERY CLOSE ALSO TO WHERE  
[000:33:01;03] THE RACE ENDS HERE IN  
[000:33:03;08] BOSTON.  
[000:33:03;22] IT'S BEING USED AS STAGING  
[000:33:05;05] GROUND.  
[000:33:05;19] TREMENDOUS AMOUNT OF  
[000:33:06;10] MILITARY PERSONNEL STAGED  
[000:33:08;03] OVER THERE.  
[000:33:08;23] AND REALLY THE STREETS ARE  
[000:33:09;29] JUST BEGINNING TO CLEAR.  
[000:33:10;29] PEOPLE ARE BEGINNING TO  
[000:33:11;26] HEAD FOR THE AIRPORT AND  
[000:33:14;04] WORKING ON GETTING HOME TO  
[000:33:15;06] THEIR VARIOUS RESIDENCES.  
[000:33:16;24] HOTELS IN THE AREA REMAIN  
[000:33:18;05] LOCKED COUNSEL AND THE  
[000:33:19;03] PEOPLE HERE IN BOSTON, THE  
[000:33:20;12] AUTHORITIES, THE MAYOR AND  
[000:33:21;19] GOVERNOR ASKING PEOPLE TO  
[000:33:22;21] STAY INSIDE TONIGHT.  
[000:33:23;28] TO ESSENTIALLY STAY OFF THE  
[000:33:26;00] STREETS.  
[000:33:26;14] THIS IS BEING LOOKED AT AS  
[000:33:28;00] AN ONGOING EVENT AND  
[000:33:29;16] AUTHORITIES WANT TO ENSURE  
[000:33:30;25] THAT EVERYONE IS SAFE AND  
[000:33:33;00] THEY DON'T WANT ANYBODY OUT  
[000:33:34;12] ON THE STREETS IF THERE  
[000:33:36;15] CONTINUES TO BE GLARNG.  
[000:33:38;21] >> Shepard: GOING THROUGH  
[000:33:39;22] VIDEO FROM SURVEILLANCE  
[000:33:41;02] CAMERAS TRYING TO FIND  
[000:33:43;17] CLUES ANYBODY THEY CAN SEE  
[000:33:45;07] ON THOSE VIDEO HE VIDEOS  
[000:33:48;09] NEEDS TO BE TALKED TO.  
[000:33:49;15] HAVE THEY SECRETARY OF  
[000:33:50;24] DEFENSE ANYTHING BEBB?  
[000:33:51;28] R. THAT?  
[000:33:52;13] >> THEY SAID THERE ARE  
[000:33:53;15] POLICE OFFICERS HEADED TO  
[000:33:54;09] ALL VARIOUS HOSPITALS ALL  
[000:33:55;26] ACROSS THE CITY OF BOSTON.  
[000:33:56;28] NOT JUST FOR SAFETY SAKE  
[000:33:58;02] BECAUSE THEY WANT TO ENSURE  
[000:33:59;12] THAT ALL OF THE VICTIMS ARE  
[000:34:00;07] SAFE, BUT THEY WANT TO TALK  
[000:34:01;05] TO PEOPLE THAT WERE  
[000:34:02;19] WITNESSES.  
[000:34:03;04] PEOPLE THAT WERE RIGHT  
[000:34:03;25] THERE WHEN THIS OCCURRED TO  
[000:34:04;24] SEE WHAT THEY SAW AND TO  
[000:34:07;08] TRY TO GATHERING  
[000:34:08;22] INFORMATION.  
[000:34:09;09] WHILE MANY TRAUMATIC EVENT  
[000:34:10;19] MANY PEOPLE SERIOUSLY  
[000:34:11;26] INJURED BUT ASK WHAT  
[000:34:13;04] WITNESSES SAW.  
[000:34:13;21] SO THERE ARE INVESTIGATORS  
[000:34:14;26] OUT AT ALL THESE VARIOUS  
[000:34:16;13] HOSPITALS TRYING TO GLEAN  
[000:34:18;06] INFORMATION FROM FOLKS WHAT  
[000:34:19;15] THEY CAN.  
[000:34:20;20] UNDERSTAND WHETHERABLY A LOT OF  
[000:34:23;13] PEOPLE IN SHOCK RIGHT NOW.  
[000:34:25;11] >> Shepard: MOLLY LINE, OUR  
[000:34:26;13] BOSTON CORRESPONDENT LIVE  
[000:34:27;06] FROM BOSTON.  
[000:34:27;24] WE HAVE BEEN SEEING VIDEO  
[000:34:30;08] OF THE EXPLOSION GIVING US  
[000:34:31;18] TIME LINE HOW THIS WENT  
[000:34:32;25] DOWN.  
[000:34:33;08] FIRST YOU WILL SEE THE  
[000:34:33;29] FIRST EXPLOSION RIGHT BY  
[000:34:34;24] THE GRANDSTANDS AT THE  
[000:34:35;27] FINISH LINE AND THE BLAST  
[000:34:36;29] KNOCKING PEOPLE ASIDE AND  
[000:34:38;00] BLOWING THE FLAGS AND THERE  
[000:34:39;16] IT IS FROM ANOTHER ANGLE.  
[000:34:41;17] AND THEN 12 TO 14 SECONDS  
[000:34:43;28] LATER, YOU'LL BE ABLE TO  
[000:34:44;27] SEE THE SMOKE IN THE  
[000:34:46;19] DISTANCE.  
[000:34:47;04] OFFICIALS SAY THAT THIS IS  
[000:34:48;02] BETWEEN THE TWO BLASTS WAS  
[000:34:49;28] ABOUT THE LENGTH OF A  
[000:34:50;27] FOOTBALL FIELD.  
[000:34:51;24] WE'RE ALSO GETTING THE  
[000:34:54;15] DISPATCH RECORDINGS FROM  
[000:34:55;26] THE SCENE.  
[000:34:56;17] THE POLICE DISPATCH AS THE  
[000:34:59;24] FIRST DESCRIBE THE HORROR.  
[000:35:03;06] >> UNITS STAY OFF THE AIR.  
[000:35:04;29] JUST MAKE YOUR WAY OVER  
[000:35:06;09] THERE ALL UNITS STAY OFF  
[000:35:07;19] THE AIR AND MAKE YOUR WAY  
[000:35:08;27] OVER THERE.  
[000:35:09;14] >> OKAY.  
[000:35:10;15] COPY THAT.  
[000:35:13;16] >> I ONLY WANT TO HEAR FROM  
[000:35:15;23] THE 984.  
[000:35:16;13] I ONLY WANT TO HEAR FROM.  
[000:35:19;06] [MULTIPLE PEOPLE TALKING.  
[000:35:20;00] >> THIS IS WHAT I NEED.  
[000:35:21;22] I WANT ALL ROADS CLEARED IN  
[000:35:23;27] OR OUT.  
[000:35:26;26] OKAY?  
[000:35:27;09] I WANT THAT ROAD --  
[000:35:33;07] >> OKAY.  
[000:35:34;01] MULTIPLE PEOPLE DOWN HERE,  
[000:35:35;17] OKAY?  
[000:35:36;00] I DON'T KNOW WHAT THE CAUSE  
[000:35:36;29] IS.  
[000:35:37;11] STAND BY.  
[000:35:39;09] >> HAVE THE BOMB SQUAD CALL  
[000:35:41;02] ME IMMEDIATELY 5449,  
[000:35:43;19] IMMEDIATELY.  
[000:35:44;14] >> BOMB SQUAD MONITORING.  
[000:35:49;07] >> WE HAVE UNATTENDED  
[000:35:52;05] BACKPACK AT BOYLSTON AND WE  
[000:35:54;07] NEED TO SET UP A PERIMETER  
[000:35:55;15] TO GET PEOPLE AWAY FROM IT.  
[000:35:57;04] >> WE ARE GOING TO GET THE  
[000:35:58;06] VICTIMS OUT.  
[000:35:58;25] WE WILL CONDUCT A SWEEP  
[000:36:00;25] WITH MAKE SURE THERE ARE NO  
[000:36:02;03] OTHER DEVICES ON THE  
[000:36:03;18] STREET.  
[000:36:04;02] WE WILL GET PEOPLE OUT OF  
[000:36:04;25] THE RESTAURANTS AND BARS.  
[000:36:06;19] >> Shepard: THAT IS HOW IT  
[000:36:07;16] ALL WENT DOWN WITH THE  
[000:36:09;05] FINAL WORD OF EXACTLY HOW  
[000:36:10;18] THINGS WERE GOING TO  
[000:36:11;26] PROCEED.  
[000:36:12;10] HANG WITH ME.  
[000:36:12;29] THOSE RECORDINGS WERE FROM  
[000:36:14;23] POLICE DISPATCH CHANNELS  
[000:36:15;15] AND WHEN IT FIRST BECAME  
[000:36:17;10] CLEAR THAT RESPONDERS WERE  
[000:36:18;15] DEALING WITH AN ACT OF  
[000:36:21;01] TERROR.  
[000:36:21;15] THEY HAD BEEN THROUGH  
[000:36:23;03] NUMEROUS DRILLS TO THEY  
[000:36:24;06] TELL US TO PREPARE FOR THIS  
[000:36:25;05] SORT OF THING.  
[000:36:25;27] SO FOR THOSE FIRST  
[000:36:27;24] RESPONDERS AND THE REST,  
[000:36:28;20] THIS WAS PART OF A ROUTINE  
[000:36:29;27] THAT HAS COME THROUGH THE  
[000:36:31;24] DRILLS.  
[000:36:32;08] WE SPOKE WITH PEOPLE AT  
[000:36:33;04] HOSPITALS TODAY WITH  
[000:36:34;06] DOCTORS AND ADMINISTRATORS  
[000:36:34;29] AT HOSPITALS AS SOME OF THE  
[000:36:38;21] FINEST HOSPITALS IN THE  
[000:36:39;18] NATION OBVIOUSLY BEGAN TO  
[000:36:41;00] TAKE THE INJURED.  
[000:36:42;28] DOCTORS SPOKE WITH US LIVE  
[000:36:44;01] THIS AFTERNOON ON  
[000:36:45;20] TELEVISION EXPLAINING WE  
[000:36:46;12] KNEW WHAT WOULD GO DOWN.  
[000:36:47;16] WE EXPECTED THESE SORTS OF  
[000:36:48;25] THINGS.  
[000:36:49;09] WE WERE READY FOR THIS.  
[000:36:50;11] IN FACT, AT MASS GENERAL.  
[000:36:54;09] BOSTON'S MASS GENERAL  
[000:36:56;06] HOSPITAL THEY SAID THEY  
[000:36:57;03] WERE READY FOR MORE WOUNDED  
[000:36:58;15] THAT THE OPERATING ROOMS  
[000:36:59;08] WERE KEPT OPEN THAT THIS  
[000:37:01;18] WENT ACCORDING TO PLAN FROM  
[000:37:02;17] THE TERROR DRILLS THAT HAD  
[000:37:04;26] TAKEN PLACE IN THE WAKE OF  
[000:37:06;15] THE ATTACKS ON OUR COUNTRY  
[000:37:07;24] AND OTHERWISE.  
[000:37:08;12] FOR THE BOSTON MARATHON  
[000:37:11;14] THEY HAD PREPARED WELL WITH  
[000:37:12;08] THE HOSPITALS AND EMERGENCY  
[000:37:14;02] MANAGERS.  
[000:37:14;17] THEY GOT PEOPLE TO THOSE  
[000:37:15;19] HOSPITALS WHICH WE HOPE  
[000:37:16;11] WILL RESULT IN VERY FEW  
[000:37:18;01] NUMBERS OF LOSS OF LIFE.  
[000:37:19;13] OF COURSE, IF IT'S SOMEONE  
[000:37:20;21] YOU KNOW, THE NUMBER IS  
[000:37:22;14] ALREADY WAY TOO HIGH.  
[000:37:23;15] OF COURSE, THE DEADLY  
[000:37:25;00] TERROR ATTACK THERE IN  
[000:37:25;28] BOSTON IS RAISING CONCERNS  
[000:37:27;02] ABOUT SECURITY ACROSS THE  
[000:37:28;18] NATION.  
[000:37:29;02] AND LOCAL AUTHORITIES ARE  
[000:37:29;25] PREPARING AND HAVE ALREADY  
[000:37:32;03] BEGUN TO RAISE SECURITY.  
[000:37:34;24] WILY IS A FORMER DIRECTOR  
[000:37:36;14] FOR THE NATIONAL THREATS ON  
[000:37:38;05] THE NATIONAL SECURITY  
[000:37:41;03] COUNCIL AT THE WHITE HOUSE.  
[000:37:42;11] HE IS THE PRESIDENT UNDER  
[000:37:43;21] PRESIDENT CLINTON AND  
[000:37:44;21] GEORGE W. BUSH AND HE IS  
[000:37:45;28] WITH US NOW ON THE PHONE.  
[000:37:47;09] LEE, FOLKS LIKE YOU ARE  
[000:37:48;22] BUSY RIGHT NOW.  
[000:37:49;18] >> YES, GOOD EVENING SHEP.  
[000:37:51;23] >> Shepard: WHERE ARE WE IN  
[000:37:52;17] THE PROCESS?  
[000:37:53;28] >> WELL, OBVIOUSLY THE  
[000:37:55;10] FIRST STEP IS TO CARE FOR  
[000:37:56;22] THE INJURED AND TO CARE FOR  
[000:37:57;27] THEIR FAMILIES OF THE  
[000:38:01;05] CASUALTY TODAY.  
[000:38:01;23] AND THE SECOND STEP IS TO  
[000:38:03;13] TURN TOWARDS THE  
[000:38:04;05] INVESTIGATION AND FIGURE  
[000:38:04;27] OUT WHO IS RESPONSIBLE.  
[000:38:07;07] >> Shepard: IT'S MY  
[000:38:09;14] STANDING FROM SECURITY  
[000:38:10;11] TYPES THAT THERE ARE  
[000:38:11;19] SIGNATURES THAT THEY WILL  
[000:38:12;12] KNOW QUICKLY IF THEY DON'T  
[000:38:14;04] ALREADY WHETHER THIS IS  
[000:38:14;28] SOME ORGANIZED GROUP WHO  
[000:38:16;12] DOES THIS FOR A LIVING OR  
[000:38:18;00] SOMETHING HIS.  
[000:38:19;04] >> RIGHT.  
[000:38:19;19] I MEAN, I THINK HA THERE IS  
[000:38:21;21] SOME INDICATIONS THAT THERE  
[000:38:22;17] IS PROBABLY MORE THAN ONE I  
[000:38:24;27] HAD INDIVIDUAL BECAUSE OF  
[000:38:27;11] MULTIPLICITY OF GUYS THE  
[000:38:28;06] FACT THAT THEY HAD TO BE  
[000:38:29;25] PLACED AT DIFFERENT  
[000:38:31;06] LOCATIONS THAT REQUIRED  
[000:38:32;09] SOME COORDINATION.  
[000:38:33;02] WHO ARE THEY?  
[000:38:33;21] ARE THEY PURELY DOMESTIC?  
[000:38:35;26] ARE THEY DOE MESS STWIK  
[000:38:38;13] INTERNATIONAL COMPONENT?  
[000:38:46;01] OR IS IT SOMETHING ELSE?  
[000:38:48;00] ORGANIZED INTERNATIONAL  
[000:38:49;11] ATTACK?  
[000:38:49;25] I THINK THE CHANCES OF THAT  
