[000:00:00;834] THANK YOU, TAMMIE.
[000:27:38;256] BIRTHDAY.
[000:27:38;823] >> Reporter: ALSO
[000:27:39;791] KNOWN AS MEGS YOUNG.
[000:27:41;893] A MOTHER OF THREE WHO
[000:27:43;028] WAS SHOCKED BY WHAT AN
[000:27:44;996] 11-YEAR-OLD GIRL ONCE
[000:27:46;097] TOLD HER.
[000:27:46;698] >> SHE SAID, MISS
[000:27:48;633] MEGS, I'VE NEVER HAD A
[000:27:50;301] BIRTHDAY PARTY, I'VE
[000:27:51;403] NEVER EVEN HAD MY OWN
[000:27:52;904] SLICE OF BIRTHDAY
[000:27:53;872] CAKE.
[000:27:54;439] I HONESTLY FELT IN
[000:27:57;075] THAT MOMENT LIKE
[000:27:57;809] SOMEONE KNOCKED THE
[000:27:58;710] WIND OUT OF ME.
[000:27:59;844] >> Reporter: SHE GOT
[000:28:00;779] BUSY.
[000:28:01;279] WHEN SHE WON $2500 IN
[000:28:02;747] A CONTEST URGING
[000:28:05;016] PEOPLE TO DO GOOD IN
[000:28:05;817] THEIR COMMUNITY, SHE
[000:28:06;618] QUIT HER JOB AND
[000:28:07;318] STARTED A NONPROFIT.
[000:28:09;521] THE MISSION -- CREATE
[000:28:10;588] BIRTHDAY PARTIES FOR
[000:28:11;956] KIDS WHO ARE POOR OR
[000:28:13;258] HOMELESS.
[000:28:13;825] >> IF FAMILIES ARE
[000:28:14;759] STRUGGLING TO PUT FOOD
[000:28:15;794] ON THE TABLE, SHELTER
[000:28:17;195] THEIR FAMILIES, PAY
[000:28:18;563] THEIR BILLS, THERE'S
[000:28:19;731] NOT A LOT OF EXTRA.
[000:28:21;633] >> Reporter: FIVE
[000:28:22;367] YEARS LATER WITH MORE
[000:28:23;201] HELP FROM THE
[000:28:24;169] COMMUNITY, SHE
[000:28:25;503] CELEBRATED 25,000
[000:28:27;739] BIRTHDAYS.
[000:28:28;306] BEHIND THE SCENES TOYS
[000:28:30;041] ARE GIFT WRAPPED READY
[000:28:31;242] TO GO AND MEGS GETS IN
[000:28:34;179] CHARACTER.
[000:28:34;746] >> WELCOME, EVERYBODY.
[000:28:36;414] >> Reporter: KIDS GET
[000:28:37;215] ALL THE PARTY
[000:28:38;316] TRIMMINGS.
[000:28:40;485] GAMES, TREATS.
[000:28:41;152] >> MAKE A WISH.
[000:28:41;853] >> Reporter: BLOWING
[000:28:42;620] OUT THE CANDLES.
[000:28:43;354] >> I HOPE WITH MY
[000:28:44;122] WHOLE HEART THAT THAT
[000:28:44;956] WISH COMES TRUE
[000:28:45;657] BECAUSE THE KIDS
[000:28:46;424] DESERVE IT.
[000:28:47;058] >> DO YOU LOVE IT?
[000:28:48;259] >> MM-HMM.
[000:28:49;094] >> Reporter: AND, OF
[000:28:49;861] COURSE, GIFTS.
[000:28:50;562] >> I NEVER LET IT GO.
[000:28:53;331] I'LL PLAY WITH IT LIKE
[000:28:54;399] EVERY DAY.
[000:28:54;999] >> Reporter: CREATING
[000:28:56;301] THE HAPPY BIRTHDAY
[000:28:57;702] MEMORIES EVERY CHILD
[000:28:58;970] DREAMS ABOUT.
[000:29:00;071] REHEMA ELLIS, NBC
[000:29:01;873] NEWS, McKEESPORT,
[000:29:03;108] PENNSYLVANIA.
[000:29:03;742] >> SOMETHING TO
[000:29:04;676] CELEBRATE.
[000:29:05;243] WE APPRECIATE YOU
[000:29:05;977] SPENDING PART OF YOUR
[000:29:06;811] EVENING WITH US.
[000:29:07;545] THAT IS "NIGHTLY NEWS"
[000:29:08;346] FOR THIS THURSDAY
[000:29:09;581] NIGHT.
[000:29:10;081] I'M LESTER HOLT.
[000:29:10;915] FOR ALL OF US AT NBC
[000:29:12;283] NEWS
[000:29:39;611] >> HOW ARE YOU DOING?
[000:29:40;779] >> GOOD.
[000:29:42;947] >> FERGIE'S FIRST INTERVIEW
[000:29:43;515] ABOUT HER SPLIT FROM JOSH
[000:29:45;116] DUHAMEL.
[000:29:47;085] >> YOU'VE GOT TO LET YOUR
[000:29:48;286] FEELINGS OUT SOMEWHERE OR YOU'RE
[000:29:49;888] GOING TO IMPLODE.
[000:29:51;756] >> WILL THERE BE A CUSTODY WAR
[000:29:53;358] OVER THEIR SON AXL?
[000:29:57;562] >>> AND HOE OPERA SAYS DEEPAK
[000:30:05;103] CHOPRA HELPED HER GET THROUGH
[000:30:05;703] LOW MOMENTS.
[000:30:06;971] >> AND SURVIVING MEXICO'S LAST
[000:30:07;772] DEVASTATING EARTHQUAKE.
[000:30:09;073] >> A LOT OF FRIENDS DIED.
[000:30:09;874] >> AND THE STAR UNDER FIRE FOR
[000:30:10;508] COMPLAINING THE HURRICANE RUINED
[000:30:11;142] HER VACATION.
[000:30:11;843] >>> 12 YEARS OLD AND A MILLION
[000:30:12;477] DOLLARS RICHER.
[000:30:15;280] >> THE WINNER OF "AMERICA'S GOT
[000:30:18;516] TALENT" DARCI LYNNE IS HERE WITH
[000:30:19;951] ME.
[000:30:20;418] >> NOW ON "EXTRA" --
[000:30:24;923] >> HEY, GUYS, WHO WHO IT IS.
[000:30:26;758] I'M WITH DEBRA MESSING.
[000:30:27;358] >> "WILL & GRACE," IT'S COMING.
[000:30:28;159] >> THE SURPRISE GUEST STAR.
[000:30:31;830] >> MICHELLE OBAMA ON THE SHOW
[000:30:32;497] SNOWE.
[000:30:35;333] >> THE BIGGEST SECRETS.
[000:30:36;968] >> I CANNOT TELL YOU.
[000:30:37;468] >> THEN OUR NEW A-LIST INTERVIEW
[000:30:39;070] WITH CATHERINE ZETA-JONES.
[000:30:39;637] WHAT MOTHERHOOD'S TAUGHT HER
[000:30:40;238] ABOUT THE SECRET LIVES OF
[000:30:41;706] AMERICAN TEENAGERS.
[000:30:42;207] >> I GO, WHOA, STOP.
[000:30:43;241] I'M YOUR MOTHER.
[000:30:43;775] I DON'T WANT TO KNOW THAT.
[000:30:46;444] >> PLUS WHEN NEWS ANCHORS
[000:30:47;078] EXPLODE.
[000:30:49;113] LAWRENCE O'DONNELL'S LIVE TV
[000:30:49;948] MELTDOWN.
[000:30:51;482] >> STOP THE HAMMERING!
[000:30:54;953] ♪ EXTRA EXTRA
[000:30:57;055] ♪
