[000:00:00;11] OF  
[000:32:04;23] EMPHASIZE THE ONLY ONES  
[000:32:05;15] THAT THE PUBLIC SHOULD VIEW  
[000:32:06;17] TO ASSIST US.  
[000:32:08;03] OTHER PHOTOS SHOULD NOT BE  
[000:32:09;19] DEEMED CREDIBLE AND UN --  
[000:32:11;22] THEY UNNECESSARILY DIVERT  
[000:32:12;26] THE PUBLIC'S ATTENTION IN  
[000:32:13;25] THE WRONG DIRECTION AND  
[000:32:17;02] CREATE UNDUE WORK FOR VITAL  
[000:32:19;03] RESOURCES.  
[000:32:19;18] >> THE BLAST LOCATION HERE  
[000:32:21;19] ON BOYLSTON STREET STILL  
[000:32:23;11] VERY MUCH AN ACTIVE CRIME  
[000:32:25;04] SCENE.  
[000:32:25;17] INVESTIGATORS COULD BE  
[000:32:26;27] SCENE THROUGHOUT THE DAY  
[000:32:27;19] SIFTING THROUGH THE DEBRIS  
[000:32:28;16] OF THAT BOMBING.  
[000:32:29;23] WEARING THE WHITE SUITS.  
[000:32:30;25] PULLING UP PIECES OF THE  
[000:32:32;24] ASPHALT.  
[000:32:33;08] THE LITTLE BITS OF EVIDENCE  
[000:32:34;05] THEY PULL FROM THAT BECOME  
[000:32:36;00] PIECES TO THE PUZZLE.  
[000:32:36;28] ONCE YOU HAVE THE SUSPECTS,  
[000:32:38;06] THE PIECES OF THE PUZZLE  
[000:32:39;10] FALL TOGETHER.  
[000:32:42;29] BILL?  
[000:32:43;12] >> Bill: YOU KNOW, MIKE,  
[000:32:44;11] THAT COMMENT THAT WAS MADE  
[000:32:45;22] BY THE FBI I THINK IS SO  
[000:32:49;08] TELLING.  
[000:32:49;22] WE HAVE VIDEO EVIDENCE OF  
[000:32:50;25] SUSPECT NUMBER 2 LEAVING A  
[000:32:52;16] BACKPACK AT THE SCENE OF  
[000:32:53;08] HIS SECOND EXPLOSION YOU  
[000:33:02;15] THINK ABOUT THE COMMENT AND  
[000:33:03;10] WHERE THE PRESS CONFERENCE  
[000:33:04;21] STARTED.  
[000:33:05;05] WE HAD A SINGLE PERSON OF  
[000:33:06;07] INTEREST AND WE WERE  
[000:33:07;02] WORKING TO CONFIRM WHETHER  
[000:33:07;29] OR NOT THIS PERSON WAS  
[000:33:08;28] WORKING BY HIMSELF OR WITH  
[000:33:10;02] SOMEONE ELSE.  
[000:33:10;23] MAYBE ANOTHER PERSON MAYBE  
[000:33:15;06] A THIRD PERSON AT THE  
[000:33:16;04] SCENE.  
[000:33:16;17] IT WOULD APPEAR THAT THE  
[000:33:17;17] INVESTIGATION WORKED FROM  
[000:33:18;10] THE POINT OF THE EXPLOSION  
[000:33:19;03] AND WORKED ITS OUTWARD.  
[000:33:21;05] AND NOW WE HAVE TWO IMAGES  
[000:33:22;27] THAT ARE NOW PUBLIC.  
[000:33:25;15] MIKE?  
[000:33:25;29] >> Mike: EXACTLY BILL.  
[000:33:30;10] AND GUN ONCE YOU GET THE  
[000:33:31;20] PUBLIC APPEAL, HAVE YOU  
[000:33:32;20] IMAGES THIS GOOD.  
[000:33:33;21] YOU HAVE TO GO BACK TO WHAT  
[000:33:35;13] THE FEDERAL INVESTIGATORS  
[000:33:36;19] SAY.  
[000:33:37;01] SOMEONE OUT THERE KNOWS WHO  
[000:33:37;25] THEY ARE.  
[000:33:38;14] THEY PUT OUT A WORD OF  
[000:33:39;17] CAUTION AS THEY HAVE TO AN  
[000:33:41;18] EXTENT.  
[000:33:42;02] DEPOSIT PEW ADVERTISE THE  
[000:33:42;25] GENERAL PUBLIC.  
[000:33:43;13] THE WORD OF CAUTION YOU  
[000:33:44;05] KNOW THESE INDIVIDUALS HAVE  
[000:33:45;13] KILLED THUS FAR.  
[000:33:47;03] AT LEAST ACCORDING TO THE  
[000:33:48;08] FEDERAL INVESTIGATORS IF  
[000:33:49;01] THEY INDEED ARE  
[000:33:50;06] RESPONSIBLE.  
[000:33:50;22] THEY ARE VIOLENT.  
[000:33:51;12] YOU HAVE TO ASSUME THEY'RE  
[000:33:52;06] VIOLENT AND THE FEDERAL  
[000:33:53;29] INVESTIGATORS WANT TO GET  
[000:33:54;22] INFORMATION ABOUT THESE  
[000:33:55;14] INDIVIDUALS.  
[000:33:56;00] THEY CERTAINLY DON'T WANT  
[000:33:56;23] ANYONE TO APPROACH THEM,  
[000:33:58;25] BILL?  
[000:33:59;08] >> Bill: MIKE, THANKS, MIKE  
[000:34:00;10] TOBIN WITH ME TONIGHT HERE  
[000:34:01;06] IN BOSTON AS WELL.  
[000:34:02;07] SO WHAT ARE LAW  
[000:34:03;29] ENFORCEMENT EXPERTS TELLING  
[000:34:04;27] US ABOUT WHERE WE ARE IN  
[000:34:05;28] THE INVESTIGATION?  
[000:34:08;29] "THE FOX REPORT'S"  
[000:34:09;18] CORRESPONDENT JONATHAN HUNT  
[000:34:10;12] IS LIVE IN OUR NEWSROOM IN  
[000:34:11;07] NEW YORK WITH MORE ON THIS.  
[000:34:12;25] JONATHAN, GOOD EVENING TO  
[000:34:14;01] YOU.  
[000:34:14;13] >> GOOD EVENING, BILL.  
[000:34:15;13] ANY LAW ENFORCEMENTICS PERT  
[000:34:17;04] WILL TELL YOU THAT  
[000:34:18;12] INVESTIGATORS WOULD HAVE  
[000:34:19;21] FAR PREFERRED TO MOVE IN  
[000:34:21;26] QUIETLY TO QUIETLY PICK UP  
[000:34:23;07] THESE GUYS WITHOUT  
[000:34:25;02] APPEALING FOR HELP FROM THE  
[000:34:29;11] PUBLIC IT HE WILLS YOU THUS  
[000:34:30;26] FAR IN THAT EFFORT THEY  
[000:34:31;29] HAVE CLEARLY DRAWN A BLANK  
[000:34:33;00] IN TRACKING THESE TWO MEN.  
[000:34:34;14] NOW THEY NEED THE PUBLIC'S  
[000:34:36;01] HELP.  
[000:34:36;14] YOU COMPARE THIS, FOR  
[000:34:37;17] INSTANCE, IN THE PUBLIC  
[000:34:40;03] APPEAL HERE TO THE CASE OF  
[000:34:42;19] FIESEL SHAH SAD.  
[000:34:45;04] A PAKISTANI CITIZEN WHO  
[000:34:46;20] ATTEMPTED TO SET OFF A CAR  
[000:34:48;19] BOMB IN TIMES SQUARE IN MAY  
[000:34:50;12] OF 2010.  
[000:34:50;28] POLICE HAVE VIDEO OF HIM.  
[000:34:52;05] THEY HAD AN I.D.  
[000:34:53;10] THEY DID NOT FEEL IT  
[000:34:56;02] NECESSARY TO PUT THAT OUT  
[000:34:57;19] PUBLICLY.  
[000:34:58;04] THEY SIMPLY TAILED HIM.  
[000:34:59;00] HE THEY PUT HIM ON A NO FLY  
[000:35:01;09] LIST.  
[000:35:01;22] I'M NOT QUITE SURE WHY WE  
[000:35:03;00] ARE SEEING THE BOSTON  
[000:35:04;03] SUSPECTS HERE.  
[000:35:05;00] WE ARE TALKING ABOUT FIESEL  
[000:35:06;06] SHAH SAD.  
[000:35:07;12] THEY SURVEILLED HIM.  
[000:35:08;16] THEY TRACKED HIM IN THE END  
[000:35:10;04] AND HE WAS FOUND TRYING TO  
[000:35:10;27] GET ON A FLIGHT OUT OF  
[000:35:13;04] COUNTRY AT JFK.  
[000:35:14;00] SO, WHAT WE KNOW FROM THIS  
[000:35:15;22] NOW IS THAT THEY NEED THE  
[000:35:18;18] HELP OF THE AMERICAN  
[000:35:19;17] PUBLIC, BILL.
[000:35:33;28] LAW ENFORCEMENT EXPERTS  
[000:35:35;02] WOULD TELL YOU IT WOULD  
[000:35:35;24] SUGGEST THERE WAS A FAIR  
[000:35:36;19] DEGREE OF PLANNING IN THE  
[000:35:37;20] PLOT BY THESE TWO MEN IF,  
[000:35:39;17] INDEED, THEY ARE THE TWO  
[000:35:41;03] WHO CARRIED IT OUT.  
[000:35:42;09] THERE WAS A DEGREE OF  
[000:35:43;27] PLANNING FOR AN ESCAPE  
[000:35:45;22] ROUTE.  
[000:35:46;05] THEY WOULD ALSO SAY THAT IT  
[000:35:47;12] TELLS YOU IT MAY MEAN THAT  
[000:35:49;08] THEY HAVE HAD HELP IN  
[000:35:51;11] STAYING AT LARGE.  
[000:35:52;23] IT ALMOST CERTAINLY MEANS  
[000:35:54;24] ACCORDING TO LAW  
[000:35:55;12] ENFORCEMENT EXPERTS I HAVE  
[000:35:56;20] SPOKEN TO TONIGHT THAT  
[000:35:57;25] THESE TWO WERE NOT  
[000:36:00;10] PREVIOUSLY ON ANYONE'S  
[000:36:02;01] RADAR AS POTENTIAL  
[000:36:03;28] TERRORISTS.  
[000:36:04;14] BUT I THINK IT'S IMPORTANT  
[000:36:05;07] TO POINT OUT AS WELL, BILL,  
[000:36:07;18] AS WELL ASPECTS EXPLODES  
[000:36:09;05] ACROSS THE INTERNET TONIGHT  
[000:36:14;10] WHILE THESE IMAGES THAT WE  
[000:36:15;20] ARE LOOKING AT NOW CLEARLY  
[000:36:16;28] TELL US WHAT THESE TWO LOOK  
[000:36:18;17] LIKE, THEY TELL US  
[000:36:19;20] ABSOLUTELY NOTHING  
[000:36:21;22] DEFINITIVELY ABOUT  
[000:36:22;23] MOTIVATION OR AFFILIATION  
[000:36:24;04] BILL.  
[000:36:27;11] >>  
[000:36:27;22] >> Bill: THANK YOU  
[000:36:28;12] JONATHAN.  
[000:36:28;27] JONATHAN HUNT LIVE IN NEW  
[000:36:29;20] YORK TONIGHT.  
[000:36:30;07] THE FBI SAYING HERE IN  
[000:36:31;01] BOSTON HOURS AGO QUOTE:   
[000:36:32;16] EACH PIECE OF EVIDENCE  
[000:36:33;10] MOVES US FORWARD TO  
[000:36:35;01] JUSTICE.  
[000:36:35;15] IF YOU HAVE INFORMATION  
[000:36:36;21] TIPS EVIDENCE, ANYTHING  
[000:36:37;19] THAT MAY HELP,  
[000:36:42;01] 1-800-CALL-FBI 225-5324  
[000:36:43;14] THE NUMBER THAT IS NOW  
[000:36:45;03] PUBLIC AS WELL.  
[000:36:46;09] WE'RE WATCHING THIS TRAGEDY  
[000:36:48;08] IN TEXAS TONIGHT.  
[000:36:49;06] AND WHAT A SCENE THIS IS  
[000:36:53;20] TINY TOWN OF WEST TEXAS.  
[000:36:54;28] POLICE SAY THERE IS NO  
[000:36:55;22] TELLING HOW MANY PEOPLE DIE  
[000:36:57;16] WHEN A FERTILIZER PLANT  
[000:36:59;18] THERE CAUGHT FIRE AND  
[000:37:00;26] EXPLODED.  
[000:37:04;13] [EXPLOSION]  
[000:37:04;29] >>  
[000:37:05;10] >> Bill: THE BLAST AS  
[000:37:06;01] POWERFUL AS A SMALL  
[000:37:07;07] EARTHQUAKE.  
[000:37:07;24] >> THE SONIC BOOM, AT LEAST  
[000:37:09;24] THAT'S WHAT IT FELT LIKE.  
[000:37:11;04] >> THREW YOU DOWN ON THE  
[000:37:12;12] GROUND.  
[000:37:12;26] >> IF I HAD BEEN ON THAT  
[000:37:13;26] COUCH I WOULD BE DEAD.  
[000:37:16;03] >> Bill: SPREADING  
[000:37:16;22] DEVASTATION IN EVERY  
[000:37:17;13] DIRECTION.  
[000:37:17;28] >> THERE ARE HOMES LEVELED.  
[000:37:19;21] >> IT BLEW THE WINDOWS OUT.  
[000:37:21;05] >> THERE ARE BUSINESSES  
[000:37:22;21] LEVELED.  
[000:37:23;09] >> NO WINDOWS, NO DOORS  
[000:37:24;25] CEILING IS DOWN.  
[000:37:25;18] EVERYTHING IN THE HOUSE IS  
[000:37:28;07] JUST FLIPPED AROUND.  
[000:37:29;16] >> Bill: TONIGHT THE SEARCH  
[000:37:30;10] FOR VICTIMS AND THE SEARCH  
[000:37:31;03] FOR ANSWERS.
[000:37:38;16] C-MAX two.
[000:37:40;11] That's a super fuel-  efficient hybrid
[000:37:41;01] for me.
[000:37:44;20] And a long range  plug-in hybrid for
[000:37:45;09] you. 
[000:37:48;06] Now, let's review.
[000:37:50;08] Introducing the  Ford C-MAX Hybrid
[000:37:50;29] and
[000:37:51;21] the Ford C-MAX  Energi plug-in Hybrid.
[000:37:56;03] Say hi to the  C-MAX Hybrids.
[000:39:04;05] [ Female Announcer ]    THE ONLY PATCH
[000:39:05;05] FOR THE TREATMENT    OF MILD TO MODERATE
[000:39:06;14] ALZHEIMER'S DISEASE    IS EXELON PATCH.
[000:39:09;10] NOW WITH    MORE TREATMENT OPTIONS
[000:39:10;19] EXELON PATCH MAY IMPROVE    OVERALL
[000:39:11;10] FUNCTION AND COGNITION.    YOUR LOVED
[000:39:15;03] ONE CAN GET    A FREE 30-DAY TRIAL.
[000:39:18;04] AND YOU CAN HAVE    ACCESS TO NURSES.
[000:39:19;27] IT DOES NOT CHANGE    HOW THE DISEASE
[000:39:20;22] PROGRESSES.    HOSPITALIZATION   
[000:39:22;26] AND RARELY DEATH,    HAVE BEEN REPORTED
[000:39:24;04] FROM WEARING    MORE THAN ONE PATCH
[000:39:24;25] AT A TIME.    THE MOST COMMON SIDE
[000:39:27;06] EFFECTS    ARE NAUSEA, VOMITING, DIARRHEA
[000:39:30;00] FALL, LOSS OF APPETITE    OR WEIGHT,
[000:39:32;12] APPLICATION SITE REDNESS,    AND URINARY
[000:39:33;07] TRACT INFECTION.    THE LIKELIHOOD
[000:39:35;17] AND SEVERITY    OF THESE SIDE EFFECTS
[000:39:37;24] MAY INCREASE    AS THE DOSE INCREASES
[000:39:39;16] OR IF PATIENTS    WEIGH LESS THAN
[000:39:40;08] 110 POUNDS.    PEOPLE AT RISK    FOR
[000:39:42;25] STOMACH ULCERS    WHO TAKE    CERTAIN
[000:39:44;04] OTHER MEDICINES    SHOULD TALK TO
[000:39:46;02] THEIR DOCTOR    AS SERIOUS STOMACH
[000:39:47;04] PROBLEMS    SUCH AS BLEEDING MAY WORSEN.
[000:39:49;16] PATIENTS MAY EXPERIENCE    SLOW HEART
[000:39:50;08] RATE.    FREE TRIAL OFFER FOR THEM.
[000:39:53;24] NURSES TO TALK TO FOR YOU.    VISIT
[000:39:56;08] EXELONPATCHOFFER.COM.  ♪ ♪
[000:40:40;28] WITH WILL MORE IN A MOMENT  
[000:40:42;27] IN THE BREANTS IN BOSTON.  
[000:40:43;20] THE FBI RELEASING PICTURES  
[000:40:44;13] OF THE MEMBER IT CALLS  
[000:40:45;04] SUSPECTS.  
[000:40:45;19] SUSPECTS FOR THE FIRST TIME  
[000:40:48;18] AFTER THE BOMBING ON MONDAY  
[000:40:50;01] IN THE BOSTON MARATHON.  
[000:40:51;06] THE MASSIVE EXPLOSION THAT  
[000:40:52;08] SHATTERED A SMALL TOWN IN  
[000:40:53;25] TEXAS.  
[000:40:55;00] AND TONIGHT INVESTIGATORS  
[000:40:55;23] SAY THEY STILL DON'T KNOW  
[000:40:56;22] HOW MANY PEOPLE ARE DEAD.  
[000:40:57;22] BUT THEY KNOW MORE THAN 160  
[000:41:00;09] ARE HURT.  
[000:41:01;07] AND THE SEARCH GOES ON FOR  
[000:41:02;27] EVEN MORE VICTIMS NOW.  
[000:41:03;27] IT ALL STARTED LAST NIGHT  
[000:41:05;11] WHEN A FIRE BROKE OUT AT A  
[000:41:07;24] FERTILIZER PLANT IN THE  
[000:41:08;16] TOWN OF WEST, TEXAS.  
[000:41:11;02] THAT'S ABOUT 20 MILES NORTH  
[000:41:12;10] OF WACO.  
[000:41:13;06] ONE MAN WAS SHOOTING CELL  
[000:41:14;29] PHONE VIDEO OF THE FIRE  
[000:41:15;25] WHEN THE PLANT BLEW UP.  
[000:41:21;28] WATCH?  
[000:41:25;11] [EXPLOSION]  
[000:41:28;04] >> Bill: HE SAYS HE WAS  
[000:41:29;01] 200 FEET AWAY AND GOT OUT  
[000:41:30;02] OF THERE AS FAST AS HE  
[000:41:31;15] POSSIBLY COULD.  
[000:41:32;03] >> IT WAS A GIANT FORCE OF  
[000:41:34;09] PRESSURE PUSHED ME BACK AND  
[000:41:35;09] THERE WAS SHRAPNEL FLYING  
[000:41:37;27] EVERYWHERE.  
[000:41:38;13] STILL SHAKEN UP.  
[000:41:39;12] I HAVE BEEN SHAKEN UP SINCE  
[000:41:41;06] THE WHOLE THING HAPPEN.  
[000:41:43;09] PROBABLY THE WORST THING I  
[000:41:44;08] HAVE EVER SEEN IN MY LIFE.  
[000:41:46;29] >> Bill: PEOPLE SAY THEY  
[000:41:47;21] HEARD AND FELT THE  
[000:41:49;13] EXPLOSION ABOUT 50 MILES  
[000:41:50;20] AWAY.  
[000:41:51;03] JUST THINK ABOUT THAT  
[000:41:51;27] NEIGHBORS SAY IT BLEW THEM  
[000:41:52;29] RIGHT OFF THEIR FEET,  
[000:41:54;11] LEVELING HOMES AND  
[000:41:55;00] BUSINESSES IN A FOUR BLOCK  
[000:41:56;18] AREA SURROUNDING THAT  
[000:41:57;09] PLANT.  
[000:41:58;01] >> IT PICKED US UP AND  
[000:42:00;09] THREW US DOWN ON THE  
[000:42:01;23] GROUND.  
[000:42:02;07] IT BLEW THE SHRUBS THAT I  
[000:42:03;09] HAVE DOWN ON MY HOUSE  
[000:42:08;15] PARALLEL.  
[000:42:09;00] IT UP SOUND THE LIKE  
[000:42:10;09] PEBBLES BEING THROWN  
[000:42:11;29] THROUGH THE AIR IT WAS  
[000:42:13;27] HORRIFIC.  
[000:42:14;12] >> I WAS PICKED UP AND  
[000:42:16;00] THROWN.  
[000:42:16;14] I WENT UPSTAIRS.  
[000:42:17;07] IF I HADN'T, THE COUCH THAT  
[000:42:18;01] I HAD BEEN ON WHEN I CAME  
[000:42:19;08] DOWN, I LOOKED AT IT, THE  
[000:42:20;20] COUCH WASN'T THERE.  
[000:42:23;21] IT WAS RIGHT IN FRONT OF A  
[000:42:24;25] BIG BAY WINDOW AND IT WAS  
[000:42:26;11] SHREDDED FROM THE GLASS  
[000:42:27;03] FROM THE BAY WINDOW.  
[000:42:27;24] IF I HAD BEEN ON THAT  
[000:42:28;27] COUCH, I WOULD BE DEAD.  
[000:42:30;19] >> HE IS ONE LUCKY MAN.  
[000:42:32;02] HERE IS A LOOK AT HOW FAR  
[000:42:34;05] THE DEVASTATION EXTENDED.  
[000:42:35;16] POLICE SAY THE BLAST  
[000:42:36;13] DAMAGED OR DESTROYED DOZENS  
[000:42:43;16] OF HOME AN APARTMENT  
[000:42:45;01] COMPLEX AND SCHOOLS.  
[000:42:48;02] DOMINIC DI-NATALE LIVE IN  
[000:42:48;25] WEST, TEXAS.  
[000:42:49;11] WHAT IS THE LATEST ON THE  
[000:42:51;01] RECOVERY EFFORT THAT'S  
[000:42:52;14] ONGOING THERE TONIGHT?  
[000:42:53;05] >> BILL, THE AUTHORITIES  
[000:42:54;05] HAVE SPENT THE DAY DOING  
[000:42:55;09] WHAT THEY DESCRIBE AS A  
[000:42:57;06] METICULOUS INCH BY INCH  
[000:42:58;12] SEARCH FOR SURVIVORS AND  
[000:42:59;13] THE BODIES OF THE DEAD HERE  
[000:43:01;27] IN WEST, TEXAS.  
[000:43:03;21] IT'S A GRUELING EFFORT  
[000:43:05;09] HERE.  
[000:43:05;22] YOU HAVE HOUSES THAT HAVE  
[000:43:07;18] BEEN SPLINTERED TO DEATH.  
[000:43:10;06] WIPED OUT AND CARE HOME  
[000:43:11;23] THAT'S BEEN DEVASTATED AS  
[000:43:13;09] WELL.  
[000:43:13;22] THIS IS HOW THE AUTHORITIES  
[000:43:15;02] DESCRIBE THE SCENE AND  
[000:43:16;09] EFFORT UNDERWAY.  
[000:43:17;06] TAKE A LISTEN, BILL.  
[000:43:18;03] >> WE NEED EVERY AMBULANCE  
[000:43:19;09] WE CAN GET THIS WAY.  
[000:43:20;14] A BOMB JUST WENT OFF INSIDE  
[000:43:23;14] HERE.  
[000:43:23;27] IT'S PRETTY BAD.  
[000:43:24;17] WE HAVE A LOT OF THE  
[000:43:25;12] FIREMEN DOWN.  
[000:43:25;29] >> FIREFIGHTERS DOWN.  
[000:43:27;25] THERE HAS BEEN AN  
[000:43:28;24] EXPLOSION.  
[000:43:29;09] THERE ARE FIREFIGHTERS  
[000:43:30;00] DOWN.  
[000:43:30;13] >> THE REST HOME HAS BEEN  
[000:43:31;18] SERIOUSLY DAMAGED.  
[000:43:32;08] WE HAVE MANY PEOPLE DOWN.  
[000:43:34;21] PLEASE RESPOND.  
[000:43:35;28] >> I'M GETTING YOU  
[000:43:36;22] EVERYBODY I CAN.  
[000:43:37;19] YOU HAVE DEPUTIES.  
[000:43:39;17] YOU HAVE FIRE.  
[000:43:40;23] YOU HAVE EMS.  
[000:43:42;01] I AM SENDING EVERYBODY I  
[000:43:43;01] HAVE GOT.  
[000:43:44;04] >> SORRY, THAT WAS THE  
[000:43:45;11] EMERGENCY SERVICES AND HOW  
[000:43:46;11] THEY RESPONDED IN THE  
[000:43:48;11] IMMEDIATE AFTERMATH OF THE  
[000:43:49;04] NEWS OF THE EXPLOSION  
[000:43:51;27] TAKING PLACE THE  
[000:43:54;27] AUTHORITIES HERE SAYING  
[000:43:55;20] THEY ARE DOING ABSOLUTELY  
[000:43:56;28] EVERYTHING THEY CAN.  
[000:43:57;18] A FOUR BLOCK AREA.  
[000:43:58;10] A LARGE AREA FOR THEM TO  
[000:43:59;11] HAVE TO DEAL WITH.  
[000:44:00;11] THERE ARE SO MANY PEOPLE  
[000:44:02;04] BELIEVED TO BE EITHER  
[000:44:03;12] BURIED ALIVE OR MANY OF  
[000:44:04;08] THEM SUSPECTED NOW AFTER  
[000:44:06;08] THIS AMOUNT OF TIME TO BE  
[000:44:07;16] DEAD BILL.  
[000:44:09;00] >> Bill: WOW, YOU LOOK AT  
[000:44:09;23] THESE HOMES AND YOU HOW  
[000:44:10;27] THEY HAVE BEEN DAMAGED AND  
[000:44:11;25] YOU IMAGINE THE FORCE OF  
[000:44:12;23] THAT BLAST AND THE HEAT  
[000:44:13;18] THAT CAME OFF THAT PLANT AS  
[000:44:15;11] WELL.  
[000:44:15;24] WE'RE TRYING TO FIGURE OUT  
[000:44:16;17] WHAT CAUSED THIS.  
[000:44:17;21] DO WE KNOW AT THIS POINT?  
[000:44:19;25] ARE WE ANY CLOSER TO THAT  
[000:44:21;12] ANSWER DOMINIC?  
[000:44:23;03] >> WHAT CAUSED THE BLAST  
[000:44:24;16] WELL IT APPEARS THAT WHEN  
[000:44:26;11] FIREFIGHTERS ATTENDED A  
[000:44:27;04] FIRE AT THE SCENE EARLIER  
[000:44:28;05] IN THE EVENING.  
[000:44:28;28] THEY STARTED POURING WATER.  
[000:44:30;11] THIS WAS AMMONIUM FACTORY.  
[000:44:34;15] WHEN AMMONIUM IS MIXED WITH  
[000:44:36;08] WATER IT BECOMES VERY  
[000:44:37;26] HAZARDOUS, THAT'S VERY MUCH  
[000:44:38;27] KNOWN.  
[000:44:39;10] THE SUSPICION AT THIS TIME  
[000:44:40;03] IS THAT MAY BE THE CAUSE OF  
[000:44:40;27] THE EXPLOSION.  
[000:44:41;18] WHAT WAS CAUSE OF THE  
[000:44:42;19] ORIGINAL FIRE, WE DON'T  
[000:44:43;15] ACTUALLY KNOW.  
[000:44:44;03] BACK IN JANUARY THERE WAS A  
[000:44:45;07] REPORT THAT THERE HAD BEEN  
[000:44:47;17] THE FACT THE PLANT HAD BEEN  
[000:44:49;17] BURNING PALLETS AND BRUSH  
[000:44:50;29] AND THEY HADN'T NOTIFIED  
[000:44:51;29] THE AUTHORITIES AND THAT A  
[000:44:53;00] LOCAL SCHOOL WAS EVACUATED  
[000:44:54;07] AS A RESULT OF THAT NO  
[000:44:55;05] DOUBT THE AUTHORITIES  
[000:44:56;01] LOOKING INTO WHETHER THERE  
[000:44:57;01] IS ANYTHING IN THAT AT ALL.  
[000:44:58;21] AT THIS TIME THEY STILL  
[000:44:59;13] DON'T KNOW.  
[000:44:59;29] BACK TO YOU, BILL.  
[000:45:01;11] >> Bill: THAT IS A  
[000:45:02;04] NIGHTMARE OF LIVING HELL  
[000:45:02;27] LAST NIGHT.  
[000:45:04;25] DOMINIC DI-NATALE, THANK  
[000:45:05;17] YOU, REPORTING IN THE TOWN  
[000:45:06;10] OF WEST, TEXAS FOR US.  
[000:45:07;14] ABOUT A 20 MINUTE DRIVE  
[000:45:09;01] SOUTH OF THAT BLAST SITE IS  
[000:45:10;06] THE TOWN OF WACO TEXAS.  
[000:45:12;04] 20 YEARS AGO TOMORROW,  
[000:45:14;08] DAVID KARESH AND 75 MEMBERS  
[000:45:17;11] OF HIS BRANCH DA  
[000:45:20;12] INDIVIDUALIAN CULT DIED  
[000:45:21;04] THERE IN A HIGHLY  
[000:45:23;24] CONTROVERSIAL STANDOFF WITH  
[000:45:24;27] FEDERAL AGENTS.  
[000:45:25;15] THEY ATTEMPTED TO CARRY OUT  
[000:45:26;26] A SEARCH WARRANT.  
[000:45:27;15] WHAT FOLLOWED WAS A 50 DAY  
[000:45:29;01] SIEGE THAT ENDED WHEN THE  
[000:45:29;26] FEDS RAIDED THE PLACE AND  
[000:45:31;23] THE CULT'S COMPOUND BURNED  
[000:45:33;25] TO THE GROUND.  
[000:45:35;04] ALMOST EVERYONE INSIDE DIED  
[000:45:36;28] INCLUDING 20 CHILDREN.  
[000:45:37;19] THIS WEEK ALSO MARKS 66  
[000:45:39;09] YEARS SINCE THE DEADLIEST  
[000:45:41;13] INDUSTRIAL DISASTER IN OUR  
[000:45:42;24] NATION'S HISTORY.  
[000:45:43;20] IT ALSO HAPPENED IN THE  
[000:45:44;17] STATE OF TEXAS OUTSIDE OF  
[000:45:46;18] HOUSTON.  
[000:45:47;02] A FIRE ON BOARD A SHIP FULL  
[000:45:48;15] OF FERTILIZER KILLED NEAR  
[000:45:50;18] 600 THERE.  
[000:45:51;12] THAT BLAST ALSO BLEW TWO  
[000:45:53;04] SMALL PLANES OUT OF THE SKY  
[000:45:55;10] AND CAUSED A 15-FOOT TITLED  
[000:45:59;18] TIDAL WAVE.  
[000:46:00;07] MANY OF THE VICTIMS OUTSIDE  
[000:46:01;01] OF HOUSTON THAT DAY WERE  
[000:46:02;05] NEVER FOUND.  
[000:46:03;18] BACK TO THE BREAKING NEWS  
[000:46:04;11] OF THE DAY HERE IN BOSTON.  
[000:46:05;18] THE HUNT FOR THE TWO  
[000:46:06;21] SUSPECTS FROM THE BOMBING  
[000:46:08;22] HERE.  
[000:46:09;05] AND IN A MOMENT WE WILL  
[000:46:09;28] TALK WITH ONE FORMER FBI  
[000:46:11;10] MAN WHO KNOWS A WHOLE ABOUT  
[000:46:13;11] TRACKING DOWN TERRORIST  
[000:46:14;21] SUSPECTS.  
[000:46:15;06] ONE TIME TOP AGENT IN NEW  
[000:46:16;11] YORK CITY.  
[000:46:17;20] THAT'S NEXT AS FOX REPORTS  
[000:46:19;20] LIVE TONIGHT AGAIN ON THIS  
[000:46:21;28] THURSDAY NIGHT IN BOSTON.
[000:48:55;27] >> Bill: CONTINUING  
[000:48:57;13] COVERAGE NOW THE BREAKING  
[000:48:58;06] NEWS WE ARE WATCHING  
[000:48:58;26] TONIGHT IN BOSTON.  
[000:48:59;15] THE FBI ASKING FOR HELP NOW  
[000:49:00;09] TRACKING DOWN TWO SUSPECTS  
[000:49:01;09] IN MONDAY'S BOMBINGS AT THE  
[000:49:03;00] MARATHON HERE IN BOSTON.  
[000:49:04;07] BILL GOOD AFTERNOON FORMER  
[000:49:06;12] ASSISTANT DIRECTOR IN  
[000:49:07;03] CHARGE THE FBI IN NEW YORK  
[000:49:08;12] NOW MAKES HIM HOME HERE IN  
[000:49:11;02] NEW YORK.  
[000:49:11;23] WE SPOKE 11 HOURS AGO IN  
[000:49:13;17] AMERICA'S NEWSROOM ABOUT  
[000:49:14;09] WHAT COULD COME NEXT FROM  
[000:49:15;03] THE FBI.  
[000:49:15;25] IS THIS WHAT YOU EXPECTED?  
[000:49:18;05] >> YES BILL, IT IS WHAT I  
[000:49:20;04] EXPECTED THAT THE PHOTOS  
[000:49:20;26] WOULD BE RELEASED BECAUSE  
[000:49:24;23] IT TOOK THEM THAT LONG TO  
