[000:00:00;183] GETTING WORK DONE.
[000:35:38;536] EXAMINING PRESIDENT TRUMP'S
[000:35:40;438] UNSUBSTANTIATED CLAIM THAT
[000:35:42;440] PRESIDENT OBAMA WIRETAPPED HIM
[000:35:44;542] AN OUT CALLS ON SUSAN RICE TO
[000:35:49;881] TESTIFY.
[000:35:51;315] THAT ISSUE HER A REQUEST TO NAME
[000:35:56;053] TRUMP ASSOCIATES CAUGHT AND
[000:35:56;721] SURVEILLANCE.
[000:35:57;155] THAT SURVEILLANCE IS ROUTINE AND
[000:35:57;889] WHEN AMERICANS ARE CAUGHT
[000:35:58;556] SPEAKING WITH FOREIGN NATIONALS
[000:36:02;894] THE NAMES ARE MASTER PROTECTED
[000:36:03;594] IN A SPREAD RICE CLAIMS SHE
[000:36:04;262] ASKED FOR THE NAMES TO BETTER
[000:36:05;296] UNDERSTAND THE MAIN INTELLIGENCE
[000:36:10;401] AND MAINTAIN SHE NEVER REBUILT
[000:36:11;102] THOSE NAMES PUBLICLY.
[000:36:12;203] JULIE: RICH EDSON WILL THANK
[000:36:12;870] YOU.
[000:36:13;738] CONGRESS HAS ADJOURNED FOR TWO
[000:36:14;438] WEEKS FOR THE EASTER HOLIDAY
[000:36:15;106] THAT LAWMAKERS WILL HAVE PLENTY
[000:36:15;840] OF WORK WAITING FOR THEM WHEN
[000:36:16;541] THEY RETURN INCLUDING THE BATTLE
[000:36:18;509] OVER OBAMACARE.
[000:36:20;144] HOUSE SPEAKER PAUL RYAN
[000:36:23;381] INSISTING THEY ARE CLOSE TO
[000:36:24;048] REACHING AN AGREEMENT, VERY
[000:36:24;715] CLOSE HE SAID BETWEEN
[000:36:25;283] CONSERVATIVE AND MODERATE WINGS
[000:36:26;484] OF THE PARTY IN REPEALING THE
[000:36:30;254] AFFORDABLE CARE ACT HOWEVER HE
[000:36:31;355] SPOKE AT THE REPUBLICAN CORPSMEN
[000:36:33;558] WHO SAID NOT NECESSARILY THAT
[000:36:35;960] CLOSE TO IT WHICH IS GOOD AND
[000:36:36;661] WHAT IS THE LATEST?
[000:36:37;962] PETER DOOCY JOINS US FROM D.C..
[000:36:40;131] HOW ARE LAWMAKERS EXPLAINING THE
[000:36:41;599] DELAY IN REPEALING OBAMACARE?
[000:36:44;769] >> JULIE WE WATCHED HOW ONE
[000:36:47;438] REPUBLICAN DID IT IN A TOWN HALL
[000:36:48;172] IN CALIFORNIA WHERE CONGRESSMAN
[000:36:49;073] TOM McCLINTOCK TRIED TO TELL
[000:36:50;875] US SOMETIMES ROWDY CROWD THAT IT
[000:36:53;477] IS TAKING A WHILE FOR HIS PARTY
[000:36:54;979] TO UNITE AROUND A REPLACEMENT.
[000:36:59;483] >> WE HAVE GOT TO GET THIS RIGHT
[000:37:00;785] AND IT'S NOT GOING TO BE FOR --
[000:37:02;153] PERFECT PLAN.
[000:37:03;621] OUR SYSTEM WAS NEVER DESIGNED TO
[000:37:05;990] BE PERFECT.
[000:37:08;059] IF OUR SYSTEM WAS DESIGNED TO
[000:37:10;194] MAKE THE BEST LAW ACCESSIBLE TO
[000:37:11;596] MOST PEOPLE.
[000:37:14;665] >> THERE IS ONE MODERATE
[000:37:16;100] REPUBLICAN CONGRESSMAN CASTING
[000:37:21;138] DOUBT ON SPEAKER RYAN'S
[000:37:21;739] REASSURANCES THAT THE REPEAL AND
[000:37:22;740] REPLACE EFFORT IS STILL ON TRACK
[000:37:24;909] NOW THAT SOME OF THE FREEDOM
[000:37:25;576] CAUCUS BACKS AN AMENDMENT THAT
[000:37:28;379] LEADERSHIP SAYS THEY CAN LIVE
[000:37:30;581] WITH.
[000:37:33;117] >> I DON'T BELIEVE THAT WE ARE
[000:37:33;818] AS CLOSE AS MANY WOULD SAY ON
[000:37:34;518] THE HEALTH CARE BILL RIGHT NOW.
[000:37:35;820] THERE WAS AN AMENDMENT OFFERED
[000:37:40;157] WHICH ON BALANCE WAS GOOD
[000:37:40;858] $15 BILLION OVER EIGHT YEARS FOR
[000:37:42;360] HIGH-RISK POOLS BUT IN MY VIEW
[000:37:43;694] THERE OTHER STRUCTURAL CLAUSES
[000:37:45;863] OF THE LEGISLATION.
[000:37:47;898] TODAY'S HE WARNED HIS LEADERS
[000:37:50;034] AGAINST RUSHING TO REPEAL.
[000:37:51;435] JULIE: HOW LIKELY IS A
[000:37:53;070] GOVERNMENT SHUTDOWN AT THE END
[000:37:54;839] OF THE MONTH?
[000:37:55;740] >> JULIE DEMOCRATS ARE SAYING AT
[000:37:57;141] THE WHITE HOUSE STOPS ASKING
[000:37:59;977] THEM TO FUND THE BORDER WALL AND
[000:38:04;015] CUT OUT MONEY TO DOMESTIC
[000:38:05;416] PROGRAMS THEY'RE WILLING TO PLAY
[000:38:06;150] BALL.
[000:38:07;218] A SPOKESMAN FOR THE SENATE
[000:38:07;852] MINORITY LEADER CHUCK SCHUMER
[000:38:08;552] SAID SAID THIS QUOTE THE ONLY
[000:38:09;253] THING THAT COULD DERAIL THAT
[000:38:10;454] PROCESS IS THE WHITE HOUSE
[000:38:12;623] INSISTING ON THEIR EXTRANEOUS
[000:38:13;357] DEMANDS WHICH WOULD MEAN
[000:38:14;759] BIPARTISAN OPPOSITION.
[000:38:16;761] IT DOES NOT SOUND LIKE LAWMAKERS
[000:38:20;464] FEEL THE NEED TO CUT RECESSION
[000:38:21;198] OR WERE TO WORK ON THE BUDGET OR
[000:38:22;233] TO AUTHORIZE THE USE OF FORCE IN
[000:38:22;967] SYRIA EVEN THOUGH THEY SAY THEY
[000:38:24;302] WANT TO BE INVOLVED.
[000:38:29;440] >> WE CAN'T ACT ON AUTHORIZATION
[000:38:30;941] UNLESS THE PRESIDENT ASKED FOR
[000:38:32;009] AUTHORIZATION SO THERE'S NOTHING
[000:38:33;577] FOR US TO STAY HERE TO ACT ON.
[000:38:35;513] THERE'S NO INDICATION THAT
[000:38:37;014] PRESIDENTS COMING FORWARD WITH A
[000:38:41;719] REQUEST TO CONGRESS.
[000:38:42;520] IN A LETTER TO LAWMAKERS
[000:38:43;154] PRESIDENT TRUMP SAID HE WILL
[000:38:44;522] KEEP THEM UPDATED ABOUT ANY
[000:38:46;123] FUTURE ACTIVITY GETS ASSAD THAT
[000:38:49;694] DID NOT ASK FOR AUTHORIZATION.
[000:38:50;561] JULIE: PETER DOOCY THANK YOU
[000:38:51;228] VERY MUCH.
[000:38:52;163] THE HIGHEST COURT IN ONE STATE
[000:38:53;964] IS WEIGHING A VERY SENSITIVE
[000:38:55;866] QUESTION.
[000:38:57;335] SHOULD THE STATE BE ABLE TO STEP
[000:38:58;836] IN AND DETAIN IMMIGRANTS FOR
[000:39:02;540] I.C.E.?
[000:39:03;240] PLUS A MASSIVE MUDSLIDE LEAVES
[000:39:04;642] HOMEOWNERS SCRAMBLING.
[000:39:08;479] A CLOSER LOOK AT THE DAMAGE,
[000:39:10;781] NEXT.
[000:39:13;951] >> I HAVE SEEN ENOUGH OF THIS
[000:39:14;652] RAIN.
[000:39:15;019] WE ALL WANTED RAIN AT THE
[000:39:17;421] BEGINNING OF THE WINTER BUT.
[000:39:18;856] You do all this research
[000:39:29;533] on a perfect car,
[000:39:30;534] then smash it into a tree.
[000:39:32;169] Your insurance company
[000:39:32;169] raises your rates...
[000:39:34;405] Maybe you should've done
[000:39:34;405] more research on them.
[000:39:36;474] For drivers with
[000:39:36;474] Accident Forgiveness,
[000:39:38;309] Liberty Mutual won't raise
[000:39:38;309] your rates
[000:39:39;944] due to your first accident.
[000:39:41;078] Liberty Mutual Insurance.
[000:39:44;982] due to your first accident.
[000:39:44;982] ♪
[000:39:47;685] Whoa that's amazing...
[000:39:49;920] Hey, I'm the Internet!
[000:39:52;490] I know a bunch of people
[000:39:52;490] who would love that.
[000:39:57;795] The Internet loves
[000:39:57;795] what you're doing...
[000:39:59;563] ...so build a better website
[000:39:59;563] in under an hour with...
[000:40:01;432] ...GoCentral from GoDaddy.
[000:40:02;967] Type in your idea.  Select from
[000:40:02;967] designs tailored just for you
[000:40:06;437] And publish your site with just
[000:40:06;437] a few clicks-even from your...
[000:40:08;973] ...mobile  phone.
[000:40:10;141] The Internet is waiting
[000:40:11;175] Start for free today at GoDaddy.
[000:40:45;743] DearThere's no other
[000:40:45;743] way to say this.
[000:40:47;912] It's over.
[000:40:49;146] I've found a permanent
[000:40:49;146] escape from monotony.
[000:40:52;817] Together, we are
[000:40:52;817] perfectly balanced,
[000:40:56;220] our senses awake,
[000:40:58;456] our hearts racing as one.
[000:41:01;425] I know this is sudden,
[000:41:03;327] but they say: If you
[000:41:03;327] love something...
[000:41:06;664] set it free.
[000:41:08;833] See you around, Giulia
[000:41:10;835] ♪
[000:41:14;038] THIS IS PETE'S YARD.
[000:41:15;372] AND IT'S BEEN
[000:41:15;372] WITHERED BY WINTER.
[000:41:17;808] BUT ALL PETE NEEDS IS
[000:41:17;808] SCOTTS TURF BUILDER LAWN FOOD.
[000:41:21;212] IT'S THE FAST AND EASY WAY TO
[000:41:21;212] A THICK, GREEN, RESILIENT LAWN,
[000:41:24;949] WITH TWO SIMPLE FEEDINGS.
[000:41:26;350] ONE NOW, AND ONE
[000:41:26;350] LATER THIS SPRING.
[000:41:29;053] IT TAKES GRASS FROM HUNGRY -
[000:41:31;055] TO HEALTHY.
[000:41:32;323] PETE MAY NOT BE AN EXPERT,
[000:41:34;291] BUT LOOK AT THAT GRASS.
[000:41:36;126] THIS IS A SCOTTS YARD.
[000:41:38;229] FOR A QUICK AND EASY
[000:41:38;229] LAWN CARE PLAN,
[000:41:40;965] DOWNLOAD THE MY LAWN APP.
[000:42:34;451] JULIE: THE MASSACHUSETTS SUPREME
[000:42:35;185] COURT CONSIDERING WHETHER STATE
[000:42:36;520] OR LOCAL AUTHORITIES CAN HELP
[000:42:37;221] DETAIN IMMIGRANTS WANTED BY
[000:42:37;888] I.C.E. OFFICIALS BASED SOLELY ON
[000:42:39;256] THEIR REQUEST PRECLUDE THIS
[000:42:40;524] DECISION HAVE FAR-REACHING
[000:42:42;660] EFFECTS LIKE "FOX NEWS"
[000:42:43;260] CORRESPONDENT MOLLY LINE HAS
[000:42:44;328] MORE FROM WASHINGTON.
[000:42:49;166] >> THE SUPREME JUDICIAL COURT OF
[000:42:49;900] MASSACHUSETTS IS TRYING TO
[000:42:50;534] DETERMINE WHETHER LAW
[000:42:51;201] ENFORCEMENT OFFICERS AND COURT
[000:42:53;404] IN THE STATE CAN LEGALLY HOLD
[000:42:55;172] SOMEONE BASED SOLELY ON AN
[000:42:58;309] IMMIGRATION BECAME A REQUEST
[000:42:58;976] FROM U.S. IMMIGRATION AND
[000:42:59;610] CUSTOMS ENFORCEMENT.
[000:43:01;779] CRITICS CHARGE THE CONTAINER
[000:43:03;681] REQUESTS OR ORDERS TO KEEP
[000:43:04;949] SOMEONE IN JAIL UNTIL THE FEDS
[000:43:06;517] CAN GET THEM ARE
[000:43:06;984] UNCONSTITUTIONAL.
[000:43:08;519] >> MASSACHUSETTS LAW ENFORCEMENT
[000:43:10;321] OFFICERS SIMPLY CANNOT MAKE AN
[000:43:12;189] ARREST WITHOUT A WARRANT JUST
[000:43:13;657] BECAUSE SOMEONE ASKED THEM TO
[000:43:19;797] EVEN IF THE PERSON THAT ASKS
[000:43:20;464] THEM IS THE FEDERAL GOVERNMENT.
[000:43:21;265] >> LAWYERS FOR THE JUSTICE
[000:43:21;899] DEPARTMENT DISAGREED ARGUING IN
[000:43:23;801] THE AMERICAN SYSTEM OF DUAL
[000:43:26;403] SOVEREIGNTY THE UNITED STATES
[000:43:27;905] ABILITY TO ENFORCE IMMIGRATION
[000:43:29;640] LAWS DEPEND ON THE CORPORATION
[000:43:31;241] OF STATES.
[000:43:32;643] CHECK OFFICIALS CHOOSE TO
[000:43:33;277] COOPERATE BASED ON THEIR REQUEST
[000:43:34;979] THEY HAVE THAT AUTHORITY
[000:43:38;849] SPECIFICALLY TAKING THAT
[000:43:39;450] AUTHORITY AWAY FROM THEM FROM
[000:43:40;517] OUR PERSPECTIVE.
[000:43:42;853] >> A MAN NAMED -- CAME TO
[000:43:45;856] AMERICA AS A REFUGEE BY
[000:43:48;626] FOLLOWING A STRING OF CRIMINAL
[000:43:49;326] CONVICTIONS WAS SLATED FOR
[000:43:50;828] DEPORTATION IN 2008.
[000:43:52;363] CAMBODIA DECLINED TO TAKE HIM
[000:43:54;832] AND HE WAS RELEASED.
[000:43:55;633] IN OCTOBER OF 2016 HE WAS
[000:43:58;202] ARRESTED AGAIN FACING UNARMED
[000:44:00;571] ROBBERY CHARGES BY THE
[000:44:01;305] COMMONWEALTH FAILED TO PROSECUTE
[000:44:03;974] IN THE COURT DISMISSED CHARGES.
[000:44:08;379] LAWYERS ASKED HIM TO BE RELEASED
[000:44:09;446] BUT AFTER SEVERAL HOURS IN A
[000:44:10;114] COURTHOUSE HOLDING CELL I.C.E.
[000:44:11;749] AGENTS ARRIVED AND TOOK HIM INTO
[000:44:13;784] CUSTODY.
[000:44:14;218] >> HE WAS FACED WITH PROLONGED
[000:44:15;653] UNLAWFUL CONSTITUTIONAL ARRESTS
[000:44:18;088] AND HE WANTED TO CHALLENGE THAT.
[000:44:19;657] SMITH THE TRUMP ADMINISTRATION
[000:44:22;059] CALLING SO-CALLED SANCTUARY
[000:44:23;394] CITIES THAT ALLOW IMMIGRATION
[000:44:25;195] AUTHORITIES COULD MEAN A LOSS OF
[000:44:27;297] GRANT FUNDING BUT IT'S NOT
[000:44:28;899] ALWAYS ABOUT COMPLIANCE.
[000:44:30;434] SOME CITIES ARGUE YOU DON'T HAVE
[000:44:33;103] THE RESOURCES TO HOLD ALL OF THE
[000:44:34;505] PEOPLE THAT I.C.E. WANTS.
[000:44:36;140] IN BOSTON MOLLY LINE "FOX NEWS."
[000:44:39;543] JULIE: THE DEPARTMENT OF
[000:44:40;144] HOMELAND SECURITY LOOKING TO
[000:44:41;478] RAMP UP SECURITY IN THE SOUTHERN
[000:44:42;579] BORDER.
[000:44:43;013] NOW THE AGENCY IS TURNING TO
[000:44:44;515] SOME OF THE BRIGHTEST TECH MINDS
[000:44:47;217] IN THE COUNTRY FOR HELP.
[000:44:49;620] SILICON VALLEY.
[000:44:53;924] CLAUDIA COWAN HAS MORE.
[000:44:54;525] SOME OF THE GOVERNOR HAS BEEN
[000:44:55;859] USING DRONES FOR YEARS.
[000:44:57;995] THAT THE AIR FORCE SAID THERE'S
[000:45:00;197] MORE DEMAND FOR DRONE OPERATORS
[000:45:02;700] THAN ANY OTHER PILOT.
[000:45:04;101] NEW INITIATIVES HELPS TO  --
[000:45:06;336] HOPES TO SPEED UP THE
[000:45:07;805] PROCUREMENT PROCESS SAVING TIME
[000:45:14;578] MONEY AND LIVES.
[000:45:16;080] AND THAT WE ARE LOOKING FOR THE
[000:45:16;914] LATEST AND GREATEST TECHNOLOGIES
[000:45:17;781] THAT WE CAN GET FOR OPERATORS
[000:45:18;482] HAVE A HUGE MISSION OF SECURING
[000:45:19;216] U.S. BORDERS AND THEY CAN DO IT
[000:45:20;217] MORE EFFECTIVELY AND KEEP THEM
[000:45:20;918] SAFE.
[000:45:22;252] >> THAT MEANS EYES IN THE SKIES
[000:45:24;755] AS U.S. CUSTOMS AND BORDER
[000:45:26;757] PROTECTION IS PAYING STARTUPS TO
[000:45:29;560] FIT HIS PURPOSE.
[000:45:31;195] IMAGINE WORKING ALONE OR IN
[000:45:32;563] SMALL GROUPS IN A REMOTE AREA.
[000:45:35;099] THEY WANT TO KNOW IF THEY WILL
[000:45:39;770] ENCOUNTER GROUP AND HOW MANY
[000:45:40;437] PEOPLE ARE THERE AND IF THEY
[000:45:41;338] HAVE WEAPONS OF THE KNOW-HOW TO
[000:45:42;673] RESPOND TO GET THERE.
[000:45:43;307] >> SEATTLE RATER MANUFACTURE
[000:45:43;974] ECO-DYING TOWARD ONE OF THE
[000:45:44;675] FIRST CONTRACTS FOR SENSORS THAT
[000:45:50;080] CAN BE MOUNTED ON A SMALL DRONE
[000:45:50;814] THAT MEASURE THE DISTANCE
[000:45:52;082] BETWEEN OBJECTS EVEN IF THEY ARE
[000:45:54;051] MOVING EVEN IN BAD WEATHER.
[000:45:54;718] THE ABILITY TO HAVE A SMALL
[000:45:56;019] HIGH-PERFORMANCE RADAR IS WHAT
[000:46:00;057] IS UNIQUE ABOUT WHAT WE ARE
[000:46:00;724] DOING.
[000:46:01;258] LOCAL LAW ENFORCEMENT MEMBERS
[000:46:01;959] WHO USE DRONES TO FIGHT CRIME
[000:46:02;893] SEE A COST BENEFIT.
[000:46:06;230] >> WE GET REAL-TIME INFORMATION
[000:46:07;097] WHICH IS THE CRITICAL PART AT A
[000:46:08;398] LOW COST POINT IN RELATION TO
[000:46:13;237] ASSESS THAT CAN COST US UPWARDS
[000:46:14;638] OF $1800 AN HOUR.
[000:46:18;041] THE SMALLER DRONES WE FIRE
[000:46:18;675] COSTING US NEARLY NOTHING OTHER
[000:46:19;810] THAN MAN-HOURS.
[000:46:21;879] >> IT AT A RECENT DRONE EXPO IN
[000:46:23;080] SAN JOSE INDUSTRY LEADERS
[000:46:24;381] PRAISED THE PARTNERSHIP.
[000:46:26;383] >> WE KNOW THE CAPABILITY IS
[000:46:28;252] THERE.
[000:46:30;721] WE KNOW THE COST SAVINGS IS
[000:46:32;322] THERE AN ULTIMATELY AND MOST
[000:46:33;457] IMPORTANTLY WINNOW THE ABILITY
[000:46:34;758] TO PROTECT PROPERTY AND SAVE
[000:46:35;425] LIVES IS THERE.
[000:46:35;893] THE DEPARTMENT OF HOMELAND
[000:46:36;527] SECURITY HAS OPENED AN OFFICE IN
[000:46:37;261] SILICON VALLEY A SIGNAL THAT THE
[000:46:40;998] FEDERAL GOVERNMENT WILL CONTINUE
[000:46:41;732] TO PARTNER WITH STARTUPS TO GET
[000:46:42;466] THESE TECHNOLOGIES INTO THE
[000:46:43;200] FIELD FAST BEFORE THEY ARE
[000:46:44;802] OBSOLETE.
[000:46:46;203] SAN FRANCISCO CLAUDIA COWAN "FOX
[000:46:50;274] NEWS".
[000:46:52;643] JULIE: ANOTHER DAY OF CHAOS FOR
[000:46:53;377] DELTA AIRLINES.
[000:46:53;844] THE COMPANY CANCELING NEARLY 300
[000:46:54;878] MORE FLIGHTS THREE DAYS AFTER
[000:46:56;880] SEVERE THUNDERSTORMS BLEW
[000:46:59;850] THROUGH THE EASTERN U.S. AND
[000:47:01;318] CREATIVE DISRUPTIONS IN ATLANTA.
[000:47:03;320] THE NUMBER TWO U.S. AIRLINE HAS
[000:47:04;721] ALREADY CANCELED AROUND 3000
[000:47:08;258] FLIGHTS SINCE WEDNESDAY AND SAYS
[000:47:09;860] IT'S POSSIBLY BEEN MORE FLIGHTS
[000:47:11;195] WILL BE CALLED OFF.
[000:47:15;365] WHILE IN NORTHERN CALIFORNIA
[000:47:16;800] SEVERAL FAMILIES NOW HOMELESS
[000:47:19;036] AFTER MUDSLIDES TRIGGERED I
[000:47:21;238] HEAVY RAINS.
[000:47:24;808] POWERFUL STORMS YESTERDAY ALSO
[000:47:25;542] LEADING TO POWER OUTAGES TO MORE
[000:47:26;944] THAN 100,000 HOMES.
[000:47:31;648] >> WE HEARD A STRANGE NOISE.
[000:47:34;117] IT WAS LIKE A PILE OF BRICKS
[000:47:36;954] TUMBLING DOWN THE HILL.
[000:47:39;523] >> HE CAME IN THE BACK BEDROOM
[000:47:42;059] AND DOWN THROUGH THE HALLWAY
[000:47:44;361] THROUGH THE PATIO.
[000:47:46;063] >> HE CAME DOWN INTO ARGUABLY
[000:47:46;763] FAST.
[000:47:47;764] JULIE: MEANTIME CALIFORNIA
[000:47:49;333] GOVERNOR JERRY BROWN ISSUING AN
[000:47:50;734] EXECUTIVE ORDER TO LIFT A
[000:47:52;703] DROUGHT EMERGENCY FOR THE STATE
[000:47:55;672] BUT SINCE THE MEASURE DOESN'T
[000:47:56;373] REMOVE MOST OF THE RESTRICTIONS
[000:47:57;241] EXPERTS SAYING ONE RAINY WINTER
[000:47:59;276] WON'T CHANGE THE LONG-TERM
[000:48:02;779] OUTLOOK.
[000:48:03;113] THE MARINE CORPS DEMOTING TO
[000:48:04;681] MARINES IN CONNECTION WITH A
[000:48:06;717] NUDE PHOTO SCANDAL.
[000:48:08;952] THEY ARE ACCUSED OF POSTING
[000:48:10;654] NEGATIVE COMMENTS ABOUT A PHOTO
[000:48:12;122] OF A WOMAN ON A SOCIAL MEDIA
[000:48:14;057] SITE TO CURRENT AND FORMER
[000:48:15;459] FEMALE MARINES ARE NOW COMING
[000:48:17;060] FORWARD TO SAY PHOTOGRAPHS OF
[000:48:18;462] THEM ARE POSTED ON LINE WITHOUT
[000:48:19;196] THEIR CONSENT.
[000:48:20;497] TWO DOZEN OTHER MILITARY MEMBERS
[000:48:22;399] ARE ALSO UNDER INVESTIGATION.
[000:48:26;036] THE DEADLINE TO FILE YOUR TAXES
[000:48:27;604] IS LESS THAN TWO WEEKS AWAY.
[000:48:28;338] OFFICIALS HAVE A WARNING.
[000:48:29;740] THEY WARNED THE LATER YOU FILE,
[000:48:32;376] THE HIGHER THE RISK OF BECOMING
[000:48:33;677] A VICTIM OF IDENTITY THEFT, TAX
[000:48:37;147] FRAUD.
[000:48:37;447] HOW THE GOVERNMENT IS TRYING TO
[000:48:38;782] PREVENT THIS PLUS OHIO STATE
[000:48:41;385] UNIVERSITY WILL BE HONORING ONE
[000:48:43;020] OF THEIR STUDENTS WHO PASSED
[000:48:45;756] JUST MONTHS BEFORE GRADUATION IN
[000:48:48;558] A SPECIAL WAY.
[000:48:52;896] different.
[000:48:55;465] It works with the
[000:48:55;465] water in your body
[000:48:56;967] to hydrate
[000:48:56;967] and soften.
[000:48:57;968] Unblocking your
[000:48:57;968] system naturally.
[000:48:59;770] MiraLAX.
[000:49:03;273] that just tastes better.
[000:49:04;908] Fresher.
[000:49:05;509] More flavorful.
[000:49:06;977] Delicious.
[000:49:08;011] With more great nutrition.
[000:49:09;613] And 25% less saturated fat.
[000:49:11;848] Only Eggland's Best.
[000:49:13;450] Better taste.
[000:49:14;384] Better nutrition.
[000:49:15;419] Better eggs.
[000:49:18;288] [Student] I can just quit school
[000:49:18;288] and get a job.
[000:49:22;993] [Ex student] Daddy's
[000:49:22;993] here.
[000:49:23;827] [Wife] Hi
[000:49:29;499] [Dad] Hey buddy
[000:49:31;001] [Son] hey dad
[000:49:32;169] [Wife] I think we can do this.
[000:49:34;504] [Chancellor] Adam Baily.
[000:49:38;008] [Chancellor] Adam Baily.
[000:52:06;289] JULIE: OKAY SO IF YOU HAVEN'T
[000:52:08;125] YET FILED YOUR TAXES YOU ARE NOT
[000:52:08;925] ALONE BUT THE LONGER YOU WAIT
[000:52:10;427] AND HUGE DIDN'T KNOW THIS BUT
[000:52:14;631] YOU SHOULD KNOW THE MORE PRONE
[000:52:15;332] YOU ACTUALLY ARE BECOMING A
[000:52:16;633] VICTIM OF TAX FRAUD.
[000:52:17;934] NOW THE GOVERNMENT HAS NEW RULES
[000:52:20;804] THAT COULD PROVIDE MORE
[000:52:23;006] PROTECTION TO CONSUMERS BUT "FOX
[000:52:23;974] BUSINESS" NETWORKS LAUREN
[000:52:25;408] SIMONETTI HAS THE STORY.
[000:52:28;211] >> WEST ARE MORE $4 BILLION WERE
[000:52:30;046] LOST TO TAX FRAUD IN THE UNITED
[000:52:32;149] STATES.
[000:52:33;183] THE IRS CONFIRMS MORE THAN
[000:52:33;817] THREE-QUARTERS OF A MILLION
[000:52:34;985] FRAUDULENT RETURNS AND MORE THAN
[000:52:37;287] 230,000 PEOPLE FILED FORMAL
[000:52:41;024] AFFIDAVIT SAYING THEY WERE
[000:52:41;658] VICTIMS.
[000:52:42;826] IN ORDER TO LOWER THESE NUMBERS
[000:52:44;728] STATES ARE TAKING ACTIONS.
[000:52:47;264] STATE ISSUED I.D.s ARE
[000:52:49;332] REQUIRED ON NEW YORK ALABAMA AND
[000:52:52;569] OHIO TO ADD SECURITY.
[000:52:57;240] >> IT'S VERY POSSIBLE THAT
[000:53:01;444] SOMEONE MIGHT HAVE GOTTEN A HOLD
[000:53:02;812] OF YOUR SOCIAL SECURITY NUMBER
[000:53:07;651] AND EVEN YOUR NAME, YOUR ADDRESS
[000:53:09;920] AND OTHER PERSONAL INFORMATION
[000:53:12;389] DATA THAT THEY MIGHT NOT HAVE
[000:53:15;325] YOUR DRIVER'S LICENSE.
[000:53:17;794] >> MOST E. FILING OFF FOR
[000:53:24;367] OPTIONS STATING HE DID NOT NEED
[000:53:25;101] AN I.D. BUT SOME TAXPAYERS THAT
[000:53:25;835] YOU DON'T WANT TO PROVIDE THAT
[000:53:26;536] INFORMATION.
[000:53:27;003] >> IT'S A BIG CONCERN FOR
[000:53:27;904] TAXPAYERS BECAUSE IF YOU WERE TO
[000:53:29;172] WALK INTO MY OFFICE AND YOU HAVE
[000:53:31;975] NEVER SEEN ME BEFORE AS A NEW
[000:53:33;343] CLIENT AND THE FIRST THING I ASK
[000:53:35;111] YOU FOR IS YOUR SOCIAL SECURITY
[000:53:36;613] NUMBER, YOUR DATE OF EARTH AND
[000:53:39;182] NOW LET ME TAKE A PICTURE OF
[000:53:40;550] YOUR DRIVER'S LICENSE OR GATHER
[000:53:42;452] THE DATA FROM IT, THAT'S HUGE.
[000:53:47;023] >> AT THE FEDERAL LEVEL THE IRS
[000:53:48;291] IS ROLLING OUT PROGRAM AS WELL.
[000:53:51;828] >> THERE IS A 16 CHARACTER CODE
[000:53:53;230] ASSOCIATED WITH THAT.
[000:53:57;667] IT CHANGES EVERY YEAR AND WHEN
[000:54:00;303] YOU BE FILE YOUR TAXES YOU HAVE
[000:54:01;605] TO PUT IN THAT CODE SO CRIMINALS
[000:54:05;108] DON'T HAVE THAT CODE THEY ARE
[000:54:05;809] NOT GOING TO GET ANYWHERE.
[000:54:06;509] >> HE SAYS THERE'S NO WAY TO
[000:54:07;744] COMPLETELY STOP CRIMINALS BUT IF
[000:54:09;045] YOU FILE EARLY DON'T USE PUBLIC
[000:54:11;715] WI-FI TO ACCESS INFORMATION AND
[000:54:13;250] DON'T GIVE YOUR INFORMATION OUT
[000:54:14;851] OVER THE PHONE OR E-MAIL YOU ARE
[000:54:17;120] TAKING THE RIGHT PRECAUTIONS.
[000:54:20;890] >> SHRED YOUR DOCUMENTS THAT YOU
[000:54:22;192] NO LONGER NEED SECURELY
[000:54:24;961] THROUGHOUT THE DOCUMENT AND
[000:54:26;630] EIGHT -- TEXAS WAS IN THE EARLY
[000:54:27;931] YOU FILE THE LESS LIKELY YOU ARE
[000:54:30;667] TO BECOME A TAX FRAUD VICTIM AND
[000:54:32;569] SOMEONE RECEIVING YOUR REFUND TO
[000:54:34;271] THE TAX DEADLINE THIS YEAR'S
[000:54:35;372] APRIL 18.
[000:54:36;673] LAUREN SIMONETTI "FOX NEWS".
[000:54:40;844] JULIE: U.S. COAST GUARD
[000:54:41;444] SEARCHING FOR GEORGIA MAN WHO
[000:54:42;145] FELL OFF THE DECK OF A CRUISE
[000:54:42;846] SHIP YESTERDAY.
[000:54:43;847] 32 RICO SCOTT WAS ON A CARNIVAL
[000:54:45;649] CRUISE SHIP WITH HIS NEW WIFE ON
[000:54:48;785] THEIR HONEYMOON JUST OUTSIDE THE
[000:54:52;289] BAHAMAS.
[000:54:52;756] THEY WERE APPARENTLY RENEWING
[000:54:54;224] THEIR VOWS WHEN HE DISAPPEARED
[000:54:56;793] INTO THE OCEAN ABOUT 10 MILES
[000:54:59;429] WEST OF THE ISLANDS.
[000:55:01;665] THE SHIP PARTICIPATING IN THE
[000:55:03;300] SEARCH BUT HAS NOW RESUMED.
[000:55:05;368] WE ARE TOLD IT'S POSSIBLE HE
[000:55:06;603] JUMPED THE SHIP.
