[000:00:01;668] ARTICLES ABOUT MOMS.
[000:36:00;107] BACK, DELAYED, SOMETIMES NEVER
[000:36:01;909] HAPPEN.
[000:36:02;543] EARLIER THIS WEEK THE STATE
[000:36:04;011] DEPARTMENT REISSUED TRAVEL
[000:36:06;414] WARNING TO NORTH KOREA TELLING
[000:36:08;716] AMERICANS NOT TO GO THERE
[000:36:09;650] BECAUSE THOSE ARRESTED ARE
[000:36:11;052] TREATED BY THE WARTIME LAW OF
[000:36:13;788] NORTH KOREA.
[000:36:14;188] FOUR AMERICANS THERE NOW, SHEP.
[000:36:18;693] >> Shepard: RICH EDSON FROM THE
[000:36:21;195] STATE DEPARTMENT.
[000:36:21;729] LIKE WE NEEDED A WARNING NOT TO
[000:36:23;931] GO THERE.
[000:36:24;732] I DON'T KNOW.
[000:36:25;666] AND NOW AUTHOR OF "NUCLEAR SHOW
[000:36:28;436] DOWN TAKES ON THE WORLD", ARTHUR
[000:36:37;445] CHANG.
[000:36:37;778] WHERE ARE WE NORTH KOREA?
[000:36:39;413] LOOKS LIKE A MESS.
[000:36:40;715] >> YEAH, IT CONTINUES TO BE A
[000:36:42;950] MESS.
[000:36:43;251] THE TRUMP ADMINISTRATION IS
[000:36:44;218] CONSUMED BY THE COMEY FIRING.
[000:36:45;853] THEY'RE NOT PAYING ATTENTION TO
[000:36:47;388] NORTH KOREA.
[000:36:48;122] NOW YOU HAVE PUTIN MAKING
[000:36:49;490] COMMENTS ABOUT BEING A
[000:36:51;325] CONSTRUCTIVE FORCE.
[000:36:51;893] >> Shepard: YEAH WHAT DO YOU
[000:36:52;660] MAKE OF THIS?
[000:36:54;395] >> I DON'T THINK PUTIN WILL GET
[000:36:57;031] INVOLVED.
[000:36:57;398] THEY WEREN'T INVOLVED IN 2003.
[000:36:59;367] THEY WERE A MEMBER BUT NEVER
[000:37:01;869] PARTICIPATED.
[000:37:02;303] IF PUTIN -- LAST THING HE WANTS
[000:37:05;172] TO GET IN A COMPETITION ABOUT
[000:37:07;074] SUPPORTING NORTH KOREA.
[000:37:07;775] HE DOESN'T HAVE THE MONEY TO DO
[000:37:09;310] THAT OR THE INTEREST IN HIS FAR
[000:37:10;778] EAST.
[000:37:11;078] SO HE'S GOING TO SAY THINGS LIKE
[000:37:15;049] THIS BECAUSE THE SOUTH KOREAN
[000:37:16;584] PRESIDENT CALLS HIM.
[000:37:17;585] IT STROKES HIS EGO.
[000:37:19;954] THEY'RE NOT GOING TO BE TOO
[000:37:24;358] INVOLVED.
[000:37:24;725] >> Shepard: THE NORTH KOREAN SAY
[000:37:25;493] THEY'RE GOING TO DO A SIXTH
[000:37:27;228] NUCLEAR TEST.
[000:37:27;795] WHERE IS OUR LEVERAGE WITH CHINA
[000:37:29;230] AND HOW DO WE APPLY IT?
[000:37:30;998] >> OUR LEVERAGE IS, WE CAN
[000:37:34;402] UNPLUG CHINESE BANKS FOR MONEY
[000:37:36;270] LAUNDERING FROM THE CHINESE.
[000:37:37;438] WE HAVE NEVER DONE IT.
[000:37:38;873] PRESIDENT OBAMA THREATENED TO DO
[000:37:42;209] THAT IN SEPTEMBER.
[000:37:44;645] BUT HE NEVER CARRIED THROUGH.
[000:37:46;380] THE TRUMP ADMINISTRATION IS IN
[000:37:47;815] THIS COOPERATIVE FACE WITH
[000:37:49;350] CHINA.
[000:37:49;650] THEY'RE NOT THREATENING
[000:37:50;651] ANYTHING.
[000:37:51;018] WE DO HAVE IT.
[000:37:51;819] WE DON'T HAVE THE POLITICAL
[000:37:53;821] WILL.
[000:37:54;121] WE HAVE SO MUCH MORE LEVERAGE
[000:37:56;324] THAN CHINA THAN CHINA HAS OVER
[000:37:58;359] US BUT WE DON'T USE IT.
[000:38:00;962] IT'S A HOLD RIGHT NOW.
[000:38:02;363] >> Shepard: PRACTICALLY
[000:38:04;598] SPEAKING, I'M CURIOUS TO FIND
[000:38:06;767] OUT WHAT WILL HAPPEN IF THEY
[000:38:08;336] MAKE A SIXTH TEST.
[000:38:09;837] EVEN THE CHINESE HAVE WARNED
[000:38:11;439] THEM.
[000:38:11;739] >> THE CHINESE HAVE AND WILL
[000:38:13;374] POSE MORE PRESSURE ON THEM.
[000:38:16;744] THE BALL IS IN PRESIDENT TRUMP'S
[000:38:19;080] COURT.
[000:38:19;480] NORTH KOREA WON'T GET THE
[000:38:21;115] ABILITY TO LAND A NUKE ON
[000:38:22;616] U.S.
[000:38:22;917] HE HAS THREE OR FOUR YEARS TO
[000:38:24;919] STOP THEM.
[000:38:25;853] >> Shepard: WHERE DO WE GET THAT
[000:38:28;823] NUMBER?
[000:38:29;156] >> THAT'S THE NUMBER OF YEARS IT
[000:38:30;257] WOULD TAKE FOR NORTH KOREA TO
[000:38:31;559] DEVELOP THE TECHNOLOGY, THE HEAT
[000:38:36;731] SHIELDING TO PUT A NUCLEAR
[000:38:42;737] WARHEAD ON A BALLISTIC MISSILE.
[000:38:43;971] THEY HAVE NUKES FOR INTERMEDIATE
[000:38:46;574] RANGE MISSILES THAT CAN HIT
[000:38:48;709] JAPAN.
[000:38:49;010] BUT THEY CAN'T REALLY GET TOO
[000:38:51;078] FAR INTO THE AMERICAN HOMELAND.
[000:38:53;047] THAT'S THAT FOUR-YEAR TIME
[000:38:55;349] FRAME.
[000:38:55;916] PEOPLE SAY THREE, SOME SAY FIVE.
[000:38:57;752] IT'S REALLY CLOSE.
[000:38:59;453] PROBABLY WITHIN PRESIDENT
[000:39:01;155] TRUMP'S TERM.
[000:39:02;823] >> Shepard: IS PERCEIVED
[000:39:04;191] DISARRAY IN WASHINGTON, DOES
[000:39:06;560] THAT HAVE AN EFFECT ON NORTH
[000:39:10;431] KOREA RIGHT NOW?
[000:39:11;999] >> YES, WITH HISTORY AS A GUIDE.
[000:39:14;168] THEY THEY WE'RE NOT LOOKING OR
[000:39:15;736] WE'RE NOT IN A CAPACITY TO
[000:39:17;438] RESPOND.
[000:39:18;072] RIGHT NOW WITH THE FOE
[000:39:18;839] CONTRIBUTION ON DOMESTIC
[000:39:20;374] AFFAIRS, IT'S A PERFECT TIME FOR
[000:39:21;942] KIM JONG-UN TO SET OFF THAT
[000:39:24;178] SIXTH NUCLEAR TEST.
[000:39:25;479] HE WANTED TO NOT DO IT BEFORE
[000:39:27;014] MAY 9th.
[000:39:27;982] THAT'S THE SOUTH KOREAN
[000:39:29;917] ELECTION.
[000:39:30;284] HE DIDN'T WANT TO DERAIL THE
[000:39:32;219] CHANCES OF THE NEW PRESIDENT WHO
[000:39:33;888] IS PRO NORTH KOREA.
[000:39:35;156] NOW MOON HAS BEEN ELECTED.
[000:39:37;258] NORTH KOREA CAN SET THAT TEST
[000:39:38;626] OFF ANY TIME THEY THINK IS
[000:39:41;295] POLITICALLY ADVANTAGEOUS.
[000:39:43;464] I THINK THEY WILL WAIT A FEW
[000:39:45;332] WEEKS.
[000:39:45;900] WE'LL WAIT.
[000:39:47;001] >> Shepard: GORDON CHANG.
[000:39:48;702] THANKS.
[000:39:49;370] >> THANKS, SHEP.
[000:39:51;338] >> Shepard: AND MITCH McCONNELL
[000:39:56;077] SAID WOMEN CAN TALK PART IN ALL
[000:39:59;080] TALKS ON THE HEALTHCARE BILL.
[000:40:01;615] McCONNELL SAID THE MEETINGS ARE
[000:40:03;017] NOW OPEN TO ANY REPUBLICAN
[000:40:04;585] SENATOR THAT WANTS TO ATTEND.
[000:40:05;853] SENATE REPUBLICANS HAVE BEEN
[000:40:06;921] WORKING ON THE HEALTHCARE BILL
[000:40:08;656] SINCE THE HOUSE PASSED ITS
[000:40:10;157] VERSION LAST WEEK.
[000:40:10;891] MIKE EMANUEL IS ON CAPITOL HILL
[000:40:12;026] WITH AN UPDATE.
[000:40:13;294] MIKE?
[000:40:13;594] >> SHEP, GOOD AFTERNOON.
[000:40:14;862] I'M TOLD THE PRICE TAG AND
[000:40:16;597] IMPACT OF THE HOUSE HELD CARE
[000:40:17;765] BILL IS EXPECTED IN THE NEXT TEN
[000:40:19;867] DAYS OR SO, THE WEEK OF MAY 22
[000:40:22;436] FROM THE CONGRESSIONAL BUDGET
[000:40:25;072] OFFICE.
[000:40:25;406] MITCH McCONNELL HAS BEEN DOING
[000:40:27;141] OUTREACH TO WOMEN SENATORS
[000:40:28;676] ACCORDING TO SENATE SOURCES.
[000:40:30;945] McCONNELL AIDES SAY HE'S INVITED
[000:40:32;680] ALL SENATORS TO ATTEND
[000:40:34;515] HEALTHCARE WORKING GROUP
[000:40:36;283] MEETINGS AFTER TAKING HEAT THAT
[000:40:37;785] THE GROUP WAS MADE UP OF 13 MEN.
[000:40:40;154] >> LET ME TRY AGAIN.
[000:40:43;557] THERE IS NO PARTICULAR WORKING
[000:40:44;692] GROUP BECAUSE WE'RE MEETING --
[000:40:47;795] ALL 52 OF US HAVE LUNCH EVERY
[000:40:51;398] DAY.
[000:40:52;933] TUESDAY, WEDNESDAY AND THURSDAY.
[000:40:54;268] EVERYBODY IS AT THE TABLE.
[000:40:56;036] >> I DON'T KNOW WHAT THE BASIS
[000:40:58;539] WAS FOR MAKING UP THIS GROUP.
[000:41:02;076] REALLY IS UP TO THE LEADERS TO
[000:41:05;679] DECIDE WHOM THEY WANT.
[000:41:06;914] SO I'M NOT REALLY TROUBLED BY IT
[000:41:10;718] BECAUSE I'M GOING TO CONTINUE TO
[000:41:13;320] WORK WITH OTHER SENATORS AND
[000:41:19;560] PUSH FORWARD THE BILL THAT WE
[000:41:21;662] INTRODUCED.
[000:41:22;096] >> THERE'S CURRENTSLY FIVE
[000:41:25;332] REPUBLICAN WOMEN SENATORS AND
[000:41:26;634] THEY SOUND INTERESTED IN
[000:41:27;668] ATTENDING THE MEETINGS GOING
[000:41:29;236] FORWARD, SHEP.
[000:41:29;737] >> Shepard: WHAT ARE THE FOCUS
[000:41:30;938] POINTS OF THE HEALTHCARE TALKS,
[000:41:32;406] MIKE?
[000:41:32;706] >> I'M TOLD THE MAJOR AREAS OF
[000:41:34;475] DISCUSSIONS ARE DIVIDED INTO
[000:41:37;178] FOUR KEY GROUPS, MAJOR BUCKETS
[000:41:39;180] THEY'RE LOOKING AT.
[000:41:40;314] FOR EXAMPLE, MEDICAID EXPANDED
[000:41:42;216] UNDER OBAMACARE.
[000:41:43;551] WHAT DO THEY DO GOING FORWARD?
[000:41:46;353] THERE'S CONCERN ABOUT AN ABRUPT
[000:41:49;156] CUT OFF.
[000:41:50;224] TAX CREDITS TO HELP POOR PEOPLE
[000:41:52;259] AFFORD INSURANCE.
[000:41:52;860] INSURANCE REGULATIONS INCLUDING
[000:41:54;828] PRE-EXISTING CONDITIONS.
[000:41:55;462] MANY REGULATIONS ARE INCLUDED IN
[000:41:57;364] OBAMACARE, MANY REPUBLICANS WANT
[000:41:58;699] TO GET RID OF THEM.
[000:42:00;167] SOME ARE OBVIOUSLY CONCERNED
[000:42:01;635] ABOUT PEOPLE WITH PRE-EXISTING
[000:42:05;105] CONDITIONS.
[000:42:05;506] AND THEN INSURANCE MARKET
[000:42:06;607] STABILITY.
[000:42:06;974] MANY HEADLINES ABOUT INSURERS
[000:42:09;577] PULLING OUT OF OFFERING PLANS IN
[000:42:10;778] CERTAIN STATES.
[000:42:14;215] HOW DO YOU GET MORE COMPETITION
[000:42:15;583] FOR YOUR CONSTITUENTS?
[000:42:16;417] AS WE HEARD BEFORE, IT'S
[000:42:18;319] COMPLICATED.
[000:42:18;719] >> Shepard: THANKS, MIKE.
[000:42:19;753] IN OHIO TODAY, SIX CHILDREN ARE
[000:42:21;388] LIVING WITH A TERRIBLE NEW
[000:42:23;090] REALITY.
[000:42:23;624] THEIR FATHER, THE POLICE CHIEF,
[000:42:25;159] WILL NEVER WALK THROUGH THE DOOR
[000:42:26;994] AGAIN.
[000:42:27;294] HE RESPONDED TO A REPORT OF A
[000:42:28;896] GUNMAN AT A NURSING HOME.
[000:42:30;564] THE GUNMAN SHOT HIM DEAD.
[000:42:32;700] THAT BRAVE POLICE CHIEF WAS ONE
[000:42:33;901] OF THE VICTIMS THIS MORNING.
[000:42:36;503] AHEAD, THE EFFORT TO FIND OUT
[000:42:37;371] WHAT HAPPENED AND WHY.
[000:43:38;232] Hey, The Future,
[000:43:38;232] what's her problem?
[000:43:40;701] Apparently, I kept her up
[000:43:40;701] all night.
[000:43:42;236] She said The Future
[000:43:42;236] freaks her out.
[000:43:44;104] How come no one
[000:43:44;104] likes me, Jim?
[000:43:45;606] Intel does!
[000:43:46;707] Just think of everything
[000:43:46;707] Intel's doing right now
[000:43:48;375] with Artificial Intelligence.
[000:43:49;743] And pretty soon AI
[000:43:49;743] is going to help executives
[000:43:52;046] like her see trends to stay
[000:43:52;046] ahead of her competition.
[000:43:55;015] No more sleepless nights.
[000:43:57;418] - We're going to be friends!
[000:43:57;418] - I'm sorry about this.
[000:43:59;620] Don't be embarrassed
[000:43:59;620] of me, Jim.
[000:44:00;788] I'm getting excited
[000:44:00;788] about this!
[000:44:02;790] We know the future.
[000:44:03;624] We're going to be friends!
[000:44:04;591] Because we're building it.
[000:45:43;290] >> Shepard: BREAKING NEWS NOW.
[000:45:44;525] A GUNMAN SHOT AND KILLED A
[000:45:46;593] POLICE CHIEF BEFORE BURSTING
[000:45:47;494] INTO A NURSING HOME AND KILLING
[000:45:48;996] TWO STAFFERS.
[000:45:50;931] HAPPENED IN THE VILLAGE OF
[000:45:53;901] KIRKERSVILLE 25 MILES EAST OF
[000:45:55;269] COLUMBUS, THIS IS A LIVE LOOK
[000:45:56;403] NOW AS AUTHORITIES HAVE JUST
[000:45:58;739] BEGUN A NEWS CONFERENCE AT THE
[000:46:00;140] SHERIFF'S OFFICE THERE.
[000:46:01;442] INVESTIGATORS SAY THE POLICE
[000:46:02;176] CHIEF WAS RESPONDING TO A REPORT
[000:46:03;343] OF A MAN WITH A GUN.
[000:46:05;078] THE CHIEF RADIOED IN AS THE
[000:46:06;680] STORY GOES, THAT HE HAD THE
[000:46:08;582] SUSPECT IN HIS SIGHT.
[000:46:09;616] THAT HE WAS THE LAST IN HIS
[000:46:11;385] DEPARTMENT TO HEAR FROM HIM.
[000:46:12;886] THE SUSPECT IS DEAD.
[000:46:14;755] WE DON'T KNOW HOW HE DIED.
[000:46:17;925] THE CHIEF WAS JUST THREE WEEKS
[000:46:20;294] INTO THE JOB.
[000:46:21;795] HE HAD SIX CHILDREN.
[000:46:24;298] ANOTHER ONE ON THE WAY MATT FINN
[000:46:29;670] IS MONITORING THIS NEWS
[000:46:31;171] CONFERENCE.
[000:46:31;572] >> SHEP, RIGHT NOW POLICE ARE
[000:46:33;740] PROCESSING SEVERAL CRIME SCENES
[000:46:36;243] ATTACHED TO THE SHOOTING THAT
[000:46:37;978] ROCKED THE SMALL OHIO TOWN
[000:46:39;813] TODAY.
[000:46:40;113] ONE OF THE BIG QUESTIONS IS IF
[000:46:42;483] THERE WAS A CONNECTION BETWEEN
[000:46:43;984] THE SHOOTER AND THE EMPLOYEES
[000:46:46;320] THAT HAVE BEEN FOUND DEAD.
[000:46:48;689] THEY'RE ALSO INVESTIGATING A
[000:46:52;259] MOTIVE.
[000:46:52;793] POLICE SAY OTHER PEOPLE
[000:46:56;897] BARRICADED THEMSELVES IN ROOMS
[000:46:57;865] AND NO PATIENTS WERE HARMED.
[000:46:59;233] THE ENTIRE COMMUNITY IS
[000:47:02;402] GRIEVING.
[000:47:02;769] THE SENSELESS LOST OF THESE
[000:47:05;405] VICTIMS, A POLICE CHIEF, A
[000:47:06;540] FATHER OF SIX WHO HAD BEEN ON
[000:47:07;941] THE JOB A FEW WEEKS.
[000:47:08;909] THE COUNTY SHERIFF DESCRIBES THE
[000:47:12;212] BRAVERY OF THAT SHERIFF THAT RAN
[000:47:14;281] TOWARDS THE GUN FIRE.
[000:47:15;282] >> I'M SORRY TO RECORD TODAY
[000:47:17;784] THAT LINCOLN COUNTY HAS LOST A
[000:47:19;820] POLICE OFFICER, THE CHIEF OF
[000:47:23;724] KIRKERSVILLE, STEPHEN PROSARIO.
[000:47:26;426] HE ENGAGED THE SUBJECT.
[000:47:28;462] THE DEPUTIES WERE IN ROUTE TO
[000:47:29;997] BACK HIM UP.
[000:47:30;664] WHEN DEPUTIES ARRIVED, THEY
[000:47:33;000] DISCOVERED HIM IN THE STREET.
[000:47:34;668] >> AN ELEMENTARY SCHOOL JUST
[000:47:35;802] BLOCKS AWAY FROM THE SHOOTING
[000:47:38;005] WAS ON LOCK DOWN.
[000:47:39;373] THE STUDENTS WERE BUSSED TO THE
[000:47:42;242] MIDDLE SCHOOL WHERE PARENTS
[000:47:42;943] PICKED THEM UP EARLY.
[000:47:44;077] NO I.D. ON THE SHOOTER.
[000:47:47;180] REPORT PORTMAN AND THE OHIO
[000:47:49;516] GOVERNOR HAVE TWEETED OUT
[000:47:51;852] CONDOLENC
[000:47:55;689] CONDOLENCES.
[000:47:56;089] >> Shepard: MATT FINN, THANK
[000:47:56;823] YOU.
[000:47:57;090] >> AND THE MASSIVE CYBER ATTACK
[000:47:58;825] ACROSS THE WORLD TODAY HAS
[000:48:00;093] AFFECTED 74 COUNTRIES.
[000:48:02;029] OFFICIALS IN GREAT BRITAIN SAID
[000:48:03;397] IT HIT THEIR PUBLIC HEALTH
[000:48:04;698] SYSTEM, WHICH IT DID.
[000:48:05;832] THEN THE PRIME MINISTER, THERESA
[000:48:07;701] MAY, SAID THE ATTACK HAD A
[000:48:09;303] BIGGER IMPACT THAN THAT.
[000:48:10;604] IT REPORTEDLY INVOLVED A LEAKED
[000:48:13;073] HACKING TOOL FROM THE NATIONAL
[000:48:15;175] SECURITY AGENCY.
[000:48:16;043] THIS IS STILL DEVELOPING.
[000:48:17;778] 74 COUNTRIES AFFECTED.
[000:48:21;448] LOOKS LIKE 2,400 DIFFERENT
[000:48:24;518] VICTIMS IN THIS THING.
[000:48:25;986] WORD IS STILL COMING IN.
[000:48:27;387] WE'LL HAVE MORE FOR YOU AS WE
[000:48:28;789] GET IT.
[000:48:29;323] THE U.S. MARINES LAUNCHING A NEW
[000:48:31;491] TELEVISION ADD.
[000:48:32;025] THEY SAID THEY'RE TRYING TO ADD
[000:48:33;460] MORE WOMEN TO THE RANKS OF THE
[000:48:35;128] FEW AND THE PROUD.
[000:48:35;996] THAT'S NEXT.
[000:48:37;130] What's the best way to get
[000:49:07;594] two servings of veggies?
[000:49:08;662] V8 or a powdered drink?
[000:49:10;631] Ready, go.
[000:49:11;765] Ahhhhhhhh!
[000:49:11;765] Shake! Shake!
[000:49:11;765] Shake! Shake! Shake!
[000:49:15;168] Done!
[000:49:16;603] You gotta shake it!
[000:49:17;638] I shake it!
[000:49:18;505] Glad I had a V8.
[000:49:19;439] The original way
[000:49:19;439] to fuel your day.
[000:51:52;559] >> Shepard: THE U.S. MARINES HAS
[000:51:54;261] THE LOWEST PERCENTAGE OF ALL
[000:51:55;862] WOMEN IN THE MILITARY BRANCHES.
[000:51:58;031] LESS THAN 10% OF RECRUITS ARE
[000:51:59;966] WOMEN.
[000:52:00;267] NOW THE CORPS IS LAUNCHING A NEW
[000:52:02;803] NATIONAL TELEVISION AD TO TRY TO
[000:52:04;604] CHANGE THAT.
[000:52:05;572] TRACE GALLAGHER HAS THE NEWS.
[000:52:06;840] THIS IS BASED ON A REAL PERSON,
[000:52:10;110] THIS AD?
[000:52:10;911] >> IT IS.
[000:52:12;279] IT'S CALLED BATTLE UP AND REFERS
[000:52:15;015] A REAL-LIFE MARINE.
[000:52:17;818] THE AD BEGINS WITH A YOUNG GIRL
[000:52:20;187] BREAKING UP A FIGHT IN THE
[000:52:21;221] SCHOOL HALLWAYS AND FLASHES TO
[000:52:22;923] HER PLAYING RUGBY AND ENDS WITH
[000:52:24;825] HER PLAYING ON THE BATTLEFIELD.
[000:52:27;127] HERE'S THE AD.
[000:52:28;528] WATCH.
[000:52:28;829] >> NO ONE KNOWS WHERE IT COMES
[000:52:32;499] FROM.
[000:52:32;799] BUT SOME HAVE IT AND SOME DON'T.
[000:52:36;636] IT'S THE FIGHTING SPIRIT.
[000:52:39;372] IT CONSUMES FEAR AND WEAKNESS.
[000:52:42;142] >> AND DEMCO SAYS FILMING WAS
[000:52:47;781] TOUGH BECAUSE SHE WAS SUBMERGED
[000:52:49;749] HOLDING A RIFLE IN THE WATER AND
[000:52:51;685] COATED WITH A LAYER OF ICE.
[000:52:54;588] SHE'S NOW IN OKINAWA, JAPAN.
[000:53:01;595] THERE'S 83,000 MARINES AND 8%
[000:53:05;265] ARE WOMAN.
[000:53:05;732] BUT THEY HOPE BY 2019, 10% WILL
[000:53:08;401] BE WOMANS.
[000:53:10;871] SHEP?
[000:53:11;605] >> Shepard: SEEMS LIKE THE
[000:53:13;807] MARINES NOT LONG AGO THEY WERE
[000:53:15;375] COMPLAINING ABOUT WOMEN IN THE
[000:53:18;044] RANKS.
[000:53:18;378] >> YEAH, IN 2015 THEY
[000:53:22;315] COMPLAINED.
[000:53:22;716] AND SECRETARY DEFENSE ASH CARTER
[000:53:27;020] THAT DISMISSED THEIR CLAIMS AND
[000:53:29;122] SINCE THEN, 74% OF WOMEN HAVE
[000:53:32;025] MOVED TO MARINE COMBAT
[000:53:35;362] POSITIONS.
[000:53:35;729] THE MARINES HAD A SCANDAL WHEN A
[000:53:38;665] FACEBOOK PAGE CALLED MARINES
[000:53:40;767] UNITED WENT PUBLIC.
[000:53:42;602] THEY USED THE PAGE TO CHAT,
[000:53:45;305] SHARE AND EGG EACH OTHER ON
[000:53:48;341] ABOUT POSTING NUDE PHOTOS AND
[000:53:50;043] SOMETIMES CALLING THE WOMEN OUT
[000:53:51;077] BY NAME OR WHERE THEY WERE
[000:53:52;545] BASED.
[000:53:52;846] AFTER THE NAVY INVESTIGATED,
[000:53:55;148] THERE WERE NUMEROUS LEVELS OF
[000:53:56;683] DISCIPLINE HANDED OUT INCLUDING
[000:53:58;518] SEVERAL DEMOTIONS.
[000:53:59;819] THE MARINES REWROTE THEIR SOCIAL
[000:54:02;355] MEDIA POLICY.
[000:54:03;390] SHEP.
[000:54:03;690] >> Shepard: THANKS, TRACE.
[000:54:04;824] NASA ASTRONAUTS PERFORMING A
[000:54:07;460] MILESTONE 200th SPACEWALK AT THE
[000:54:09;763] INTERNATIONAL SPACE STATION
[000:54:10;597] TODAY.
[000:54:10;897] A WATER LEAK CUT IT SHORT.
[000:54:13;533] NASA OFFICIALS SAY THE LEAK CAME
[000:54:14;834] FROM A HOST ATTACHED TO JACK
[000:54:17;837] FISHER'S SPACESUIT.
[000:54:18;939] IT HAPPENED IN HIS FIRST
[000:54:21;007] SPACEWALK.
[000:54:21;374] NASA OFFICIALS SAY FISHER AND
[000:54:24;344] PEGGY WHITSON WILL STILL ABLE TO
[000:54:27;847] REPLACE A FAULTY ELECTRONICS
[000:54:30;417] BOX.
[000:54:31;351] WHITSON HOLDS THE REPORT FOR
[000:54:32;686] MORE SPACE WALKS THAN ANY OTHER
[000:54:34;554] WOMEN.
[000:54:34;854] THIS WAS HER NINTH.
[000:54:36;089] THE POPE WAS IN PORTUGAL WHERE
[000:54:39;426] HE'S SET TO NAME TWO NEW SAINTS
[000:54:41;828] TOMORROW.
[000:54:42;195] IT WILL HAPPENED IN A SHRINE IN
[000:54:45;966] FATIMA.
[000:54:46;399] OFFICIALS SAY THEY EXPECT A
[000:54:47;734] MILLION PEOPLE TO VISIT JUST
[000:54:49;135] THIS WEEKEND.
[000:54:51;137] ACCORDING TO THE CATHOLIC
[000:54:52;472] CHURCH, THE POPE WILL CANNONIZE
[000:54:54;207] TWO CHILDREN THAT SAID THE
[000:54:55;608] VIRGIN MARY APPEARED TO THEM 100
[000:55:01;581] YEARS AGO.
[000:55:01;982] POPE FRANCIS ARRIVING IN AN AIR
[000:55:04;918] BASE.
[000:55:05;218] CROWDS OF PEOPLE GREETED HIM
[000:55:07;287] THERE.
[000:55:07;587] HERE'S THE POPE TOUCHING A
[000:55:09;222] CHILD'S FOREHEAD AT THE BASE.
[000:55:10;824] THE PRESIDENT OF PORTUGAL
[000:55:12;659] GREETING THE PONTIFF.
[000:55:13;626] THEY MET TOGETHER PRIVATELY AT
[000:55:15;795] THE AIR BASE.
[000:55:18;832] HERE'S A PHOTO OF THE POPE
[000:55:21;468] PRAYING AT FATIMA.
[000:55:24;204] THIS NUN WAVING A SOUTH AFRICAN
[000:55:27;907] FLAG AS SHE WAITS FOR THE POPE.
[000:55:29;542] AN AMERICAN PILOT BECAME THE
[000:55:32;645] FIRST WOMAN TO FLY AROUND THE
[000:55:34;481] WORLD'S BIGGEST OCEAN AND
[000:55:35;849] HAPPENED IN THIS DAY IN HISTORY.
[000:55:52;232] A naturally aspirated
[000:55:52;232] 5.0-liter V8 engine.
[000:55:56;569] A 10-speed Direct-Shift
[000:55:56;569] transmission.
[000:55:59;572] A meticulously
[000:55:59;572] crafted interior.
[000:56:02;075] All of these are feats
[000:56:02;075] of engineering.
[000:56:04;577] Combining them with
[000:56:05;745] near-perfect weight
[000:56:05;745] distribution...
[000:56:07;914] ...is a feat of amazing.
[000:56:10;350] Experience the first-ever
[000:56:11;584] 471-horsepower
[000:56:11;584] Lexus LC 500
[000:56:15;155] or the Multistage
[000:56:15;155] Hybrid LC 500h.
[000:56:18;491] Experience Amazing.
[000:56:24;097] (announcer VO)
[000:56:24;097] there's a moment of truth.etes,
[000:56:28;568] And now with Victoza®
[000:56:30;003] a better moment of proof.
[000:56:37;610] Victoza® lowers my A1C
[000:56:37;610] and blood sugar
[000:56:40;280] better than
[000:56:40;280] the leading branded pill,
[000:56:42;215] which didn't get me to my goal.
[000:56:45;285] Lowers my A1C better
[000:56:46;820] than the leading
[000:56:46;820] branded injectable.
[000:56:48;455] The one I used to take.
[000:56:54;360] And better than that
[000:56:54;360] diabetes pill I used to take.
[000:57:00;133] (Jeff)
[000:57:00;133] Victoza® works with your body
[000:57:01;768] to lower blood sugar
[000:57:01;768] in three ways--
[000:57:03;970] in the stomach, the liver,
[000:57:05;205] and the pancreas.
[000:57:08;575] And while it
[000:57:08;575] isn't for weight loss,
[000:57:10;043] Victoza® may help you
[000:57:10;043] lose some weight.
[000:57:15;248] Non-insulin Victoza® comes in
[000:57:15;248] a pen and is taken once a day.
[000:57:19;686] (announcer VO)
[000:57:19;686] Victoza® is not recommended
[000:57:21;321] as the first medication
[000:57:21;321] to treat diabetes,
[000:57:23;556] and is not for people
[000:57:23;556] with type 1 diabetes
[000:57:25;859] or diabetic ketoacidosis.
[000:57:28;261] Do not take Victoza® if you have
[000:57:28;261] a personal or family history
[000:57:30;964] of medullary thyroid cancer,
[000:57:32;732] Multiple Endocrine Neoplasia
[000:57:32;732] syndrome type 2,
[000:57:35;368] or if you are allergic
[000:57:35;368] to Victoza®
[000:57:36;870] or any of its ingredients.
[000:57:38;872] Stop taking Victoza®
[000:57:38;872] and call your doctor right away
[000:57:41;274] if you get a lump or swelling
[000:57:41;274] in your neck
[000:57:43;209] or if you develop any allergic
[000:57:43;209] symptoms including itching,
[000:57:45;778] rash, or difficulty breathing.
[000:57:47;780] Serious side effects may happen,
[000:57:47;780] including pancreatitis.
[000:57:51;251] So, stop taking Victoza®
[000:57:51;251] and call your doctor right away
[000:57:54;087] if you have severe pain
[000:57:54;087] in your stomach area.
[000:57:56;689] Tell your doctor
[000:57:56;689] your medical history.
[000:57:58;558] Taking Victoza® with
[000:57:58;558] a sulfonylurea or insulin
[000:58:01;094] may cause low blood sugar.
[000:58:03;096] The most common side effects
[000:58:03;096] are headache, nausea,
[000:58:05;398] diarrhea, and vomiting.
[000:58:07;567] Side effects
[000:58:07;567] can lead to dehydration,
[000:58:09;335] which may cause kidney problems.
[000:58:11;004] Now's the time for
[000:58:12;272] a better moment of proof.
[000:58:13;973] Ask your doctor about Victoza®.
