[000:00:00;383] THERE.
[000:27:52;287] >> TAKE HIM AND ROCK HIM IN MY
[000:27:53;388] ARMS, SAY IT'S OKAY, YOU WANT
[000:27:54;956] MOMMY TO SING ME A SONG?
[000:27:57;625] HE SAYS, SING BRAND NEW ME.
[000:27:58;693] >> CAN YOU GIVE US A BAR?
[000:28:05;633] ♪ IT'S BEEN A WHILE
[000:28:09;738] I'M NOT WHO I WAS BEFORE
[000:28:11;106] ♪ YOU LOOK SURPRISED
[000:28:16;211] BEEN MEANING TO TELL YOU ♪
[000:28:18;146] ♪ BUT I GUESS IT'S CLEAR TO SEE
[000:28:21;049] ♪ DON'T BE MAD
[000:28:22;050] ♪ IT'S JUST A BRAND NEW KIND OF
[000:28:25;520] ME ♪
[000:28:25;954] >> THAT'S FOR THE LITTLE GUY AND
[000:28:26;654] FOR ME.
[000:28:27;088] THANK YOU.
[000:28:27;589] >> AND SO WE CHOOSE ALICIA KEYS
[000:28:29;190] WORKING TOWARDS AN AIDS FREE
[000:28:29;858] GENERATION.
[000:28:30;759] WHAT A VOICE.
[000:28:31;793] SEE YOU LATER TONIGHT ON
[000:28:32;827] "20/20."
[000:28:33;928] DIANE SAWYER RIGHT BACK HERE
[000:28:34;996] MONDAY NIGHT.
[000:28:45;373] >>> TONIGHT LIVE TEAM COVERAGE
[000:28:46;775] ON THE RIM FIRE NEAR YOSEMITE
[000:28:49;043] FORCING HUNDREDS OUT.
[000:28:51;146] >> FROM A SAN FRANCISCO
[000:28:52;514] COMMAND CENTER TONIGHT HOW THE
[000:28:54;549] FIRE CUTOFF POWER SUPPLY TO
[000:28:56;551] MUNI WHAT IT COULD DO TO
[000:28:59;020] WATERS.
[000:28:59;354] >> ONLY ON 7 TONIGHT A PEEK
[000:29:01;656] INSIDE OF THE NEW CALDECOTT
[000:29:03;391] TUNNEL.
[000:29:03;792] THE OTHER BIG HIGHWAY PROJECT
[000:29:06;628] ALMOST READY TO GO AND HOW
[000:29:08;630] GOOGLE'S GADGET OF THE FUTURE
[000:29:10;265] HAS BECOME A GAME CHANGER FOR
[000:29:11;766] A LOCAL WOMAN WHO HAS DOUM
[000:29:13;935] DEPEND ON IT.
[000:29:17;906] >> WE HAVE EVERYTHING LOADED
[000:29:19;674] AND READY ON TRAILERS AND
[000:29:21;209] STUFF TO GO IF WE NEED TO GO.
[000:29:23;178] EVERYBODY IS ON HIGH ALERT.
[000:29:26;047] >> VAC WAIGSS ARE NOW
[000:29:27;615] MANDATORY IN SOME
[000:29:29;150] NEIGHBORHOODS NEAR YOS STIM
[000:29:30;318] WHERE THE FIRE MAY QUICKLY
[000:29:32;620] BECOME ONE OF THE BIGGEST IN
[000:29:34;389] CALIFORNIA HISTORY.
[000:29:34;989] GOOD EVENING, I'M CHERYL
[000:29:35;657] JENNINGS.
[000:29:38;460] >> MORE THAN 100,000 ACRES THE
[000:29:42;130] RIM FIRE IS THE 20th LARGEST
[000:29:44;666] WILDFIRE ON RECORD DATING BACK
[000:29:46;401] TO 1932.
[000:29:47;602] WITH JUST 2% CONTAINMENT IT'S
[000:29:50;872] CERTAIN TO CERTAIN TO RISE ON
[000:29:51;573] THAT LIST.
[000:29:52;740] NOW, IT KURNS AN AREA BESIDE
[000:29:55;844] THE CITY OF SAN JOSE.
[000:29:57;712] EVACUATIONS ARE MANDATORY FOR
[000:29:59;614] HUNDREDS ON THE WESTERN FLANK
[000:30:00;849] OF THE FIRE AND RECOMMENDED
[000:30:02;617] FOR PEOPLE ABOUT FIVE MILES
[000:30:03;918] FROM THE FIRE LINES.
[000:30:13;061] NANNETTE?
[000:30:13;428] >> THERE SEEMS TO BE NO END IN
[000:30:15;029] SITE.
[000:30:15;363] THE FIRE BURNED AN AREA THREE
[000:30:16;998] TIMES THE SIZE OF SAN
[000:30:18;933] FRANCISCO IN SIX DAYS.
[000:30:21;336] >> IT'S JUST PEERING NORTH.
[000:30:28;776] >> LARGE PLUMES OF SMOKE ARE
[000:30:31;112] THE SIGNS THE RIM FIRE IS NOW
[000:30:35;183] BURNING OUT OF CONTROL.
[000:30:38;152] 105,000 ACRES HAVE BURNED.
[000:30:41;289] >> FIRE BEHAVIOR IS EXTREME.
[000:30:44;859] DRY FUELS.
[000:30:50;899] SECOND IS A TINDER DRY.
[000:30:53;334] >> FROM GROUND CREWS WHAT THAT
[000:30:56;504] HAD TO WORK HARDER.
