[000:00:01;334] JOINING US.
[000:38:18;329] THE PRESIDENT IS, AS JAMES COMEY
[000:38:23;334] ADMITTED ON WEDNESDAY, WITHIN
[000:38:24;035] HIS RIGHT TO FIRE THE FBI
[000:38:26;871] DIRECTOR AT ANY POINT IN TIME.
[000:38:37;114] THE SUBSEQUENT MESSAGE FROM THE
[000:38:37;848] WHITE HOUSE HAS GOTTEN THE
[000:38:38;482] PRESIDENT INTO HOT WATER BECAUSE
[000:38:39;216] ON TUESDAY NIGHT HIS AIDES WENT
[000:38:39;950] ON TV AND SAID IT'S TIME FOR THE
[000:38:40;685] RUSSIAN INVESTIGATION TO STOP
[000:38:41;385] AND ON THURSDAY, HE SAID THE
[000:38:42;053] RUSSIAN INVESTIGATION PLAYED A
[000:38:42;753] PART IN THAT.
[000:38:44;088] NOW, IF THE PRESIDENT, I DON'T
[000:38:45;690] SEE ANYTHING HAPPENING TO THE
[000:38:48;726] PRESIDENT FOR SAYING THAT.
[000:38:52;129] HOWEVER, IF JAMES COMEY WERE TO
[000:38:52;863] GO OUT AND SAY YES, THE
[000:38:55;766] PRESIDENT TRIED TO OBSTRUCT
[000:38:57;435] JUSTICE AND INTERFERE, THAT'S A
[000:38:58;169] MAJOR PROBLEM.
[000:38:58;602] AT THE SAME TIME WE ARE ALSO
[000:39:00;237] SEEING REPUBLICANS AND THE
[000:39:05;076] COUNTRY AS A WHOLE SHOWS VERY
[000:39:09;280] LITTLE ATTENTION BEING PAID TO
[000:39:12;316] THIS IN COMPARISON.
[000:39:13;451] LAURA: THE MILLION-DOLLAR
[000:39:16;087] QUESTION, HE IS GOING TO PICK A
[000:39:18;389] NEW PERSON.
[000:39:20;024] WHAT KIND OF PERSON SHOULD HE
[000:39:20;725] PICK?
[000:39:21;892] WHO WILL HEAT PICK?
[000:39:24;562] >> TWO VERY DIFFERENT QUESTIONS.
[000:39:29;734] I THINK HE SHOULD PICK SOMEONE
[000:39:30;534] OF INDEPENDENCE, NO TIES TO
[000:39:31;202] POLITICS, SOMEONE LIKE RAY
[000:39:32;737] KELLY, MIKE LEE OF UTAH
[000:39:37;074] SUGGESTED MERRICK GARLAND, THE
[000:39:39;310] JUDGE NOMINATED BY THE DEMOCRA
[000:39:40;644] DEMOCRATS, SOME OF THE LIKE THAT
[000:39:41;379] WOULD BE IDEAL.
[000:39:43;414] MY PREDICTION HE WILL PICK JOHN
[000:39:45;716] CORNYN, THE TEXAS SENATOR WHO
[000:39:46;717] HAS BEEN A LOYAL DEFENDER OF
[000:39:47;551] PRESIDENT TRUMP THROUGH THE
[000:39:49;353] WHOLE INVESTIGATION.
[000:39:53;457] >> DOUG JUST BIT ON THE MERRICK
[000:39:54;892] HARLAND BAIT BECAUSE AS
[000:39:58;262] REPUBLICANS WE WOULD ABSOLUTELY
[000:40:00;965] SUPPORT THAT.
[000:40:01;732] THE PRESIDENT WANTS SOMEONE WHO
[000:40:03;634] CAN PASS 100 - 0.
[000:40:08;272] THE PEOPLE WHO ARE BEING
[000:40:08;873] MENTIONED ARE ALL VERY QUALIFIED
[000:40:09;607] AND CAPABLE.
[000:40:11;075] I AGREE WITH DOUG THAT JOHN
[000:40:16;247] CORNYN WOULD BE A FANTASTIC
[000:40:16;914] PICK.
[000:40:17;214] HE HAS THE RESPECT OF THE SENATE
[000:40:18;048] ON BOTH SIDES OF THE AISLE AND
[000:40:18;749] HE UNDERSTANDS LAW-ENFORCEMENT
[000:40:19;450] AS WELL AS HOW TO WORK WITH
[000:40:21;152] CAPITOL HILL AND OTHERS.
[000:40:22;186] LAURA: THANK YOU SO MUCH FOR
[000:40:22;853] BEING HERE.
[000:40:23;287] ALWAYS INTERESTING.
[000:40:25;589] IT WILL BE A VERY BIG WEEK.
[000:40:29;827] WE WANT TO REMIND YOU TO TURN IN
[000:40:30;928] LATER FOR JUDGE JEANINE'S
[000:40:33;130] CONVERSATION WITH TRUMP WHERE HE
[000:40:34;932] ADDRESSES HIS REMARKS ABOUT
[000:40:44;008] ENDING LIVE WHITE HOUSE PRESS
[000:40:44;708] BRIEFINGS.
[000:40:45;142] >> WHEN WE HAVE THOSE PRESS
[000:40:45;810] CONFERENCES, I ACTUALLY SAID WE
[000:40:46;544] SHOULDN'T HAVE THEM BECAUSE
[000:40:47;878] SARAH HUCKABEE --
[000:40:50;481] >> FOR A HUNDRED YEARS WE BEEN
[000:40:51;182] DOING THEM.
[000:40:51;649] >> BUT THERE'S NEVER BEEN ACTION
[000:40:52;383] LIKE THIS.
[000:40:52;750] THIS IS CRAZY.
[000:40:54;251] THERE ARE HIGHER RATINGS ON
[000:40:56;554] THOSE PRESS CONFERENCES --
[000:41:00;257] >> WOULD YOU SERIOUSLY CONSIDER
[000:41:00;991] STOPPING THOSE PRESS
[000:41:01;525] CONFERENCES.
[000:41:01;992] >> WE WOULD DO IT IN A DIFFERENT
[000:41:02;726] WAY.
[000:41:03;127] A PIECE OF TAPE OR WITH A
[000:41:05;830] PERFECTLY ACCURATE BEAUTIFUL
[000:41:07;832] ANSWER.
[000:41:12;436] >> IN WRITING?
[000:41:13;037] >> THEY ARE ASKED A HUNDRED
[000:41:13;704] QUESTIONS OR 50 QUESTIONS OR 20
[000:41:14;438] QUESTIONS.
[000:41:15;873] IF THEY GET ONE OUT OF 50 AND
[000:41:21;212] IT'S JUST A LITTLE BIT OFF, FIVE
[000:41:21;946] OR 10%, THE NEXT DAY IT'S A
[000:41:23;013] FRONT-PAGE STORY IN EVERY
[000:41:25;049] NEWSPAPER.
[000:41:26;650] PRESS CONFERENCES WEREN'T EVEN
[000:41:27;351] COVERED FOR OBAMA.
[000:41:27;852] THEY WERE ON C-SPAN AND C-SPAN
[000:41:29;887] TO AND THERE WAS NOTHING GOING
[000:41:31;856] ON.
[000:41:34;325] THESE PRESS CONFERENCES LIKE THE
[000:41:37;695] THING ON DAYTIME TELEVISION.
[000:41:39;630] THEY'RE BLOWING AWAY EVERYTHING
[000:41:41;532] ON DAYTIME TELEVISION.
[000:41:45;236] WHAT I WOULD LOVE TO DO IS STOP
[000:41:47;438] THEM.
[000:41:48;873] LAURA: SEE THE REST OF THAT
[000:41:51;275] CONVERSATION ON JUSTICE WITH
[000:41:53;477] JEANINE, JUDGE JEANINE,
[000:41:54;178] 9:00 P.M. EASTERN RIGHT HERE ON
[000:41:57;915] THE FOX NEWS CHANNEL.
[000:42:02;319] A 39-YEAR-OLD POLITICAL OUTSIDER
[000:42:03;053] BECAME THE YOUNGEST PRESIDENT IN
[000:42:03;787] FRENCH HISTORY.
[000:42:04;255] WHAT HE VOWED TO DO IN FRONT OF
[000:42:06;190] A DIVIDED NATION IN HIS
[000:42:08;158] INAUGURATION SPEECH.
[000:42:12;429] AND NEARLY 400 FALLEN OFFICERS
[000:42:13;130] HONORED IN A SPECIAL VIGIL IN
[000:42:14;198] WASHINGTON D.C.
[000:42:17;034] THAT STORY, STRAIGHT AHEAD.
[000:42:23;207] >> IT'S BETTER TO LIGHT ONE
[000:42:23;874] CANDLE THAN TO CURSE THE
[000:42:24;475] DARKNESS.
[000:42:25;910] TONIGHT WE WILL ALL BE LIGHTING
[000:42:30;614] A CANDLE AND LET'S CARRY THE
[000:42:31;282] LIGHT OF THAT CANDLE TO OUR
[000:42:31;949] FAMILIES AND COMMUNITIES AND
[000:42:33;250] SYNAGOGUES AND CHURCHES AND
[000:42:33;918] MOSQUES
[000:42:34;051] MORE PEOPLE THAN EVER
[000:42:35;286] ARE MAKING THE MOVE TO NISSAN.
[000:42:39;890] BECAUSE OF ROGUE,
[000:42:40;858] THE BEST SELLING SUV IN AMERICA.
[000:42:45;129] TITAN, WITH AMERICA'S BEST
[000:42:45;129] TRUCK WARRANTY.
[000:42:49;767] AND THE MOST ADVANCED
[000:42:50;768] SAFETY FEATURES ON ALITMA
[000:42:52;036] AND OUR BEST SELLING MODELS.
[000:42:56;173] THAT'S WHY WE'RE AMERICA'S
[000:42:57;374] FASTEST-GROWING AUTO BRAND.
[000:42:59;310] GET 0% FINANCING
[000:43:00;477] FOR UP TO 72 MONTHS
[000:43:01;445] ON 11 MODELS.
[000:43:02;246] ♪
[000:43:06;550] Imagine if the things you
[000:43:06;550] bought every day
[000:43:09;186] earned you miles to
[000:43:09;186] get to the places
[000:43:10;854] you really want to go.
[000:43:12;389] With the United MileagePlus
[000:43:12;389] Explorer Card,
[000:43:14;858] you'll get a free checked bag,
[000:43:17;227] 2 United Club passes...
[000:43:19;897] Priority boarding...
[000:43:21;966] and 50,000 bonus miles.
[000:43:24;635] Everything you need
[000:43:26;236] for an unforgettable vacation.
[000:43:28;405] The United MileagePlus
[000:43:28;405] Explorer Card.
[000:43:30;574] Imagine where it will take you.
[000:44:34;838] If you have moderate
[000:44:36;340] to severe plaque psoriasis,
[000:44:38;909] isn't it time
[000:44:40;444] to let the real you
[000:44:40;444] shine through?
[000:44:44;114] Introducing Otezla, apremilast.
[000:44:46;784] Otezla is not an injection
[000:44:48;352] or a cream.
[000:44:49;953] It's a pill that treats
[000:44:49;953] plaque psoriasis differently.
[000:44:52;389] Some people who took Otezla
[000:44:54;024] saw 75% clearer skin
[000:44:54;024] after 4 months.
[000:44:57;094] And Otezla's
[000:44:57;094] prescribing information
[000:44:59;096] has no requirement for
[000:44:59;096] routine lab monitoring.
[000:45:01;732] Don't take Otezla
[000:45:01;732] if you are allergic
[000:45:03;667] to any of its ingredients.
[000:45:05;135] Otezla may increase
[000:45:05;135] the risk of depression.
[000:45:07;404] Tell your doctor
[000:45:07;404] if you have a history
[000:45:08;872] of depression
[000:45:08;872] or suicidal thoughts,
[000:45:10;674] or if these feelings develop.
[000:45:12;509] Some people taking Otezla
[000:45:12;509] reported weight loss.
[000:45:15;179] Your doctor should
[000:45:15;179] monitor your weight
[000:45:16;547] and may stop treatment.
[000:45:18;148] Side effects
[000:45:18;148] may include
[000:45:18;148] diarrhea, nausea,
[000:45:20;150] upper respiratory
[000:45:20;150] tract infection,
[000:45:21;552] and headache.
[000:45:22;886] Tell your doctor
[000:45:24;188] about all the
[000:45:24;188] medicines you take,
[000:45:25;589] and if you're pregnant
[000:45:25;589] or planning to be.
[000:45:27;057] Ask your dermatologist
[000:45:27;057] about Otezla today.
[000:45:30;794] Otezla.
[000:45:30;794] Show more of you.
[000:45:53;951] LAURA: NATIONAL POLICE WEEK IS
[000:45:55;986] UNDERWAY AS THE COUNTRY HONORS
[000:45:58;922] FALLEN POLICE OFFICERS.
[000:45:59;590] FLAGS FLYING HALF STAFFED AT THE
[000:46:02;493] WHITE HOUSE.
[000:46:05;429] THEY ARE KICKING OFF THE WEEK OF
[000:46:06;163] REMEMBRANCE WITH THE VIGIL,
[000:46:07;965] SATURDAY, RECOGNIZING 400
[000:46:10;634] OFFICERS KILLED IN THE LINE OF
[000:46:11;335] DUTY.
[000:46:12;369] EACH NAME READ ALOUD DURING THE
[000:46:13;103] CEREMONY.
[000:46:13;470] ATTORNEY GENERAL JEFF SESSIONS
[000:46:16;173] HAD THIS TO SAY.
[000:46:17;975] >> EACH OF THESE OFFICERS WAS
[000:46:21;612] MORE THAN JUST A NAME.
[000:46:23;614] THEY WERE PERSONS WHO MEANT THE
[000:46:27;651] WHOLE WORLD TO SOMEONE, TO A
[000:46:31;488] PARENT, SIBLING, SPOUSE OR A
[000:46:32;156] CHILD.
[000:46:32;956] WE ALSO REMEMBER THE ZEROS
[000:46:34;892] BECAUSE THAT IS OUR WAY OF
[000:46:38;495] REPAIRING A DEBT THAT CAN NEVER
[000:46:40;330] BE FULLY REPAID.
[000:46:45;435] >> 143 OF THE OFFICERS DIED LAST
[000:46:47;771] YEAR WHILE THE OTHER 251 DIED
[000:46:49;973] BEFORE 2016.
[000:46:53;110] LAURA: EMMANUEL MACRON
[000:46:54;545] OFFICIALLY BECOMING THE YOUNGEST
[000:46:57;314] PRESIDENT IN FRENCH HISTORY.
[000:46:58;015] VOTERS LOOKING ON AS THE
[000:47:00;250] 39-YEAR-OLD IS SWORN IN AND LEFT
[000:47:02;753] THE MESSAGE OF ENCOURAGEMENT IN
[000:47:04;688] HIS INAUGURATION SPEECH.
[000:47:07;024] >> I AM VERY PROUD TODAY TO
[000:47:08;125] PARTICIPATE IN THE INAUGURATION
[000:47:10;027] OF EMMANUEL MACRON BECAUSE HE
[000:47:14;932] REPRESENTS A HOPE FOR ME.
[000:47:16;400] >> I HADN'T VOTED FOR HIM BUT I
[000:47:17;367] AM CONFIDENT AND HOPE HE WILL BE
[000:47:20;170] A GOOD PRESIDENT.
[000:47:21;939] >> THE 39-YEAR-OLD LYRICAL
[000:47:24;308] OUTSIDER BOWED TO REFORM THE
[000:47:26;610] FRENCH ECONOMY AND TO RESTORE
[000:47:30;647] FRANCE'S STANDING IN THE WORLD.
[000:47:34;051] EMMANUEL MACRON IS A FOREIGN
[000:47:35;485] INVESTMENT BANKER AND ALSO THE
[000:47:40;591] FRENCH PRESIDENT ELECTED OUTSIDE
[000:47:45;762] THE TWO MAINSTREAM PARTIES.
[000:47:46;430] HE IS AN UNAPOLOGETIC SUPPORTER
[000:47:47;231] OF THE EUROPEAN UNION AND WILL
[000:47:50;367] MEET WITH CHANCELLOR ANDREA
[000:47:52;536] MERKEL MONDAY.
[000:47:56;373] THEY WORK TOGETHER TO STABILIZE
[000:47:57;107] THE EU AFTER BRITAIN DECIDED TO
[000:47:58;809] LEAVE THIS YOU LAST SUMMER.
[000:48:04;648] HE IS NO POPULACE.
[000:48:05;515] HE PAINTED A PICTURE TODAY OF
[000:48:06;250] THE FRENCH ECONOMY THAT WILL
[000:48:06;917] NEED TO EMBRACE AND GROW WITH
[000:48:07;618] TECHNOLOGY.
[000:48:08;452] IT WILL NEED TO BE OPEN TO THE
[000:48:10;487] WORLD.
[000:48:12;289] THE MESSAGE TODAY TO THE FRENCH
[000:48:13;490] PRESIDENT IS TO EMBRACE THE
[000:48:14;791] FUTURE AND EMBRACE IT WITH
[000:48:16;393] FRENCH VALUES.
[000:48:19;596] >> THE FRENCH PEOPLE HAVE ALWAYS
[000:48:21;632] KNOWN HOW TO FIND THE ENERGY AND
[000:48:23;033] THE SPIRIT OF HOW TO CONFRONT
[000:48:26;670] PROFOUND CHANGE.
[000:48:28;605] THAT IS WHERE WE STAYE STANFORDS
[000:48:31;608] THIS MISSION I WILL HUMBLY SERVE
[000:48:32;943] OUR PEOPLE.
[000:48:35;612] >> DESPITE BEING ELECTED BY A
[000:48:37;814] MASSIVE MAJORITY, DEFEATING
[000:48:41;952] MAUREEN LE PEN, HE INHERITS I
[000:48:44;254] FRACTURED COUNTRY WITH DEEP
[000:48:45;555] DIVISION OVER FRANCE'S ROLE IN
[000:48:47;791] EUROPE AND IMMIGRATION.
[000:48:51;795] HE WILL HAVE TO FOUR VOTERS
[000:48:52;496] AGAIN IN THE COMING WEEKS WITH
[000:48:53;664] THE PARLIAMENT TERRY ELECTIONS
[000:48:54;364] IN JUNE.
[000:48:56;099] >> HIS NEW PARTY WILL NEED TO
[000:48:59;870] SCORE A BIG WIN OR HE WILL BE
[000:49:01;238] FORCED TO SHARE POWER WITH THE
[000:49:03;373] PEOPLE HE HAS REPEATEDLY
[000:49:04;007] CRITICIZED.
[000:49:06;209] LAURA: THANK YOU.
[000:49:07;611] THE TRUMP ADMINISTRATION IS
[000:49:08;912] MOVING FORWARD ON PLANS TO BUILD
[000:49:12;349] THE BORDER WALL AND PROGRESS IS
[000:49:14;751] ABOUT TO TAKE A BIG STEP.
[000:49:17;321] >> DO NOT WORRY, WE ARE GOING TO
[000:49:19;389] BUILD THE WALL.
[000:49:20;123] DON'T WORRY.
[000:49:22;292] DON'T EVEN THINK ABOUT IT
[000:49:22;292] per roll
[000:49:32;836] More "Doing Chores For Dad"
[000:49:32;836] per roll
[000:49:39;176] More "Earning Something
[000:49:39;176] You Love" per roll
[000:49:42;446] Bounty is more absorbent,
[000:49:44;181] so the roll can last 50% longer
[000:49:44;181] than the leading ordinary brand.
[000:49:48;118] So you get more "Life" per roll.
[000:49:50;988] Bounty, the Quicker Picker Upper
[000:52:48;248] LAURA: THE FLOW OF ILLEGAL
[000:52:48;882] IMMIGRANTS INTO THE U.S. HAS
[000:52:49;549] DROPPED DRAMATICALLY.
[000:52:50;116] THAT IS NOT STOPPING PRESIDENT
[000:52:50;817] TRUMP FROM PUSHING AHEAD WITH
[000:52:52;185] HIS SIGNATURE CAMPAIGN PROMISES,
[000:52:55;388] BUILDING A BORDER WALL.
[000:52:56;489] CONSTRUCTION CONTRACTS WILL SOON
[000:52:57;924] BE ANNOUNCED.
[000:53:01;127] WILL CAR JOINS US WITH MORE FROM
[000:53:01;862] L.A.
[000:53:04;064] WHERE DO THINGS STAND RIGHT NOW?
[000:53:15;876] >> IT APPEARS IT IS ONE STEP
[000:53:16;543] CLOSER TO REALITY.
[000:53:17;043] THERE IS STILL A BIG QUESTION,
[000:53:17;744] WHO WILL FOOT THE BILL THAT
[000:53:18;411] COULD RANGE FROM
[000:53:18;879] 20 - $70 BILLION.
[000:53:19;646] LAST NIGHT JUDGE JEANINE ASKED
[000:53:26;253] PRESIDENT TRUMP ABOUT HIS PLANS.
[000:53:26;987] LISTEN TO HIS RESPONSE.
[000:53:27;654] >> ARE YOU WANT TO BUILD THE
[000:53:28;321] WALL.
[000:53:28;688] >> ABSOLUTELY.
[000:53:29;122] IS THERE A QUESTION ABOUT THAT.
[000:53:30;123] THERE IS NO QUESTION ABOUT IT.
[000:53:33;660] >> MORE THAN 600 COMPANIES
[000:53:34;327] SIGNED UP TO DESIGN THE WALL.
[000:53:35;629] THE FINALISTS, WHICH WILL BE
[000:53:37;063] ANNOUNCED SOON, WILL BUILD
[000:53:39;232] PROTOTYPES NEAR THE BORDER IN
[000:53:39;933] SOUTHERN CALIFORNIA.
[000:53:41;768] ONE COMPANY IS DARTH HOLS PULSE
[000:53:50;710] TECHNOLOGY.
[000:53:51;244] IT WILL HAVE CONNECTION FIBERS
[000:53:51;945] BUILT IN AND UNDERNEATH.
[000:53:54;748] >> WHERE WE CAN'T GET A WALL
[000:53:56;883] BUILT DUE TO A TRAIN OR
[000:53:58;852] ENVIRONMENTAL REASON, I THINK
[000:53:59;986] HAVING SOME SORT OF CENTER IS
[000:54:02;188] PART OF THAT PROCESS.
[000:54:07;193] >> COOL TECHNOLOGY, BUT AGAIN IT
[000:54:07;928] WILL COME WITH A PRICE.
[000:54:08;728] YOU REMEMBER PRESIDENT TRUMP HAS
[000:54:10;230] MAINTAINED MEXICO WILL PAY FOR
[000:54:12;766] THE WALL, BUT THE NEIGHBOR TO
[000:54:13;566] THE SOUTH CONTINUES TO SAY THAT
[000:54:17;904] IS NOT GOING TO HAPPEN BEFORE WE
[000:54:20;373] MENTIONED AT THE TOP THAT BORDER
[000:54:21;107] CROSSINGS ARE DOWN.
[000:54:22;309] DO WE KNOW WHY?
[000:54:24;344] >> BORDER AUTHORITIES ATTRIBUTE
[000:54:33;553] THE DROP TO THE SUPPORT THEY ARE
[000:54:34;287] RECEIVING FROM THE TRUMP
[000:54:34;888] ADMINISTRATION AND NEWS COVERAGE
[000:54:35;622] OF IMMIGRATION BUS ACROSS THE
[000:54:36;323] COUNTRY.
[000:54:36;656] WHEN YOU ADDED UP, THE NUMBERS
[000:54:37;691] HAVE DROPPED DRAMATICALLY.
[000:54:39;092] >> BACK IN OCTOBER, NOVEMBER,
[000:54:41;528] DECEMBER WE HAD BETWEEN
[000:54:43;530] 750 - 900 PEOPLE A DAY.
[000:54:48;568] NOW WE ARE AVERAGING 150, 145 ON
[000:54:50;704] A DAILY BASIS.
[000:54:55;275] THAT FREES UP BORDER DETENTION
[000:54:57;210] CENTERS THAT ALLOWS THEM TO HOLD
[000:55:05;585] THEM FOR COURT DOWN THE LINE
[000:55:07;687] WHICH NORMALLY DOESN'T HAPPEN.
[000:55:09;589] LAURA: THANK YOU.
[000:55:12;025] ONE MAN PROVING YOU ARE NEVER
[000:55:14;127] TOO OLD TO PURSUE YOUR DREAM AND
[000:55:17;464] BREAK RECORDS WHILE YOU ARE AT
[000:55:18;164] IT.
[000:55:18;665] HIS INCREDIBLE FLIGHT HIGH ABOVE
[000:55:21;634] THE GROUND.
[000:55:39;452] ♪ I'M LIKE A BIRD I DON'T KNOW
[000:55:42;989] WHERE MY SOUL IS ♪
[000:55:45;525] ♪ I DON'T KNOW WHERE MY HOME IS
[000:55:47;293] ♪
[000:55:48;828] ♪
[000:55:52;065] ♪
[000:55:53;566] ♪
[000:56:10;650] Lilly.
[000:56:18;858] She pretty much lives in her
[000:56:18;858] favorite princess dress.
[000:56:21;594] But once a week
[000:56:22;529] I let her play sheriff
[000:56:22;529] so I can wash it.
[000:56:24;230] I use Tide to get out
[000:56:24;230] those week old stains
[000:56:26;299] and Downy
[000:56:26;933] to get it fresh and soft.
[000:56:28;501] You are free to go.
[000:56:30;370] Tide and Downy
[000:56:31;237] together.
[000:56:34;941] DearThere's no other
[000:56:34;941] way to say this.
[000:56:37;110] It's over.
[000:56:38;344] I've found a permanent
[000:56:38;344] escape from monotony.
[000:56:42;015] Together, we are
[000:56:42;015] perfectly balanced,
[000:56:45;418] our senses awake,
[000:56:47;654] our hearts racing as one.
[000:56:50;623] I know this is sudden,
[000:56:52;525] but they say: If you
[000:56:52;525] love something...
[000:56:55;862] set it free.
[000:56:58;031] See you around, Giulia
[000:57:00;033] ♪
[000:57:11;344] ♪
[000:57:21;354] ♪
[000:57:24;991] I'm Dr. Kelsey McNeely and some
[000:57:24;991] day you might be
[000:57:27;694] calling me an energy farmer.
[000:57:29;362] ♪
[000:57:30;530] Energy lives here.
[000:57:34;868] Whoa,I just had to push one
[000:57:34;868] button to join.
[000:57:37;003] It's like I'm in the
[000:57:37;003] office with you,
[000:57:38;805] even though I'm here.
[000:57:40;874] It's almost like the
[000:57:40;874] virtual reality
[000:57:42;575] of business communications.
[000:57:46;212] No, it's reality.
[000:57:50;717] Intuitive one touch video
[000:57:50;717] conferencing is a reality.
[000:57:53;386] And now it's included at
[000:57:53;386] no additional cost
[000:57:55;221] with Vonage Business.
[000:57:56;890] See why 3,000 companies
[000:57:58;558] a month are switching
[000:57:58;558] to Vonage.
[000:58:00;226] Business Grade.
[000:58:00;226] People Friendly.
[000:58:06;399] I wantI did my AncestryDNA
[000:58:06;399] and where I came from.
[000:58:08;468] and I couldn't wait
[000:58:08;468] to get my pie chart.
[000:58:11;004] The most shocking result was
[000:58:11;004] that I'm 26% Native American.
[000:58:15;241] I had no idea.
[000:58:16;609] Just to know this
[000:58:16;609] is what I'm made of,
[000:58:18;878] this is where
[000:58:18;878] my ancestors came from.
[000:58:21;080] And I absolutely want to know
[000:58:23;049] more about my
[000:58:23;049] Native American heritage.
[000:58:25;251] It's opened up
[000:58:25;251] a whole new world for me.
[000:58:27;487] Discover the story
[000:58:27;487] only your DNA can tell.
[000:58:29;722] Order your kit now at
[000:58:29;722] AncestryDNA.com.
[000:58:33;793] Anyone ever have occasional
[000:58:34;661] constipation,diarrhea,
[000:58:34;661] gas or bloating?
[000:58:36;563] She does.
[000:58:36;563] She does.
[000:58:37;530] Help defend against
[000:58:37;530] those digestive issues.
[000:58:39;465] Take Phillips' Colon Health
[000:58:39;465] Probiotic Caps daily
[000:58:41;701] with three types of
[000:58:41;701] good bacteria.
[000:58:43;570] 400 likes? Wow!
[000:58:45;805] Try Phillips'
[000:58:45;805] Colon Health.
